p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.871560739295072	0.67	0.075	0	0	GZMK
0	3.0679732349023654	0.394	0.068	0	0	EOMES
0	2.359997225366893	0.284	0.076	0	0	CD8B
0	2.3097626111724505	0.334	0.091	0	0	TRGC2
0	2.1929937579956076	0.319	0.098	0	0	F2R
0	2.1727444664412485	0.274	0.087	0	0	TC2N
0	2.1151218127066724	0.695	0.17	0	0	CD8A
0	2.0766062714801596	0.446	0.276	0	0	CLDND1
0	2.063149951550678	0.405	0.142	0	0	SH2D1A
0	2.05155230719893	0.982	0.298	0	0	CCL5
0	1.9999061903327555	0.281	0.078	0	0	CRTAM
0	1.9968944493018075	0.682	0.239	0	0	CST7
0	1.9738820074716146	0.406	0.152	0	0	ITM2C
0	1.9323987010160868	0.274	0.101	0	0	THEMIS
0	1.9144209556248106	0.262	0.122	0	0	CCR5
0	1.8546654854821996	0.796	0.22	0	0	GZMA
0	1.8267210645054714	0.271	0.099	0	0	ITGA1
0	1.7358324095318558	0.308	0.133	0	0	MIAT
0	1.7194075088972358	0.493	0.212	0	0	GIMAP7
0	1.6429922787981108	0.317	0.153	0	0	NFATC2
0	1.5453058430757372	0.648	0.271	0	0	CD3G
0	1.5053097949441447	0.327	0.157	0	0	PYHIN1
1.9471685940376884e-262	1.4546986526570695	0.322	0.183	4.730061948636353e-258	0	ARAP2
3.8500063036906475e-249	1.4500487405535132	0.304	0.17	9.352435312925321e-245	0	SYNE1
0	1.4381210801345667	0.54	0.296	0	0	APOBEC3G
0	1.4246015901433533	0.85	0.377	0	0	CD3E
4.68293741839074e-218	1.4114452810457163	0.3	0.177	1.1375791576754785e-213	0	DENND2D
0	1.4089957116152978	0.562	0.264	0	0	CD96
0	1.3898208174167985	0.407	0.206	0	0	RASGRP1
0	1.3883874198310586	0.354	0.156	0	0	GPR171
0	1.3865254744728968	0.424	0.2	0	0	BCL11B
4.7583982654465365e-240	1.3846158808751903	0.289	0.157	1.1559101066422726e-235	0	SLAMF6
0	1.3697891233977633	0.631	0.384	0	0	HCST
1.139875988468595e-219	1.33630529246927	0.304	0.176	2.7689867511879106e-215	0	PARP8
4.402234484918161e-183	1.3327045887223234	0.276	0.164	1.0693908010763197e-178	0	FAM102A
0	1.3270434715068282	0.362	0.149	0	0	GZMH
0	1.325400585600418	0.45	0.231	0	0	LCK
0	1.3197836584893747	0.312	0.132	0	0	CTSW
8.143802802489511e-160	1.3132144884250474	0.257	0.154	1.978292576780752e-155	0	DYRK2
5.533592864810752e-289	1.3116591004511513	0.435	0.292	1.3442203787198279e-284	0	RBL2
5.0578472239336165e-244	1.3026685040687234	0.417	0.288	1.2286522476379542e-239	0	PIK3R1
0	1.2755795164201849	0.522	0.332	0	0	SLFN5
0	1.2731947119885334	0.557	0.264	0	0	CD3D
0	1.2724089313859406	0.477	0.3	0	0	RARRES3
0	1.272055876264647	0.61	0.329	0	0	FYN
7.003220948944376e-130	1.2661313785560875	0.28	0.191	1.7012224329175677e-125	0	CCSER2
4.640902112154502e-139	1.2523456271709605	0.3	0.206	1.1273679410845717e-134	0	BCL9L
0	1.2497644451202423	0.821	0.375	0	0	CD2
0	1.2386670323899192	0.486	0.23	0	0	SLAMF7
0	1.2239067042761116	0.872	0.461	0	0	TRBC2
0	8.113562566840708	0.91	0.023	0	1	FCGR3B
0	7.788079970284009	0.554	0.009	0	1	CXCR1
0	7.717355645823895	0.364	0.005	0	1	CMTM2
0	7.693775784392869	0.693	0.015	0	1	CXCR2
0	7.547958123846522	0.427	0.013	0	1	FFAR2
0	6.561412443948884	0.428	0.023	0	1	LRG1
0	6.5367997860798734	0.308	0.019	0	1	HCAR3
0	6.510077062245709	0.331	0.014	0	1	DGAT2
0	6.49619212765535	0.945	0.125	0	1	CSF3R
0	6.32865810451845	0.336	0.017	0	1	AL034397.3
0	6.297124258321946	0.341	0.02	0	1	TNFAIP6
0	6.283962461644874	0.279	0.014	0	1	MME
0	5.952079875717869	0.725	0.074	0	1	CLEC4E
0	5.932027358263232	0.334	0.029	0	1	HCAR2
0	5.760647788690911	0.847	0.099	0	1	G0S2
0	5.729411506880244	0.721	0.135	0	1	CXCL8
0	5.532256615152581	0.343	0.034	0	1	FPR2
0	5.529879416525667	0.39	0.037	0	1	KCNJ15
0	5.476862802682804	0.549	0.054	0	1	P2RY13
0	5.232413659191556	0.897	0.151	0	1	S100A9
0	5.232405006693842	0.869	0.134	0	1	S100A8
0	5.169566049024712	0.298	0.038	0	1	CREB5
0	5.123646875704023	0.554	0.051	0	1	IL1R2
0	5.113050705545893	0.433	0.055	0	1	VNN2
0	5.003675722784072	0.83	0.189	0	1	SLC25A37
0	4.995614391977618	0.361	0.027	0	1	STEAP4
0	4.928504793357636	0.846	0.125	0	1	FPR1
0	4.927158941091385	0.665	0.132	0	1	GCA
0	4.877092913026246	0.439	0.066	0	1	MSRB1
0	4.8460123530789865	0.646	0.085	0	1	AQP9
0	4.82564615515325	0.678	0.141	0	1	MNDA
0	4.780978043148499	0.258	0.034	0	1	AC012368.1
0	4.776844257991939	0.526	0.089	0	1	TLR2
0	4.758647191557482	0.508	0.073	0	1	TREM1
0	4.676319461620959	0.516	0.115	0	1	IFIT3
0	4.624410533811651	0.441	0.079	0	1	IFIT2
0	4.598807726647202	0.285	0.047	0	1	DOCK5
0	4.520165593124801	0.981	0.595	0	1	IFITM2
0	4.456823797714962	0.813	0.174	0	1	MXD1
0	4.401708933991669	0.313	0.058	0	1	OSM
0	4.397657965926703	0.443	0.096	0	1	TLR4
0	4.380747795221179	0.567	0.103	0	1	SMIM25
0	4.377731070457132	0.512	0.105	0	1	CSF2RB
0	4.374024053660374	0.328	0.058	0	1	SIRPB1
0	4.319200097563799	0.365	0.07	0	1	STX3
0	4.304310465937967	0.948	0.25	0	1	NAMPT
0	4.27105832062654	0.465	0.099	0	1	SECTM1
0	4.249657700339892	0.327	0.07	0	1	PTGS2
0	4.24660475958166	0.328	0.09	0	1	CCRL2
0	4.160260549759824	0.713	0.18	0	1	MBOAT7
0	6.746010803572149	0.421	0.006	0	2	CD300E
0	6.101975491256138	0.527	0.012	0	2	SDS
0	5.750658308228628	0.427	0.007	0	2	OLFML2B
0	5.647159416253305	0.321	0.018	0	2	CCL2
0	5.63924377600414	0.282	0.009	0	2	EREG
0	5.507059856033498	0.519	0.019	0	2	VCAN
0	5.4909657631592435	0.254	0.004	0	2	ASGR1
0	5.446475786256171	0.84	0.08	0	2	CTSL
0	5.420916930354105	0.646	0.014	0	2	PLA2G7
0	5.352048078754843	0.69	0.018	0	2	FPR3
0	5.344883727906948	0.318	0.006	0	2	GAL3ST4
0	5.227260976293169	0.802	0.034	0	2	CD163
0	5.172208044287678	0.266	0.007	0	2	HAMP
0	5.127958487644871	0.559	0.014	0	2	EPB41L3
0	5.06628021726127	0.769	0.026	0	2	LILRB4
0	5.06291246108052	0.27	0.008	0	2	ADAMDEC1
0	5.059638590005363	0.622	0.053	0	2	LGMN
0	5.043131930338835	0.43	0.009	0	2	STAB1
0	5.0150306090749694	0.27	0.027	0	2	CXCL9
0	4.935380747660586	0.251	0.021	0	2	CXCL10
0	4.9251510185870595	0.722	0.03	0	2	MS4A4A
0	4.9182085994993034	0.564	0.023	0	2	CD36
0	4.867202634528992	0.301	0.072	0	2	SPP1
0	4.819767644418298	0.781	0.025	0	2	CSF1R
0	4.816072872762115	0.881	0.056	0	2	TMEM176B
0	4.764446220426778	0.406	0.013	0	2	MERTK
0	4.722065598943194	0.833	0.045	0	2	TGFBI
0	4.673764515272934	0.737	0.042	0	2	MAFB
0	4.670151774195897	0.456	0.014	0	2	FAM198B
0	4.664456762373221	0.513	0.014	0	2	SIGLEC1
0	4.6630649457643845	0.589	0.019	0	2	ADAP2
0	4.662186706460131	0.433	0.017	0	2	SDC3
0	4.6097277181508955	0.393	0.015	0	2	RGL1
0	4.578622454644699	0.798	0.045	0	2	TMEM176A
0	4.557180576670353	0.84	0.027	0	2	CPVL
0	4.529715337734044	0.334	0.012	0	2	SLC16A10
0	4.514627514819973	0.28	0.011	0	2	CLEC5A
0	4.512583212474791	0.726	0.04	0	2	OLR1
0	4.503901264392116	0.625	0.025	0	2	LHFPL2
0	4.486802517819178	0.478	0.041	0	2	PLTP
0	4.46431881934059	0.334	0.013	0	2	FAM20C
0	4.453177152819924	0.996	0.171	0	2	LYZ
0	4.4522808735237875	0.603	0.068	0	2	APOE
0	4.440827235443241	0.444	0.017	0	2	TMEM51
0	4.421927169695924	0.345	0.011	0	2	IL4I1
0	4.394224592867973	0.997	0.476	0	2	CTSB
0	4.393701633098067	0.346	0.022	0	2	CXCL3
0	4.390748226608921	0.829	0.046	0	2	MS4A6A
0	4.370425026713378	0.578	0.023	0	2	SLCO2B1
0	4.365800356830475	0.295	0.011	0	2	TCN2
0	7.33431429914269	0.8	0.021	0	3	BANK1
0	7.294221396898686	0.251	0.003	0	3	LINC00926
0	7.0497635047925895	0.41	0.008	0	3	VPREB3
0	6.9854965918112	0.983	0.038	0	3	MS4A1
0	6.852421138788722	0.445	0.008	0	3	FCRLA
0	6.6959742502439035	0.461	0.01	0	3	PAX5
0	6.613364780731448	0.527	0.014	0	3	CD19
0	6.18576837170524	0.508	0.014	0	3	TNFRSF13C
0	5.706352667013794	0.267	0.007	0	3	FAM129C
0	5.610123901684371	0.349	0.012	0	3	TLR10
0	5.419781972043315	0.465	0.023	0	3	CD22
0	5.143182022837998	0.542	0.046	0	3	RALGPS2
0	4.9689419384862665	0.427	0.028	0	3	HLA-DOB
0	4.722350229862518	0.301	0.014	0	3	SPIB
0	4.539054123262862	0.299	0.025	0	3	PKIG
0	4.515033608725607	0.414	0.035	0	3	CD79B
0	4.438419299049802	0.919	0.055	0	3	CD79A
0	4.2975199914318845	0.368	0.04	0	3	BCL11A
0	4.20922431661522	0.311	0.032	0	3	CPNE5
0	4.08441870433557	0.383	0.039	0	3	NAPSB
0	4.049029587439495	0.522	0.081	0	3	MEF2C
0	3.8773366006151533	0.356	0.054	0	3	ADAM28
0	3.7969834793221895	0.666	0.148	0	3	SMIM14
0	3.558336507478108	0.515	0.117	0	3	SWAP70
0	3.4754584884605704	0.428	0.087	0	3	HVCN1
0	3.4519382870237294	0.264	0.063	0	3	SCIMP
0	3.383832072762305	0.271	0.037	0	3	AIM2
0	3.284180930892832	0.491	0.113	0	3	TCF4
0	3.2782759130125614	0.409	0.056	0	3	POU2AF1
0	3.177883163927924	0.488	0.107	0	3	HLA-DOA
0	3.1744159701024275	0.567	0.117	0	3	IRF8
0	3.140451128945958	0.291	0.075	0	3	LY86
0	3.0986761223797723	0.393	0.102	0	3	MARCH1
0	3.0964444192063745	0.613	0.145	0	3	POU2F2
0	3.0856965903630016	0.434	0.053	0	3	CD24
0	3.039261685172532	0.281	0.072	0	3	CD40
0	3.0190362576163032	0.255	0.043	0	3	BCAS4
0	2.823644208197373	0.261	0.073	0	3	CIITA
0	2.8061651547297384	0.26	0.08	0	3	FGD2
0	2.7928988432780377	0.319	0.05	0	3	GAPT
0	2.757629748674269	0.274	0.084	0	3	BTK
0	2.679434081544774	0.33	0.114	0	3	CXXC5
0	2.648821871069124	0.429	0.134	0	3	CCDC50
0	2.492512664689757	0.272	0.084	0	3	PLEKHF2
0	2.4600892834692143	0.347	0.083	0	3	PARP15
0	2.4500810962821395	0.357	0.101	0	3	PLCG2
0	2.3244124996493793	0.939	0.498	0	3	CD37
0	2.2201566878653907	0.558	0.152	0	3	FCMR
0	2.0939720614975834	0.316	0.084	0	3	RASGRP2
0	2.0917878557558183	0.271	0.1	0	3	STRBP
0	3.389085728794414	0.321	0.045	0	4	TNFRSF9
0	3.288052302518348	0.61	0.122	0	4	GNLY
0	3.279520247281747	0.576	0.083	0	4	LAG3
0	3.24558444350289	0.758	0.123	0	4	GZMB
0	3.2163861247437557	0.385	0.055	0	4	AKAP5
0	3.033882366379793	0.568	0.095	0	4	IFNG
0	3.0231940963381465	0.404	0.074	0	4	MYO7A
0	2.9122867473303202	0.425	0.065	0	4	FASLG
0	2.8596308916731923	0.79	0.158	0	4	PRF1
0	2.808994297646932	0.272	0.052	0	4	TNIP3
0	2.7976191699889785	0.467	0.097	0	4	ITGAE
0	2.791109319826415	0.513	0.084	0	4	LINC01871
0	2.739091429818373	0.875	0.166	0	4	CD8A
0	2.7185981768632286	0.311	0.081	0	4	CRTAM
0	2.7064905244077533	0.377	0.084	0	4	CSF1
0	2.6410753667136624	0.467	0.081	0	4	ITGA1
0	2.614052672666174	0.535	0.081	0	4	KLRD1
0	2.5369812942283034	0.661	0.12	0	4	GZMH
0	2.504970670870112	0.916	0.24	0	4	NKG7
0	2.500702584473997	0.986	0.32	0	4	CCL5
0	2.493243994114878	0.506	0.173	0	4	HAVCR2
0	2.4467777803691395	0.4	0.069	0	4	CD8B
0	2.3818559820021274	0.486	0.147	0	4	PHLDA1
0	2.33442094067452	0.542	0.111	0	4	CTSW
0	2.3307367950269464	0.883	0.228	0	4	GZMA
0	2.226972917415135	0.391	0.088	0	4	PDCD1
0	2.217364312534218	0.358	0.077	0	4	CXCR6
0	2.2145759073845968	0.829	0.307	0	4	CCL4
0	2.1573678937120153	0.596	0.162	0	4	DUSP4
0	2.1423823186865443	0.422	0.151	0	4	SLC7A5
0	2.097842100585564	0.375	0.095	0	4	SLA2
0	2.087762415149083	0.736	0.224	0	4	CD7
0	2.0391214380514997	0.67	0.198	0	4	TIGIT
0	2.006980616590962	0.38	0.094	0	4	TRGC2
0	2.0003456110042306	0.517	0.163	0	4	PTPN22
0	1.9921802934285273	0.328	0.109	0	4	CHST12
0	1.9510454887123574	0.66	0.248	0	4	CCND2
0	1.949996796898143	0.735	0.281	0	4	APOBEC3G
0	1.917434627279325	0.306	0.143	0	4	GALNT2
