p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	4.375295080366988	0.951	0.057	0	0	MS4A1
0	4.241528718348362	0.924	0.057	0	0	CD79A
0	4.666175469619559	0.841	0.034	0	0	BANK1
0	3.861848775861805	0.697	0.049	0	0	RALGPS2
0	3.1903182671654413	0.693	0.088	0	0	MEF2C
0	1.8401992321634721	0.973	0.369	0	0	HLA-DQA1
0	1.7769391581084806	0.915	0.325	0	0	HLA-DQB1
0	3.0769823394948572	0.652	0.092	0	0	SWAP70
0	2.0630938939827317	0.999	0.459	0	0	HLA-DRA
0	2.9649215742060404	0.632	0.094	0	0	IRF8
0	4.821206799652302	0.558	0.021	0	0	CD24
0	4.573670750132958	0.547	0.02	0	0	CD19
0	2.5011342236699816	0.896	0.379	0	0	CD83
0	5.363080854271658	0.518	0.014	0	0	TNFRSF13B
0	1.5796939549116462	0.635	0.133	0	0	BASP1
0	4.780924655312118	0.517	0.016	0	0	VPREB3
0	3.033099120248762	0.578	0.084	0	0	CD79B
0	3.4687648942935025	0.55	0.057	0	0	ADAM28
0	4.0352449944005215	0.519	0.029	0	0	TNFRSF13C
0	3.5326543346429764	0.543	0.055	0	0	TCF4
0	1.4187824254279815	0.782	0.3	0	0	HLA-DMA
0	3.182214002679597	0.554	0.08	0	0	SMIM14
0	4.7554268009669745	0.473	0.015	0	0	FCRLA
0	3.3138853747931134	0.505	0.058	0	0	CD40
0	4.7239643461556975	0.46	0.016	0	0	BLK
0	1.9033555674675706	0.555	0.121	0	0	MARCKS
0	1.8213367240757448	0.59	0.156	0	0	HLA-DMB
0	3.600820775423053	0.468	0.036	0	0	POU2AF1
0	1.6749721221028762	0.814	0.383	0	0	SYNGR2
0	4.191671802280869	0.445	0.017	0	0	LINC00926
0	1.5318540203126965	0.981	0.554	0	0	HLA-DPB1
0	4.1877008567976315	0.452	0.027	0	0	ARHGAP24
0	3.122031686825712	0.49	0.067	0	0	LY86
0	1.3863193432173317	0.982	0.561	0	0	HLA-DPA1
0	2.543746598021835	0.607	0.187	0	0	LY9
0	3.2346518284965766	0.478	0.06	0	0	MARCH1
0	2.4828365361219875	0.529	0.114	0	0	POU2F2
0	1.3598887500103065	0.994	0.582	0	0	HLA-DRB1
0	2.296476695381272	0.538	0.129	0	0	CCDC50
0	1.5673505578940705	0.583	0.177	0	0	CTSH
0	4.354842562216501	0.419	0.021	0	0	PKIG
0	1.5883167408419099	0.55	0.157	0	0	LYN
0	1.011405691077219	0.841	0.45	0	0	LTB
0	1.4305569536716942	0.618	0.231	0	0	NCF1
0	1.4257194250820184	0.676	0.292	0	0	FCMR
0	3.0262499644607788	0.442	0.061	0	0	HVCN1
0	1.8064816924285445	0.595	0.215	0	0	SNX2
0	3.6668576128634034	0.406	0.034	0	0	BLNK
0	3.5802412860158195	0.404	0.034	0	0	PDLIM1
0	3.5552417803900553	0.393	0.028	0	0	COBLL1
0	1.7896691843644772	0.544	0.186	0	0	CCR7
0	1.3592760657368275	0.594	0.243	0	0	RIPOR2
0	3.9667566054708	0.378	0.027	0	0	GNG7
