p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	7.3135942169577195	0.317	0.002	0	0	LINC01781
0	5.363080854271658	0.518	0.014	0	0	TNFRSF13B
0	4.821206799652302	0.558	0.021	0	0	CD24
0	4.780924655312118	0.517	0.016	0	0	VPREB3
0	4.7554268009669745	0.473	0.015	0	0	FCRLA
0	4.7239643461556975	0.46	0.016	0	0	BLK
0	4.666175469619559	0.841	0.034	0	0	BANK1
0	4.573670750132958	0.547	0.02	0	0	CD19
0	4.415256415791425	0.285	0.011	0	0	LINC02397
0	4.375295080366988	0.951	0.057	0	0	MS4A1
0	4.354842562216501	0.419	0.021	0	0	PKIG
0	4.241528718348362	0.924	0.057	0	0	CD79A
0	4.191671802280869	0.445	0.017	0	0	LINC00926
0	4.1877008567976315	0.452	0.027	0	0	ARHGAP24
0	4.159136288209625	0.292	0.016	0	0	SPIB
0	4.139306022673061	0.26	0.016	0	0	LINC01857
0	4.0352449944005215	0.519	0.029	0	0	TNFRSF13C
0	3.9667566054708	0.378	0.027	0	0	GNG7
0	3.938995238745316	0.28	0.018	0	0	HLA-DOB
0	3.861848775861805	0.697	0.049	0	0	RALGPS2
0	3.6668576128634034	0.406	0.034	0	0	BLNK
0	3.6452694178879708	0.372	0.038	0	0	SCIMP
0	3.600820775423053	0.468	0.036	0	0	POU2AF1
0	3.5802412860158195	0.404	0.034	0	0	PDLIM1
0	3.5781910263475085	0.283	0.017	0	0	FAM129C
0	3.5552417803900553	0.393	0.028	0	0	COBLL1
0	3.5326543346429764	0.543	0.055	0	0	TCF4
0	3.4687648942935025	0.55	0.057	0	0	ADAM28
0	3.380309383746428	0.275	0.024	0	0	BCL11A
0	3.3638285309606353	0.267	0.028	0	0	GAPT
0	3.361274231086228	0.316	0.024	0	0	CD22
0	3.3138853747931134	0.505	0.058	0	0	CD40
0	3.2346518284965766	0.478	0.06	0	0	MARCH1
0	3.2055598300903405	0.343	0.031	0	0	AFF3
0	3.1903182671654413	0.693	0.088	0	0	MEF2C
0	3.182214002679597	0.554	0.08	0	0	SMIM14
0	3.1812820603644374	0.374	0.042	0	0	CXCR5
0	3.1409848951072745	0.377	0.036	0	0	RUBCNL
0	3.122031686825712	0.49	0.067	0	0	LY86
0	3.0769823394948572	0.652	0.092	0	0	SWAP70
0	3.033099120248762	0.578	0.084	0	0	CD79B
0	3.0262499644607788	0.442	0.061	0	0	HVCN1
0	2.9649215742060404	0.632	0.094	0	0	IRF8
0	2.8062434423020033	0.27	0.038	0	0	USP6NL
0	2.7817882012668047	0.393	0.059	0	0	AIM2
0	2.6956814925677244	0.25	0.043	0	0	FGD2
0	2.6722972604759496	0.305	0.046	0	0	CLECL1
0	2.660988598288661	0.345	0.062	0	0	LYL1
0	2.543746598021835	0.607	0.187	0	0	LY9
0	2.517437845171525	0.342	0.066	0	0	CXXC5
0	2.904380571544691	0.315	0.04	0	1	CD40LG
0	2.3259875590325545	0.924	0.296	0	1	IL7R
0	2.2051728491195393	0.265	0.061	0	1	LEF1
0	2.180008460285256	0.385	0.105	0	1	AQP3
0	1.8755101378036094	0.403	0.137	0	1	FLT3LG
0	1.8660488448366133	0.464	0.146	0	1	TCF7
0	1.4860339956015718	0.421	0.162	0	1	KLRB1
0	1.3217081889095237	0.442	0.181	0	1	CAMK4
0	1.279756635458463	0.725	0.412	0	1	ANXA1
0	1.2539295372546564	0.347	0.135	0	1	TRAT1
0	1.2239321997833486	0.546	0.261	0	1	GIMAP7
0	1.2174826328165835	0.412	0.171	0	1	TC2N
0	1.1764357156331329	0.374	0.168	0	1	CD5
0	1.1656552861296168	0.256	0.133	0	1	ICAM2
0	1.1628949224986982	0.275	0.123	0	1	INPP4B
0	1.1282326634257622	0.482	0.227	0	1	CD6
0	1.1178362519905443	0.313	0.126	0	1	CD28
0	1.085409124053942	0.323	0.204	0	1	NOSIP
0	1.0580421743348865	0.388	0.213	0	1	TTC39C
0	1.0558004121557103	0.287	0.147	0	1	SCML4
0	1.04262243723979	0.553	0.275	0	1	RORA
0	1.0302824911638349	0.408	0.238	0	1	ERN1
0	1.0149254015825997	0.305	0.169	0	1	RCAN3
0	0.9765398292332744	0.451	0.309	0	1	TOB1
0	0.9706001746046071	0.263	0.138	0	1	SATB1
0	0.9651914459640929	0.696	0.513	0	1	LDHB
0	0.9644626604699403	0.31	0.18	0	1	ODF2L
0	0.9553135252315245	0.379	0.219	0	1	MGAT4A
0	0.939138838031383	0.329	0.17	0	1	FKBP11
0	0.9374833120649817	0.662	0.407	0	1	LEPROTL1
0	0.931079162134611	0.533	0.334	0	1	PTGER4
0	0.92750188155778	0.87	0.68	0	1	TNFAIP3
0	0.9231718841350497	0.293	0.172	0	1	ABLIM1
0	0.8900470861537617	0.304	0.169	0	1	TMEM173
0	0.8832346365223053	0.287	0.159	0	1	PBX4
0	0.8471236798396006	0.275	0.167	0	1	DGKA
0	0.8459856493186837	0.387	0.248	0	1	MCUB
0	0.8364330740728827	0.351	0.199	0	1	OXNAD1
0	0.8319022938775196	0.775	0.497	0	1	LTB
0	0.8298856048907446	0.631	0.346	0	1	SPOCK2
0	0.8277108749561709	0.423	0.249	0	1	PBXIP1
0	0.825161125335028	0.398	0.233	0	1	GIMAP4
0	0.8092708299272009	0.934	0.814	0	1	ZFP36L2
0	0.800485483598297	0.507	0.281	0	1	ITK
0	0.7954066569869527	0.341	0.205	0	1	AAK1
0	0.7874462061097889	0.487	0.348	0	1	ARHGAP15
0	0.7742348839296064	0.468	0.314	0	1	ABRACL
0	0.7699502313872189	0.531	0.348	0	1	PIK3IP1
0	0.7646714745805071	0.324	0.187	0	1	GATA3
0	0.7579276063947944	0.892	0.817	0	1	FOS
0	3.7805298936774445	0.475	0.04	0	2	ZNF683
0	3.6095670152543144	0.41	0.043	0	2	LINC02446
0	2.848237548919287	0.892	0.154	0	2	CD8A
0	2.8326490721333943	0.666	0.099	0	2	CD8B
0	2.8151390512278605	0.383	0.067	0	2	LINC01871
0	2.7218482770383505	0.322	0.052	0	2	ITGA1
0	2.426575193858234	0.558	0.12	0	2	LAG3
0	2.387995655075018	0.649	0.133	0	2	GZMB
0	2.354813941762635	0.445	0.107	0	2	CXCR6
0	2.1728928848896154	0.986	0.396	0	2	CCL5
0	2.142392081546122	0.31	0.072	0	2	NELL2
0	2.103583993501852	0.352	0.094	0	2	CRTAM
0	2.071018916579695	0.518	0.194	0	2	ITGAE
0	2.026788401316343	0.511	0.142	0	2	IFNG
0	1.9879983570019062	0.763	0.26	0	2	GZMA
0	1.9186683088733163	0.566	0.134	0	2	GZMH
0	1.9112392626776655	0.34	0.101	0	2	SLA2
0	1.862162847441973	0.392	0.124	0	2	PDCD1
0	1.820461719580917	0.28	0.075	0	2	XCL1
0	1.803750405681511	0.619	0.188	0	2	CTSW
0	1.7874989941504182	0.272	0.108	0	2	HAVCR2
0	1.7839030411713694	0.471	0.146	0	2	THEMIS
0	1.721358124582757	0.328	0.106	0	2	SYTL2
0	1.7100789234774523	0.369	0.138	0	2	PTMS
0	1.6496474230706988	0.381	0.134	0	2	JAML
0	1.577187839541225	0.579	0.263	0	2	PTPN22
0	1.5623915208211296	0.866	0.363	0	2	CD7
0	1.5576337906221212	0.406	0.1	0	2	KLRD1
0	1.555763966507425	0.875	0.4	0	2	CD3D
0	1.5237410447861894	0.33	0.124	0	2	SIRPG
0	1.5180163236658797	0.269	0.08	0	2	CLIC3
