p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.1688405065065375	0.943	0.537	0	0	IL7R
0	1.8935818861024183	0.483	0.161	0	0	CCR7
0	1.3389789803749617	0.615	0.308	0	0	GPR183
0	0.7278382741348683	0.781	0.477	0	0	LTB
0	1.196376253822838	0.509	0.213	0	0	TCF7
0	1.3648097016194582	0.679	0.384	0	0	KLF2
0	1.1272445894961933	0.762	0.515	0	0	ANXA1
0	1.2630828431248717	0.564	0.329	0	0	LMNA
0	1.219002439081371	0.553	0.319	0	0	CDKN1A
0	0.9139883320584599	0.553	0.325	0	0	CD55
0	1.4914254852317552	0.319	0.095	0	0	CD40LG
0	0.6454827402903727	0.479	0.256	0	0	AREG
0	1.0385752748221053	0.535	0.315	0	0	SOCS3
0	1.1280333754089287	0.388	0.185	0	0	AQP3
0	0.9702722788169074	0.414	0.22	0	0	FLT3LG
0	0.8180405511047169	0.827	0.633	0	0	FOSB
0	0.6657789025636986	0.633	0.449	0	0	MYADM
0	0.6012603188400603	0.64	0.464	0	0	CSRNP1
0	0.693692885475337	0.812	0.638	0	0	SLC2A3
0	1.2525853639290978	0.295	0.121	0	0	LEF1
0	0.6784780760665967	0.87	0.702	0	0	BTG2
0	1.2891352842996484	0.254	0.087	0	0	MAL
0	1.1244721287155919	0.296	0.13	0	0	FAAH2
0	0.9087885735094277	0.448	0.283	0	0	SOD2
0	0.6557164813862816	0.416	0.251	0	0	MCUB
0	0.49521302450177307	0.496	0.332	0	0	TMEM123
0	0.5892169710051247	0.582	0.42	0	0	PTGER4
0	1.2153254965829774	0.255	0.098	0	0	ZBTB10
0	0.7845885236369433	0.387	0.233	0	0	ARL4A
0	0.5574209354610867	0.519	0.368	0	0	RNASET2
0	0.5495283084456273	0.659	0.508	0	0	NR4A1
0	0.8470317449189001	0.409	0.26	0	0	PNP
0	1.062083397726393	0.284	0.135	0	0	ICAM2
0	0.653910038540084	0.622	0.474	0	0	EIF4A3
0	0.671564697162184	0.425	0.278	0	0	PLK3
0	0.7296446537771839	0.41	0.263	0	0	HOOK2
0	0.5340389798123151	0.765	0.62	0	0	YPEL5
0	0.6043612203812405	0.436	0.291	0	0	PER1
0	0.48729546080043096	0.577	0.433	0	0	SERTAD1
0	0.5134091081797247	0.76	0.617	0	0	NOP53
0	0.7528587222951348	0.373	0.23	0	0	MARCKSL1
0	0.8346566793203849	0.408	0.265	0	0	CHMP1B
0	0.5184632545837108	0.39	0.248	0	0	MGAT4A
0	0.695766559959113	0.509	0.367	0	0	TOB1
0	0.6753400338932869	0.43	0.289	0	0	DNAJB9
0	0.5478781095066627	0.88	0.739	0	0	PPP1R15A
0	0.4562533816498253	0.675	0.537	0	0	SNHG8
0	0.5299662289549398	0.85	0.712	0	0	RPS20
0	0.8719414475336311	0.931	0.793	0	0	FOS
0	0.44858926786487174	0.755	0.617	0	0	UBE2S
0	0.4110891580403466	0.708	0.572	0	0	TUBB4B
0	0.5348492740038808	0.507	0.371	0	0	XBP1
0	0.5658237481519681	0.386	0.251	0	0	KDM6B
0	0.31142941696286197	0.581	0.446	0	0	BIRC3
0	0.5241806172191037	0.721	0.587	0	0	LDHB
0	0.4895669641683651	0.631	0.498	0	0	EIF3E
0	0.4550015727844996	0.757	0.625	0	0	SERP1
0	0.4518282905389168	0.771	0.639	0	0	ZFAS1
0	0.5817572339601376	0.724	0.594	0	0	CYCS
0	0.5038193405222597	0.902	0.772	0	0	FXYD5
0	0.48460761032701116	0.649	0.52	0	0	SOCS1
0	0.8195454180367556	0.266	0.138	0	0	TIMP1
0	0.43918224519124616	0.634	0.507	0	0	RPL36A
0	0.4291343440345532	0.602	0.476	0	0	SBDS
0	0.8297661784612984	0.945	0.82	0	0	NFKBIA
0	0.8185588556640647	0.298	0.175	0	0	SELL
0	0.41281825146613316	0.597	0.474	0	0	RPS10
0	0.5726679638461586	0.324	0.205	0	0	RIPOR2
0	0.6203523764630798	0.319	0.201	0	0	ABLIM1
0	0.4205650847543767	0.687	0.57	0	0	TUBA1A
0	0.3931821173468868	0.784	0.667	0	0	S100A10
0	0.5101973106064633	0.376	0.259	0	0	CD83
0	0.8345131888935362	0.483	0.367	0	0	EGR1
0	0.8062045878179517	0.275	0.16	0	0	TUBB2A
0	0.6498127754072778	0.304	0.193	0	0	SGK1
0	0.7188378760139572	0.333	0.223	0	0	NOSIP
0	0.5828178054245381	0.829	0.719	0	0	EEF1G
0	0.5181374709461815	0.759	0.649	0	0	DDIT4
0	0.4727775831881509	0.783	0.674	0	0	IRF1
0	0.504282759391261	0.281	0.174	0	0	SATB1
0	0.7112379477615178	0.262	0.155	0	0	SC5D
0	0.4757634785963165	0.862	0.758	0	0	RPL7
0	0.49927723913517763	0.944	0.841	0	0	DNAJA1
0	0.7499303411454848	0.263	0.161	0	0	ETV3
0	0.6900897960165575	0.95	0.858	0	0	EEF1B2
0	0.48233752583883316	0.924	0.835	0	0	TNFAIP3
0	0.3197241624512932	0.849	0.76	0	0	TOMM7
0	0.6596312288007802	0.933	0.846	0	0	CD69
0	0.7699489178410879	0.956	0.872	0	0	PABPC1
0	0.5697865590854772	0.964	0.882	0	0	ZFP36
0	0.2585495190108462	0.888	0.808	0	0	RPL27A
0	0.7453710966392437	0.985	0.905	0	0	JUNB
0	0.4296046547722723	0.928	0.849	0	0	RPL38
0	0.4331444550576915	0.923	0.846	0	0	TSC22D3
0	0.2947282481117268	0.898	0.822	0	0	RPL31
0	0.37467221152221963	0.912	0.836	0	0	CXCR4
0	0.44569418661204185	0.965	0.894	0	0	DUSP1
0	0.5096316089085655	0.951	0.883	0	0	RPL22
0	0.4917721747266648	0.932	0.865	0	0	RPL4
0	0.4103460000640107	0.96	0.895	0	0	DNAJB1
0	0.4162395523639253	0.951	0.887	0	0	VIM
0	0.4226261493416308	0.948	0.885	0	0	ZFP36L2
0	0.4182667279637555	0.933	0.872	0	0	EEF2
0	0.5360766308297698	0.975	0.916	0	0	RPL9
0	0.4130674586226757	0.947	0.888	0	0	KLF6
0	0.2630990366834913	0.931	0.873	0	0	NPM1
0	0.25872689436162055	0.933	0.875	0	0	RPL27
0	0.3626009757999542	0.965	0.911	0	0	UBB
0	0.2784777844702764	0.953	0.901	0	0	UBA52
0	0.5388043879630713	0.975	0.927	0	0	RPL5
0	0.2913183079648194	0.972	0.924	0	0	RPL35
0	0.33861110607348976	0.962	0.914	0	0	RPL13A
0	0.5115891716180303	0.973	0.926	0	0	RPS5
0	0.4264222055576039	0.963	0.917	0	0	RPSA
0	0.45445252526314395	0.985	0.94	0	0	RPL36
0	0.5644826259214115	0.971	0.927	0	0	JUN
0	0.41065976354689493	0.968	0.924	0	0	RPL10A
0	0.4021541558295052	0.984	0.941	0	0	RPS21
0	0.293677408640046	0.98	0.937	0	0	RPL24
0	0.3061098456111684	0.966	0.923	0	0	SARAF
0	0.34991430662604195	0.987	0.945	0	0	HSP90AB1
0	0.26468945785572684	0.967	0.925	0	0	NACA
0	0.33494501952312294	0.961	0.919	0	0	RPL17
0	0.3726892322986606	0.99	0.95	0	0	RPL35A
0	0.382561620760264	0.978	0.938	0	0	RPS16
0	0.2693994628014367	0.977	0.937	0	0	PNRC1
0	0.3783591411038696	0.984	0.946	0	0	RPS9
0	0.4018310934274636	0.989	0.952	0	0	RPL29
0	0.4160705382348402	0.989	0.952	0	0	RPLP2
0	0.41860691465148747	0.979	0.943	0	0	RPL21
0	0.2733222173487917	0.97	0.934	0	0	RACK1
0	0.5310819504126147	0.995	0.961	0	0	RPL39
0	0.5852396643219748	0.99	0.956	0	0	RPS13
0	0.5725641086909237	0.983	0.949	0	0	RPLP0
0	0.3910726939156861	0.993	0.96	0	0	RPS25
0	0.38825461126902283	0.995	0.962	0	0	JUND
0	0.3926738335448352	0.99	0.958	0	0	RPL37
0	0.3394443114080383	0.991	0.96	0	0	RPL12
0	0.38133811526816697	0.991	0.96	0	0	HSPA8
0	0.4852457071015195	0.995	0.965	0	0	RPS14
0	0.507026308359463	0.992	0.962	0	0	RPS4X
0	0.4141654781508697	0.991	0.961	0	0	RPL18
0	0.6035136287773177	0.992	0.963	0	0	RPS3A
0	0.618366493636958	0.996	0.968	0	0	RPL32
0	0.5585328759834756	0.995	0.967	0	0	RPL34
0	0.3759041822299931	0.995	0.967	0	0	RPS28
0	0.4088274665419336	0.994	0.966	0	0	RPL18A
0	0.5342817238878581	0.994	0.967	0	0	RPS6
0	0.2591610852524111	0.988	0.961	0	0	RPL6
0	0.44589001481309953	0.991	0.965	0	0	RPL14
0	0.448598167069969	0.995	0.969	0	0	RPS23
0	0.3986315659639672	0.99	0.964	0	0	RPL8
0	0.9591998271865654	0.994	0.969	0	0	FTH1
0	0.5795269801016474	0.991	0.966	0	0	RPL3
0	0.47684312397885176	0.996	0.972	0	0	RPS18
0	0.30896840338847387	0.993	0.97	0	0	HSP90AA1
0	0.48056376966641334	0.997	0.975	0	0	RPL30
0	0.42239992770035073	0.995	0.973	0	0	RPL19
0	0.5684701620872827	0.997	0.976	0	0	RPS8
0	0.46633462846796103	0.996	0.975	0	0	RPS27A
0	0.43229054942363643	0.995	0.974	0	0	RPS3
0	0.5199600616764846	0.997	0.977	0	0	RPL11
0	0.5933711220038829	0.998	0.979	0	0	RPS12
0	0.3772786119539644	0.992	0.975	0	0	RPS2
0	0.2643365533962685	0.996	0.981	0	0	H3F3B
0	0.6243199958833303	0.999	0.985	0	0	TPT1
0	0.4280064731889217	0.998	0.985	0	0	EIF1
0	0.3524147946020122	0.997	0.985	0	0	BTG1
0	0.4733537607781484	0.998	0.987	0	0	RPL13
0	0.4786177497459265	0.999	0.989	0	0	RPL10
0	0.4673268984831296	0.999	0.989	0	0	RPLP1
0	0.5208878793485736	1	0.996	0	0	EEF1A1
3.289e-319	0.33254337007761003	0.432	0.308	8.77701207e-315	0	CRYBG1
5.292119890259667e-309	0.2526103580377832	0.97	0.923	1.4122551139146947e-304	0	RPL41
1.3394290928041434e-290	0.396946055057594	0.426	0.309	3.574400477057137e-286	0	FOXP1
1.8262242498479807e-288	0.45334296034731525	0.548	0.435	4.873462033144321e-284	0	BCAS2
1.6903795002080903e-277	0.3685472982468232	0.665	0.555	4.5109467342553095e-273	0	SELENOK
5.694347643706324e-275	0.34224120266399183	0.677	0.567	1.5195936121994696e-270	0	HNRNPA0
9.577315772130172e-262	0.2989053268135423	0.45	0.33	2.5558024869506576e-257	0	CAMK4
7.831815414552832e-254	0.5586123151191019	0.316	0.222	2.0899982615275687e-249	0	NXT1
1.1541213065151423e-253	0.4378868320134386	0.54	0.436	3.0798881185663084e-249	0	GTF2B
4.780954786707705e-253	0.3869258306669403	0.716	0.615	1.2758455943808182e-248	0	RGCC
7.467656825890878e-252	0.40702697797121534	0.402	0.296	1.9928189005572397e-247	0	SKIL
4.6926647136488265e-248	0.2711192680392889	0.664	0.55	1.2522845054843257e-243	0	CD48
4.025940581257349e-245	0.3565174856688006	0.497	0.388	1.0743625035143362e-240	0	ARHGAP15
2.753795961725162e-244	0.6191861414494676	0.26	0.176	7.348779903459767e-240	0	TIFA
8.140096193998114e-241	0.33544112143730653	0.498	0.388	2.1722660703303368e-236	0	IER5
2.1082045389457364e-240	0.360449645193383	0.399	0.293	5.625954632630592e-236	0	ERN1
1.6911849570281152e-238	0.3635672779360516	0.503	0.396	4.513096176325228e-234	0	SMDT1
5.430706797211988e-237	0.3313707790876798	0.346	0.246	1.449238415903991e-232	0	ELL2
1.499171514346661e-236	0.31836693283180595	0.494	0.379	4.0006891031854995e-232	0	PIM2
5.28921855153152e-231	0.4152090183983027	0.321	0.227	1.4114808626617014e-226	0	RCAN3
5.441805761837553e-230	0.5723950438791618	0.322	0.229	1.4522002856039693e-225	0	TNF
4.529764866448011e-228	0.5249089061712995	0.489	0.399	1.2088130522603161e-223	0	MRPL18
2.146573549676348e-227	0.30127751846402406	0.486	0.373	5.728346174666302e-223	0	TNFAIP8
3.566538910830787e-226	0.27228478588274196	0.343	0.24	9.517665737443039e-222	0	CD28
8.108358397405835e-214	0.28716024493685577	0.789	0.713	2.1637965219317211e-209	0	TAGLN2
2.2087719425822794e-213	0.46170336692976655	0.322	0.233	5.894328805975071e-209	0	TSPYL1
1.8626181491139861e-211	0.2783831100723828	0.664	0.568	4.970582792725583e-207	0	DDX3X
1.195016856912458e-209	0.28744555667867966	0.363	0.261	3.1890219843565855e-205	0	TRAT1
1.526326466099252e-205	0.3811476929974307	0.505	0.409	4.073154807432464e-201	0	DDX21
7.47478123825848e-205	0.4994938018133561	0.388	0.301	1.994720121241658e-200	0	TUBA1C
2.3643098494072473e-204	0.4514992967327208	0.409	0.317	6.309397264128181e-200	0	DDIT3
7.846112152769596e-200	0.403232096840215	0.866	0.824	2.0938134890880946e-195	0	HSPA1B
