p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.8935818861024183	0.483	0.161	0	0	CCR7
0	1.4914254852317552	0.319	0.095	0	0	CD40LG
0	1.3648097016194582	0.679	0.384	0	0	KLF2
0	1.3389789803749617	0.615	0.308	0	0	GPR183
0	1.2891352842996484	0.254	0.087	0	0	MAL
0	1.2630828431248717	0.564	0.329	0	0	LMNA
0	1.2525853639290978	0.295	0.121	0	0	LEF1
0	1.219002439081371	0.553	0.319	0	0	CDKN1A
0	1.2153254965829774	0.255	0.098	0	0	ZBTB10
0	1.196376253822838	0.509	0.213	0	0	TCF7
0	1.1688405065065375	0.943	0.537	0	0	IL7R
0	1.1280333754089287	0.388	0.185	0	0	AQP3
0	1.1272445894961933	0.762	0.515	0	0	ANXA1
0	1.1244721287155919	0.296	0.13	0	0	FAAH2
0	1.062083397726393	0.284	0.135	0	0	ICAM2
0	1.0385752748221053	0.535	0.315	0	0	SOCS3
0	0.9702722788169074	0.414	0.22	0	0	FLT3LG
0	0.9591998271865654	0.994	0.969	0	0	FTH1
0	0.9139883320584599	0.553	0.325	0	0	CD55
0	0.9087885735094277	0.448	0.283	0	0	SOD2
0	0.8719414475336311	0.931	0.793	0	0	FOS
0	0.8470317449189001	0.409	0.26	0	0	PNP
0	0.8346566793203849	0.408	0.265	0	0	CHMP1B
0	0.8345131888935362	0.483	0.367	0	0	EGR1
0	0.8297661784612984	0.945	0.82	0	0	NFKBIA
0	0.8195454180367556	0.266	0.138	0	0	TIMP1
0	0.8185588556640647	0.298	0.175	0	0	SELL
0	0.8180405511047169	0.827	0.633	0	0	FOSB
0	0.8062045878179517	0.275	0.16	0	0	TUBB2A
0	0.7845885236369433	0.387	0.233	0	0	ARL4A
0	0.7699489178410879	0.956	0.872	0	0	PABPC1
0	0.7528587222951348	0.373	0.23	0	0	MARCKSL1
0	0.7499303411454848	0.263	0.161	0	0	ETV3
0	0.7453710966392437	0.985	0.905	0	0	JUNB
0	0.7296446537771839	0.41	0.263	0	0	HOOK2
0	0.7278382741348683	0.781	0.477	0	0	LTB
