p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.4261088950000804	0.66	0.284	0	0	F13A1
0	1.2850105124655915	0.655	0.312	0	0	MEF2C
0	1.8365228298191092	0.595	0.262	0	0	C3
0	1.8059074048608401	0.593	0.272	0	0	PRDM1
0	1.5418585107056013	0.864	0.548	0	0	BTG2
0	2.2029329261197854	0.731	0.418	0	0	CCL3L1
0	1.683133886482394	0.874	0.565	0	0	RGS1
0	1.8408528536352633	0.471	0.163	0	0	PLD4
0	1.4126074287256536	0.89	0.588	0	0	NR4A1
0	2.1955749639039714	0.696	0.396	0	0	CCL4L2
0	1.7452067615716547	0.404	0.111	0	0	OLFML3
0	1.0339643893145003	0.829	0.539	0	0	CSF1R
0	1.647512919739429	0.92	0.635	0	0	NR4A2
0	1.2009042622464672	0.863	0.584	0	0	RGS2
0	1.9687757947188667	0.382	0.103	0	0	CX3CR1
0	1.0314384885231043	0.915	0.668	0	0	NAMPT
0	1.2610389005343783	0.929	0.683	0	0	FOSB
0	0.8616179561097148	0.898	0.659	0	0	C1QC
0	1.0978691706117156	0.919	0.701	0	0	IER3
0	1.2333742620425072	0.925	0.712	0	0	IER2
0	1.0347916372917951	0.944	0.771	0	0	ATF3
0	1.0116960895653637	0.938	0.779	0	0	GADD45B
0	1.0555135968601599	0.959	0.802	0	0	HSPA1B
0	1.036683516624357	0.958	0.809	0	0	CD83
0	0.9398229026020264	0.969	0.86	0	0	HSPA1A
0	0.9313563964527747	0.976	0.875	0	0	JUNB
0	1.0268166222083064	0.988	0.891	0	0	ZFP36
0	1.2506302193380705	0.989	0.899	0	0	FOS
0	0.9940207581875606	0.99	0.913	0	0	DUSP1
0	0.7103374141872769	0.977	0.931	0	0	ITM2B
2.747e-321	1.4543491182039248	0.456	0.155	7.3306575e-317	0	GPR34
2.6205617e-317	1.7737738722855791	0.742	0.483	6.99323104477e-313	0	CCL4
3.39827590146e-312	1.449220256591542	0.549	0.232	9.068639070630403e-308	0	STAB1
1.6865511169546123e-302	1.3554470694147343	0.832	0.624	4.500730310705078e-298	0	CCL3
1.1916458146368006e-290	1.276424379379034	0.799	0.519	3.180026020939766e-286	0	EGR1
2.4478796045387834e-288	1.0405069147615074	0.694	0.392	6.532411512672197e-284	0	ADAP2
4.879506295882693e-288	1.3448914693130494	0.596	0.287	1.3021450501192555e-283	0	RBKS
7.646133620701033e-288	1.285766437987856	0.684	0.378	2.0404472180202777e-283	0	NR4A3
1.0596455753060554e-287	1.5164511383369415	0.43	0.153	2.8277701822617395e-283	0	LTC4S
2.3843893080311982e-287	0.9753241189016615	0.83	0.575	6.362981307412055e-283	0	IER5
2.404785842421584e-286	1.7155492078824832	0.334	0.091	6.417411499086239e-282	0	SLC40A1
3.894565695471731e-280	0.9197974259819981	0.944	0.804	1.0393038014935861e-275	0	SGK1
4.1577231630911517e-280	1.1438227969416133	0.845	0.63	1.1095300033025048e-275	0	HERPUD1
2.7887862132090364e-271	1.229381121470774	0.8	0.564	7.442154888569635e-267	0	DUSP2
4.7153909150507285e-266	2.2229258267166405	0.3	0.08	1.2583492195904375e-261	0	CLDN1
1.118122610739919e-265	1.7486053260716277	0.451	0.186	2.983821999020548e-261	0	ARL5B
2.2648466179031892e-265	1.2227573044152666	0.766	0.52	6.04396968453645e-261	0	ZNF331
5.923848110591365e-263	1.1754349042471408	0.528	0.239	1.5808381067924118e-258	0	FRMD4B
2.6823124077146377e-259	1.72502205457193	0.364	0.122	7.158018891227282e-255	0	AF213884.3
1.6459976461104522e-257	1.3465847631179666	0.729	0.479	4.3925093184103526e-253	0	IL1B
4.59267173596715e-252	0.9446120003893834	0.886	0.672	1.2256003794601937e-247	0	HSPH1
2.5137011432654782e-250	1.2872379752592218	0.422	0.158	6.708062870918255e-246	0	ADAM28
3.5372085838386283e-248	0.7120760317173795	0.98	0.904	9.439394826831764e-244	0	JUN
1.1244492358308995e-246	0.6595697222466335	0.957	0.81	3.0007052307383383e-242	0	DNAJB1
1.5521499156671294e-246	1.3145587368071254	0.758	0.503	4.1420672649493014e-242	0	NFKB1
2.286537405049362e-241	0.7261972547385938	0.884	0.663	6.101853719114727e-237	0	MARCKS
5.4365301334750845e-241	0.9689590617673212	0.802	0.559	1.450792431419161e-236	0	EIF4A3
2.741236283113079e-240	0.6436937309591197	0.991	0.963	7.315263145115563e-236	0	HSP90AA1
8.089627894497149e-240	0.8865983925839656	0.7	0.398	2.1587980999255093e-235	0	A2M
2.8304429302645567e-233	1.359654821646141	0.314	0.094	7.553320003703996e-229	0	FCGBP
4.041148177903191e-233	1.229182111979303	0.554	0.284	1.0784208027552456e-228	0	DOCK4
4.090967527314117e-233	1.513862712873081	0.463	0.212	1.0917155943390452e-228	0	PRMT9
5.153575401894071e-233	0.6528327149324227	0.904	0.677	1.3752831317494518e-228	0	C1QA
3.9474058881998847e-230	1.0130927053417094	0.841	0.61	1.0534047353250212e-225	0	NFKBIZ
