p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
4.7153909150507285e-266	2.2229258267166405	0.3	0.08	1.2583492195904375e-261	0	CLDN1
0	2.2029329261197854	0.731	0.418	0	0	CCL3L1
0	2.1955749639039714	0.696	0.396	0	0	CCL4L2
0	1.9687757947188667	0.382	0.103	0	0	CX3CR1
0	1.8408528536352633	0.471	0.163	0	0	PLD4
0	1.8365228298191092	0.595	0.262	0	0	C3
0	1.8059074048608401	0.593	0.272	0	0	PRDM1
2.6205617e-317	1.7737738722855791	0.742	0.483	6.99323104477e-313	0	CCL4
1.118122610739919e-265	1.7486053260716277	0.451	0.186	2.983821999020548e-261	0	ARL5B
0	1.7452067615716547	0.404	0.111	0	0	OLFML3
2.6823124077146377e-259	1.72502205457193	0.364	0.122	7.158018891227282e-255	0	AF213884.3
2.404785842421584e-286	1.7155492078824832	0.334	0.091	6.417411499086239e-282	0	SLC40A1
0	1.683133886482394	0.874	0.565	0	0	RGS1
0	1.647512919739429	0.92	0.635	0	0	NR4A2
0	1.5418585107056013	0.864	0.548	0	0	BTG2
1.0596455753060554e-287	1.5164511383369415	0.43	0.153	2.8277701822617395e-283	0	LTC4S
4.090967527314117e-233	1.513862712873081	0.463	0.212	1.0917155943390452e-228	0	PRMT9
2.6371308131854374e-189	1.5049128283351358	0.284	0.095	7.037447288066658e-185	0	FRMD4A
1.9044995654466018e-185	1.4837912984274038	0.463	0.234	5.082347540350801e-181	0	EGR2
2.747e-321	1.4543491182039248	0.456	0.155	7.3306575e-317	0	GPR34
0	3.3021406202107153	0.307	0.064	0	1	CHI3L1
1.9533823892366219e-112	2.0807969850820562	0.291	0.146	5.212796243916849e-108	1	ALDH1A1
1.0584340831729013e-237	1.8883911416165002	0.474	0.228	2.8245371943552044e-233	1	NUPR1
1.0803837796193891e-263	1.742577094495782	0.383	0.129	2.8831121542923017e-259	1	CCL18
3.11219244971985e-199	1.7353388893429909	0.618	0.45	8.305196771322392e-195	1	LIPA
5.366798138846898e-128	1.5515784227864922	0.402	0.232	1.4321837513326831e-123	1	CYP27A1
0	1.5226198290983	0.859	0.639	0	1	APOC1
4.0712155062415594e-88	1.518897484262707	0.375	0.243	1.0864445699956226e-83	1	PLA2G7
9.724037686224476e-292	1.5182972378857023	0.768	0.577	2.5949566969458636e-287	1	GPNMB
0	1.3450877036405178	0.852	0.614	0	1	APOE
9.963894165032264e-191	1.328513517552224	0.69	0.533	2.6589647968805102e-186	1	ACP5
8.785666669432668e-44	1.3189725126705485	0.263	0.173	2.344543007404802e-39	1	FUCA1
4.4831291033119327e-82	1.3150227743960645	0.367	0.232	1.1963678325098223e-77	1	GCHFR
7.352130212685644e-92	1.3136222280470662	0.528	0.426	1.961989468557291e-87	1	GM2A
1.7333706664456634e-176	1.3105272718151895	0.694	0.574	4.6256729604768975e-172	1	PLD3
1.2100046870282507e-43	1.278066503273491	0.304	0.215	3.22901850780359e-39	1	NPL
2.0821271521397248e-68	1.2476660876110452	0.414	0.304	5.5563645182000694e-64	1	VAT1
0	1.1672046461554713	0.999	0.999	0	1	FTL
9.762511842584378e-28	1.1311744204947587	0.254	0.187	2.605223910312067e-23	1	KCNMA1
4.420557818489375e-42	1.0952219498593987	0.384	0.307	1.1796700594420745e-37	1	CD59
0	2.129695796677534	0.585	0.17	0	2	EREG
1.1153401579408249e-267	2.1179737390501687	0.328	0.09	2.9763967454808854e-263	2	PID1
3.665965105499151e-260	2.056151683609275	0.287	0.069	9.782994480535034e-256	2	SEMA6B
0	2.030522674403411	0.92	0.582	0	2	TIMP1
0	1.8553337845241813	0.538	0.164	0	2	MCEMP1
0	1.8499488695004491	0.615	0.231	0	2	VCAN
0	1.8448822413065202	0.395	0.108	0	2	CD300E
8.916947124552729e-195	1.7864025465141822	0.408	0.17	2.379576509658141e-190	2	INHBA
2.2024263444205087e-301	1.7389173876770516	0.552	0.239	5.877394942720569e-297	2	SLC25A37
7.832326743223279e-174	1.7074554793651893	0.306	0.11	2.090134714696564e-169	2	THBS1
3.6244414265549773e-224	1.690849537558484	0.485	0.219	9.672184390904612e-220	2	HK2
6.843527953447683e-223	1.6870955849457832	0.39	0.146	1.8262638696570487e-218	2	JARID2
8.1721160551193665e-255	1.6804386638921833	0.569	0.27	2.1808108904691543e-250	2	AREG
0	1.6734164532262232	0.543	0.165	0	2	FCN1
3.21158695476264e-308	1.6341337438153767	0.687	0.348	8.570440947479581e-304	2	S100A8
0	1.6216788107170088	0.668	0.302	0	2	THBD
0	1.5919404360461096	0.62	0.234	0	2	ANPEP
0	1.5867348336730882	0.81	0.476	0	2	PPIF
1.4190706700554805e-222	1.5698982226016036	0.368	0.13	3.786931990110055e-218	2	EHD1
4.803816850196293e-150	1.5560154807932762	0.302	0.118	1.2819465646433827e-145	2	GPAT3
2.3467324553927566e-55	2.1351974013845596	0.286	0.133	6.26249023046111e-51	3	SERPINH1
3.922169675642803e-43	2.102168089162586	0.495	0.365	1.0466701996420385e-38	3	HSPA6
2.0025436006044565e-211	2.058522374522273	0.515	0.17	5.343987852573053e-207	3	RETN
2.102993457881525e-229	1.8915211627042774	0.602	0.214	5.612048341702638e-225	3	MCEMP1
1.3450215361097391e-217	1.8565988507845512	0.695	0.318	3.58932447126245e-213	3	MARCO
1.3439742944783305e-107	1.7904034449353368	0.685	0.44	3.5865298022448726e-103	3	ZFAND2A
3.916303108699064e-170	1.603873268061836	0.936	0.755	1.0451046475874321e-165	3	HSPB1
1.696198366591619e-128	1.5606395469927854	0.532	0.24	4.526474961086395e-124	3	GCHFR
1.7407215325417104e-85	1.5507753592067566	0.271	0.094	4.645289481740808e-81	3	STAC
1.105468028901474e-48	1.5306807016968216	0.338	0.178	2.9500519819264736e-44	3	CCL18
5.306974602777718e-96	1.4541341996499737	0.796	0.557	1.4162192424972618e-91	3	CRIP1
3.1039903896092467e-65	1.3406008480567961	0.733	0.545	8.283308753711235e-61	3	BAG3
1.3951091330312145e-195	1.3348611207185557	0.968	0.882	3.722988232407099e-191	3	UBB
