pathological_response,final_annotation,mean_M2_immunosuppressive_UCell,mean_M1_inflammatory_UCell,mean_SPP1_signature_UCell,mean_IFN_response_UCell,n_cells
MPR,Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),0.266008281254019,0.129157802785057,0.194691579983734,0.0261476799753353,195
MPR,TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),0.147456738030183,0.0357822925544576,0.537519668796653,0.029654903677086,348
MPR,Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),0.215125971521872,0.107709025356649,0.239940425823862,0.0357569019317173,146
MPR,Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),0.164600620041944,0.0941653002975648,0.504762482926089,0.0573449930163357,55
MPR,Proliferating TAMs (cycling/MKI67+),0.108689162726274,0.0952302874146562,0.546585217787221,0.0605991203185592,77
MPR,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),0.216318598653102,0.210365970035309,0.118423563081326,0.247351846550243,28
MPR,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),0.24495709350273,0.0832628219401767,0.0974633648673715,0.0569472277889112,18
non-MPR,Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),0.246043278165234,0.199789251570084,0.479644503510002,0.127792429695925,3854
non-MPR,TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),0.176775896796079,0.0845067913604988,0.605676615497374,0.110913143359891,3075
non-MPR,Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),0.227598822337303,0.137854368727918,0.366120304226644,0.0877791109161576,2796
non-MPR,Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),0.186675036285162,0.123520357283441,0.506181789431114,0.107865465493714,1193
non-MPR,Proliferating TAMs (cycling/MKI67+),0.140712103492851,0.195718300172779,0.517583454843868,0.157068379609665,711
non-MPR,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),0.250146650929627,0.273958894627119,0.342754162274486,0.451569301745485,662
non-MPR,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),0.24293839852892,0.120248830995324,0.146126460767947,0.149330327321309,200
pCR,Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),0.246011755616412,0.138500471604883,0.246978109583388,0.0266825786404269,267
pCR,TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),0.129071152203048,0.0206344312556737,0.530242355492773,0.0295377078944213,234
pCR,Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),0.217589244909578,0.0916641206616506,0.183574260287387,0.030397401176168,387
pCR,Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),0.174390157652445,0.092594162684343,0.420291832541415,0.0370574482297929,52
pCR,Proliferating TAMs (cycling/MKI67+),0.118254764292879,0.053313293253173,0.527228714524207,0.0278356713426854,10
pCR,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),0.224243242548157,0.170080331603378,0.136695775009631,0.350650017984687,39
pCR,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),0.173489914187005,0.0611912714317524,0.0947662771285476,0.0471587619683812,30
