signature,p_value,median_MPR,median_pCR,p_adj
HALLMARK_INFLAMMATORY_RESPONSE,0.80940473355334,0.101462381833174,0.0995726152197213,0.899236212703705
HALLMARK_GLYCOLYSIS,0.386679368103517,0.0655101978308051,0.0689500842137498,0.899236212703705
HALLMARK_FATTY_ACID_METABOLISM,0.557264201227049,0.0683345148082194,0.0713051950270081,0.899236212703705
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.467855158257635,0.108083538295256,0.110006817746431,0.899236212703705
HALLMARK_TGF_BETA_SIGNALING,0.60473015116978,0.110770918721273,0.100411609968769,0.899236212703705
HALLMARK_HYPOXIA,0.863266764195557,0.118442039428932,0.116762984849802,0.899236212703705
HALLMARK_MYC_TARGETS_V1,0.863266764195557,0.176990312196636,0.179926640466833,0.899236212703705
HALLMARK_MYC_TARGETS_V2,0.386679368103517,0.0512720144998795,0.051911536667653,0.899236212703705
HALLMARK_KRAS_SIGNALING_UP,0.863266764195557,0.0752314262027325,0.0737449088960343,0.899236212703705
HALLMARK_MTORC1_SIGNALING,0.426167228024813,0.116822832235461,0.119573364579359,0.899236212703705
HALLMARK_G2M_CHECKPOINT,0.251204935415462,0.0578723010743375,0.0537436201704691,0.899236212703705
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.511561709704125,0.1110588742771,0.108890589177389,0.899236212703705
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.80940473355334,0.203076718176926,0.19034071234232,0.899236212703705
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.653902856689234,0.103614049435207,0.0998997410635342,0.899236212703705
HALLMARK_IL2_STAT5_SIGNALING,0.80940473355334,0.0864129999138109,0.0872904778127928,0.899236212703705
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.349368897356513,0.109531638324295,0.100393106577253,0.899236212703705
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.426167228024813,0.13847142377689,0.124033293743905,0.899236212703705
HALLMARK_COMPLEMENT,0.467855158257635,0.123260803636999,0.126195347544758,0.899236212703705
HALLMARK_ALLOGRAFT_REJECTION,0.173351931865864,0.144882384942674,0.137003325363454,0.899236212703705
HALLMARK_P53_PATHWAY,0.151736808083557,0.114880999166369,0.109307444966609,0.899236212703705
HALLMARK_APOPTOSIS,0.863266764195557,0.133242365113081,0.126897276973111,0.899236212703705
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.704504473854319,0.0754852717228051,0.0716551943154301,0.899236212703705
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.314371902607197,0.132534559370662,0.141270101471476,0.899236212703705
HALLMARK_NOTCH_SIGNALING,0.467855158257635,0.0393917583482599,0.0437711460682896,0.899236212703705
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1,0.140094565653997,0.13835688045198,1
