p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.44261302938641,0.796,0.249,0,0,HAMP
1.17769819998577e-220,2.12801739850328,0.574,0.222,2.86086446740542e-216,0,NKG7
0,1.95203632311334,0.81,0.321,0,0,CYP27A1
5.92116038195491e-198,1.81754995755813,0.403,0.102,1.43836827998449e-193,0,DLL1
0,1.72166961410987,0.804,0.326,0,0,KCNMA1
5.50761674631769e-74,1.7105332607304,0.268,0.105,1.33791026001549e-69,0,CADM1
2.60517305279659e-250,1.58584738218405,0.611,0.204,6.32848637985347e-246,0,RARRES1
6.27871795389867e-235,1.56805639941586,0.807,0.454,1.52522616536107e-230,0,IL18
8.16842946453548e-113,1.53235128741928,0.329,0.109,1.98427488552496e-108,0,HS3ST2
1.55902515509721e-245,1.52543151563378,0.726,0.334,3.78718390676214e-241,0,HSD17B14
2.21163800956357e-238,1.5251734220685,0.671,0.266,5.37251105283183e-234,0,PLPP3
8.15244063596321e-187,1.50162090374657,0.51,0.173,1.98039087928818e-182,0,AL365357.1
9.73430213380795e-270,1.49715091587817,0.769,0.355,2.36465667434463e-265,0,MGLL
5.68804272439427e-146,1.49025893221402,0.444,0.16,1.38173933860986e-141,0,EDNRB
8.75196552707407e-275,1.39971779023807,0.812,0.4,2.12602746583683e-270,0,FUCA1
1.46073766862969e-242,1.37748556632451,0.757,0.334,3.54842394463525e-238,0,CR1
2.40292965975491e-79,1.35552481664867,0.303,0.122,5.83719672947663e-75,0,SLC45A4
8.41192891659182e-127,1.30613333399885,0.578,0.299,2.04342577241848e-122,0,CYB561A3
1.49017260064518e-172,1.30053354239758,0.692,0.342,3.61992728148727e-168,0,ADAMDEC1
1.17701473755643e-76,1.2942918453718,0.318,0.136,2.85920420047209e-72,0,AC231533.2
6.69449610451096e-188,3.09007960061807,0.306,0.057,1.6262269937078e-183,1,HSD11B1
0,2.84980726098688,0.55,0.122,0,1,IDO1
9.40961806235915e-135,2.56838013397911,0.28,0.066,2.28578441970828e-130,1,CXCL11
0,2.53521794765464,0.761,0.262,0,1,FN1
7.52658621650101e-279,2.40271668092955,0.732,0.296,1.82835832371242e-274,1,CXCL10
1.23311494991688e-253,2.37273893182054,0.765,0.381,2.99548283633809e-249,1,CXCL9
4.96560496793964e-178,2.2684560726171,0.442,0.137,1.2062447588119e-173,1,SOCS1
5.52607130338332e-122,2.16472011960988,0.269,0.067,1.34239324101788e-117,1,CCND1
1.24074709183761e-220,2.12234799530662,0.625,0.238,3.01402283549192e-216,1,CLEC5A
5.12028279108958e-144,2.03763818393235,0.379,0.117,1.24381909561148e-139,1,AIM2
7.062339031356e-82,2.01832270037619,0.366,0.16,1.715583397497e-77,1,CHI3L1
1.96817289864607e-88,1.97321521830036,0.316,0.12,4.78108560539105e-84,1,IL1R2
1.90148898981966e-186,1.94925983699253,0.641,0.29,4.61909705406992e-182,1,SPP1
1.12278043855157e-115,1.89129679518838,0.278,0.073,2.72745824132947e-111,1,FLT1
1.31843617381001e-187,1.82446585207918,0.591,0.245,3.20274515341929e-183,1,CD274
1.42745385048002e-91,1.81250522605039,0.292,0.098,3.46757089358606e-87,1,SLC27A3
4.52516024791865e-89,1.80754622405536,0.263,0.082,1.0992519274244e-84,1,KRT17
7.39458520578547e-122,1.79917270983281,0.379,0.129,1.79629263818941e-117,1,ASCL2
2.12250721958022e-216,1.79181668161955,0.76,0.423,5.15599453780428e-212,1,CD40
7.13244232737512e-227,1.74738693899458,0.759,0.388,1.73261289016597e-222,1,ANKRD22
1.0412154333419e-169,3.11542486080015,0.253,0.038,2.52932053067414e-165,2,S100A12
1.8809328722975e-193,2.68090770397367,0.602,0.249,4.56916213338509e-189,2,APOBEC3A
2.07713323560234e-192,2.68064704736371,0.395,0.095,5.0457720559252e-188,2,TNIP3
4.1085019394786e-218,2.66540437630038,0.484,0.139,9.98037291138142e-214,2,LILRA1
3.59275712170148e-247,2.53767048091509,0.558,0.166,8.72752560003725e-243,2,RETN
3.2370946887106e-207,2.44689664131736,0.605,0.252,7.86355041781578e-203,2,LILRA5
0,2.29043247924657,0.943,0.67,0,2,TIMP1
8.54385931704554e-151,2.1910617614461,0.475,0.182,2.0754743052967e-146,2,EHD1
2.02216595300519e-251,2.06955472997946,0.729,0.303,4.91224553304021e-247,2,CD300E
1.20095138748743e-90,2.01945804850759,0.315,0.114,2.91735111048446e-86,2,ADGRE1
0,1.96830906363453,0.891,0.504,0,2,NAMPTP1
1.64994252362412e-159,1.95810214496021,0.624,0.313,4.00804037838772e-155,2,ADA
0,1.94339494799156,0.988,0.815,0,2,NAMPT
7.05365460184106e-136,1.90145078578791,0.499,0.204,1.71347377587923e-131,2,MARCKSL1
1.49387988112235e-62,1.89652197378564,0.286,0.12,3.62893300722242e-58,2,GNG2
4.96194117472428e-305,1.88460321903941,0.945,0.717,1.20535475016402e-300,2,LILRB2
2.22710687359823e-282,1.78742631569273,0.932,0.689,5.41008801734482e-278,2,LILRB1
