PathResponse,combined_annotation,mean_M2_immunosuppressive_UCell,mean_M1_inflammatory_UCell,mean_SPP1_signature_UCell,mean_IFN_response_UCell,n_cells
MPR,TAM_like_IFN (PD-L1+/IDO1+/CXCL9+),0.288779358910064,0.196933032732131,0.366887781719533,0.374795632932532,320
MPR,TAM_like_M2 (SIGLEC8+/CCL18+),0.281960661859793,0.0309575125092953,0.537858695309793,0.0813438197149015,53
MPR,TAM_like_MRC1,0.198236234723862,0.0660472844423023,0.477932894486592,0.122762261513181,948
MPR,TAM_like_SPP1,0.33319712223089,0.0783987728543507,0.383954739380449,0.0384621094039932,27
MPR,TAM_like_lipid (CCL18+/AKR+),0.283588861823566,0.0613894455577822,0.497782017648462,0.0284569138276553,7
MPR,TAM_like_regulatory (glucocorticoid-responsive),0.250605984620528,0.0407592963705188,0.386713967723984,0.028479180583389,12
MPR,TAM_like_resident_M2 (iron metabolism/anti-inflammatory),0.187556258519147,0.0490262576434921,0.369179401566714,0.0867324392374493,13
MPR,TAM_like_stress (HSP-high/M1-like),0.29695753928452,0.100828323313293,0.453238731218698,0.154655978623915,5
NMPR,TAM_like_IFN (PD-L1+/IDO1+/CXCL9+),0.250874766414077,0.181249742925706,0.439760603864326,0.375751919531451,1283
NMPR,TAM_like_M2 (SIGLEC8+/CCL18+),0.243363565272087,0.0599396533179353,0.512554823010102,0.136583902267812,118
NMPR,TAM_like_MRC1,0.24587803158756,0.0097151556090457,0.616324236571191,0.0787632104511132,4281
NMPR,TAM_like_SPP1,0.331669136763524,0.212530334300442,0.473459497171904,0.116243432137908,335
NMPR,TAM_like_lipid (CCL18+/AKR+),0.297289606803445,0.112347094440216,0.437327764307147,0.197777206942947,1061
NMPR,TAM_like_monocyte (classical inflammatory),0.270885432830629,0.192966351237602,0.22177364616164,0.136661114955372,1338
NMPR,TAM_like_regulatory (glucocorticoid-responsive),0.311436995221878,0.0158284357881209,0.478721612643816,0.0998142698280896,683
NMPR,TAM_like_resident_M2 (iron metabolism/anti-inflammatory),0.248276706974228,0.0718969423235097,0.454024979710646,0.125746242179108,1911
NMPR,TAM_like_stress (HSP-high/M1-like),0.302742365583062,0.277451327776326,0.474943182276419,0.2993914398846,1035
