subtype,signature,p_value,median_MPR,median_NMPR,p_adj
IFN-stimulated,HALLMARK_ANGIOGENESIS,2.80222853166887e-50,0.0436869539130761,0.0864832939588255,6.44512562283839e-49
IFN-stimulated,HALLMARK_HYPOXIA,2.71191310779627e-18,0.115643979992855,0.126772061450518,3.11870007396571e-17
IFN-stimulated,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,2.86936802245643e-17,0.0807011432654519,0.0895248302965345,2.1998488172166e-16
IFN-stimulated,HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.46418862458456e-14,0.133484280100036,0.151221864951768,8.41908459136123e-14
IFN-stimulated,HALLMARK_COMPLEMENT,2.91573821727652e-12,0.201067345480529,0.190403715612719,1.3412395799472e-11
IFN-stimulated,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,1.39234194560325e-10,0.130584572812176,0.143576617087513,5.33731079147914e-10
IFN-stimulated,HALLMARK_TGF_BETA_SIGNALING,5.37841117814394e-08,0.109601961893982,0.118040621266428,1.76719224424729e-07
IFN-stimulated,HALLMARK_GLYCOLYSIS,6.50351377312891e-08,0.0799178277956413,0.0850178635226867,1.86976020977456e-07
IFN-stimulated,HALLMARK_P53_PATHWAY,9.82258024646553e-06,0.111619328331547,0.115778849589139,2.51021495187452e-05
IFN-stimulated,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,4.70399250315411e-05,0.127185558601488,0.11915318994965,9.83562068841313e-05
IFN-stimulated,HALLMARK_ALLOGRAFT_REJECTION,4.51158728170443e-05,0.199462307967131,0.192577706323687,9.83562068841313e-05
IFN-stimulated,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.000394283821145792,0.167092964506758,0.162012915245674,0.000755710657196101
IFN-stimulated,HALLMARK_MYC_TARGETS_V1,0.000646169892125585,0.177533940693105,0.184306895319757,0.00114322365529911
IFN-stimulated,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.00234388602112098,0.172557163272597,0.182927831368346,0.00383993250118865
IFN-stimulated,HALLMARK_G2M_CHECKPOINT,0.00250430380512303,0.059046981064666,0.0561486245087531,0.00383993250118865
IFN-stimulated,HALLMARK_FATTY_ACID_METABOLISM,0.0561896124814035,0.0747753287084687,0.0760050615089178,0.0807725679420176
IFN-stimulated,HALLMARK_KRAS_SIGNALING_UP,0.0745627989875695,0.0948999642729547,0.0968470882458021,0.100879080983182
IFN-stimulated,HALLMARK_MYC_TARGETS_V2,0.0967446263699553,0.0381409091442038,0.0420394189168591,0.123618133694943
IFN-stimulated,HALLMARK_NOTCH_SIGNALING,0.188948760659888,0.0362002864846647,0.033440765082575,0.228727447114601
IFN-stimulated,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.246530474930992,0.152176917760885,0.150037845131142,0.283510046170641
IFN-stimulated,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.272290750266481,0.215146681634422,0.216398928573966,0.298223202672812
IFN-stimulated,HALLMARK_INFLAMMATORY_RESPONSE,0.324084721238955,0.138488745980707,0.135144694533762,0.338815844931635
IFN-stimulated,HALLMARK_IL2_STAT5_SIGNALING,0.454311155512063,0.1074335965542,0.107234386216798,0.454311155512063
Lipid-associated,HALLMARK_MYC_TARGETS_V1,0.00234405187681285,0.180519828510182,0.147504465880672,0.0269565965833477
Lipid-associated,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.00156013050507445,0.0872629611998835,0.138173460180324,0.0269565965833477
Lipid-associated,HALLMARK_ANGIOGENESIS,0.0122056264290069,0.103095586305171,0.0779521505981176,0.0935764692890531
Lipid-associated,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0648099600322364,0.105725259021079,0.0956305823508395,0.283463836165247
