source,target,ligand.complex,receptor.complex,aggregate_rank,mean_rank,sca.LRscore,sca.rank,natmi.edge_specificity,natmi.rank,connectome.weight_sc,connectome.rank
TAM_like_stress (HSP-high/M1-like),tumor_MPR,SPINK1,EGFR,2.85362064350852e-07,6591.66666666667,0.875048512129179,19761,0.535572692715421,13,5.90007284091536,1
TAM_like_regulatory (glucocorticoid-responsive),TAM_like_resident_M2 (iron metabolism/anti-inflammatory),CCL13,ACKR1,2.34885857781044e-05,18275,0.71346632351258,54620,0.338197441184202,87,3.55966488418897,118
TAM_like_stress (HSP-high/M1-like),tumor_MPR,LAMA4,ITGA6_ITGB4,3.11960207450082e-05,14983.6666666667,0.769034991274704,44807,0.277917096573315,136,4.24187984808407,8
tumor_MPR,CD8.TEMRA,CX3CL1,CX3CR1,3.25866016209332e-05,7145.33333333333,0.869564301355563,21217,0.348136971060337,80,3.29745425052515,139
TAM_like_stress (HSP-high/M1-like),Ciliated,EREG,ERBB2_ERBB4,4.53521499167068e-05,10511.6666666667,0.828928795942396,31211,0.25835895383302,160,3.18781538385687,164
TAM_like_IFN (PD-L1+/IDO1+/CXCL9+),TAM_like_SPP1,CXCL9,FCGR2A,5.21403231945886e-05,945,0.959453023645632,758,0.0736233427022553,1891,3.05683397124818,186
Ciliated,TAM_like_IFN (PD-L1+/IDO1+/CXCL9+),CD24,SIGLEC10,5.28208125657678e-05,1551.33333333333,0.938037414706224,4318,0.248424888466243,177,3.22190196341688,159
TAM_like_MRC1,tumor_MPR,FN1,SDC1,5.38122552417013e-05,1055.66666666667,0.951908012679071,1911,0.195286629688308,315,2.0186108664529,941
Ciliated,TAM_like_SPP1,SLPI,CD4,5.50036277016124e-05,1443.33333333333,0.951817216235413,1925,0.0735266011277957,1899,2.28478660649876,506
TAM_like_stress (HSP-high/M1-like),TAM_like_resident_M2 (iron metabolism/anti-inflammatory),LHB,GPR84,6.21443159912616e-05,19405.6666666667,0.690179518652997,57896,0.291135944142618,129,3.00914636117738,192
TAM_like_IFN (PD-L1+/IDO1+/CXCL9+),TAM_like_resident_M2 (iron metabolism/anti-inflammatory),CXCL9,ACKR1,6.87799668611967e-05,9906.33333333333,0.836065768110854,29476,0.426173620948931,41,2.9705159741537,202
Ciliated,Ciliated,TCTN1,TMEM67,7.01474053062762e-05,4432.33333333333,0.901532798166217,13048,0.414954350964483,45,2.96096023690686,204
TAM_like_IFN (PD-L1+/IDO1+/CXCL9+),TAM_like_M2 (SIGLEC8+/CCL18+),CXCL9,FCGR2A,7.16138904187957e-05,1075.33333333333,0.958228008658272,918,0.0691914466612974,2102,2.95884557089209,206
TAM_like_stress (HSP-high/M1-like),Ciliated,LAMA4,DAG1,7.64671178659062e-05,14920,0.77044665323878,44535,0.230571862767104,213,4.11678610894358,12
tumor_MPR,TAM_like_regulatory (glucocorticoid-responsive),ARTN,GFRA2,7.86341316945526e-05,14812.3333333333,0.772528442263805,44117,0.317322047206723,104,2.92541692757876,216
Ciliated,TAM_like_resident_M2 (iron metabolism/anti-inflammatory),SLPI,CD4,7.96659535192022e-05,1652.33333333333,0.950211383999684,2178,0.068628025555912,2142,2.18066180541716,637
TAM_like_MRC1,TAM_like_stress (HSP-high/M1-like),FN1,PLAUR,8.30034873595258e-05,1281,0.957139822704689,1082,0.0672459118085959,2208,2.23521559495073,553
TAM_like_IFN (PD-L1+/IDO1+/CXCL9+),TAM_like_stress (HSP-high/M1-like),CXCL9,FCGR2A,8.32292446812062e-05,1147.33333333333,0.957640461659128,1012,0.0672028336573831,2210,2.91487770581131,220
