source,target,ligand.complex,ligand,receptor.complex,receptor,receptor.prop,ligand.prop,ligand.expr,receptor.expr,global_mean,LRscore
CD8.EM,CD8.EM,ADAM10,ADAM10,CD44,CD44,0.632794457274827,0.142802155504234,0.263680603515965,1.42579005776722,0.122627252442012,0.833336493290487
CD8.EM,CD8.EM,TNFSF14,TNFSF14,TNFRSF14,TNFRSF14,0.100846805234796,0.145496535796767,0.287284184750144,0.184225632433096,0.122627252442012,0.652300627580852
CD8.EM,CD8.EM,TNF,TNF,TNFRSF1B,TNFRSF1B,0.31986143187067,0.151270207852194,0.341401305073316,0.629780235726582,0.122627252442012,0.790851467965342
CD8.EM,CD8.EM,TNF,TNF,FAS,FAS,0.15896843725943,0.151270207852194,0.341401305073316,0.292994106232467,0.122627252442012,0.720603327173885
CD8.EM,CD8.EM,TNF,TNF,VSIR,VSIR,0.106620477290223,0.151270207852194,0.341401305073316,0.198373785805827,0.122627252442012,0.679713735385125
CD8.EM,CD8.EM,TNF,TNF,ICOS,ICOS,0.169745958429561,0.151270207852194,0.341401305073316,0.35026535692458,0.122627252442012,0.738217703862564
CD8.EM,CD8.EM,HLA-B,HLA-B,CD8A,CD8A,0.983448806774442,0.993841416474211,3.83477826170734,2.90190326215508,0.122627252442012,0.964543392941797
CD8.EM,CD8.EM,HLA-B,HLA-B,CD3D,CD3D,0.58891454965358,0.993841416474211,3.83477826170734,1.26820347697636,0.122627252442012,0.947323063474619
CD8.EM,CD8.EM,HLA-B,HLA-B,CD3G,CD3G,0.68860662047729,0.993841416474211,3.83477826170734,1.56771451530497,0.122627252442012,0.952369111705834
CD8.EM,CD8.EM,HLA-B,HLA-B,CD8B,CD8B,0.417628945342571,0.993841416474211,3.83477826170734,0.850388972766656,0.122627252442012,0.936412018615769
CD8.EM,CD8.EM,HLA-B,HLA-B,KLRD1,KLRD1,0.130484988452656,0.993841416474211,3.83477826170734,0.274130663530576,0.122627252442012,0.893174622606953
CD8.EM,CD8.EM,HLA-DRA,HLA-DRA,LAG3,LAG3,0.255581216320246,0.539260969976905,1.25939272014474,0.501200753978018,0.122627252442012,0.866290009889894
CD8.EM,CD8.EM,HLA-DQA1,HLA-DQA1,LAG3,LAG3,0.255581216320246,0.405696689761355,0.857210837724968,0.501200753978018,0.122627252442012,0.842400165604441
CD8.EM,CD8.EM,HLA-DRB1,HLA-DRB1,LAG3,LAG3,0.255581216320246,0.574672825250192,1.30865360558954,0.501200753978018,0.122627252442012,0.86849661897983
CD8.EM,CD8.EM,HLA-DQB1,HLA-DQB1,LAG3,LAG3,0.255581216320246,0.317551963048499,0.630054929856635,0.501200753978018,0.122627252442012,0.820870680237994
CD8.EM,CD8.EM,HLA-A,HLA-A,CD8A,CD8A,0.983448806774442,0.999230177059276,4.25942416201616,2.90190326215508,0.122627252442012,0.966296088271388
CD8.EM,CD8.EM,HLA-A,HLA-A,CD3D,CD3D,0.58891454965358,0.999230177059276,4.25942416201616,1.26820347697636,0.122627252442012,0.949882766325558
CD8.EM,CD8.EM,HLA-A,HLA-A,CD3G,CD3G,0.68860662047729,0.999230177059276,4.25942416201616,1.56771451530497,0.122627252442012,0.954695340985054
CD8.EM,CD8.EM,HLA-A,HLA-A,CD8B,CD8B,0.417628945342571,0.999230177059276,4.25942416201616,0.850388972766656,0.122627252442012,0.939468037835743
CD8.EM,CD8.EM,HLA-DPB1,HLA-DPB1,LAG3,LAG3,0.255581216320246,0.693225558121632,1.61216681380087,0.501200753978018,0.122627252442012,0.879956814807309
CD8.EM,CD8.EM,LCK,LCK,CD8A_CD8B,CD8B,0.417628945342571,0.489607390300231,1.00898463335801,1.87614611746087,0.122627252442012,0.918166204315947
CD8.EM,CD8.EM,CD48,CD48,CD2,CD2,0.864896073903002,0.592763664357198,1.27930133658826,2.32266672951168,0.122627252442012,0.933585741027401
CD8.EM,CD8.EM,HLA-C,HLA-C,CD8A,CD8A,0.983448806774442,0.999230177059276,4.04409156871103,2.90190326215508,0.122627252442012,0.965441029721363
CD8.EM,CD8.EM,HLA-C,HLA-C,CD3D,CD3D,0.58891454965358,0.999230177059276,4.04409156871103,1.26820347697636,0.122627252442012,0.948633441657277
CD8.EM,CD8.EM,HLA-C,HLA-C,CD3G,CD3G,0.68860662047729,0.999230177059276,4.04409156871103,1.56771451530497,0.122627252442012,0.953560119142029
CD8.EM,CD8.EM,HLA-C,HLA-C,CD8B,CD8B,0.417628945342571,0.999230177059276,4.04409156871103,0.850388972766656,0.122627252442012,0.937976046526793
CD8.EM,CD8.EM,HLA-E,HLA-E,CD8A,CD8A,0.983448806774442,0.982678983833718,3.28705232448429,2.90190326215508,0.122627252442012,0.961811534763936
CD8.EM,CD8.EM,HLA-E,HLA-E,CD8B,CD8B,0.417628945342571,0.982678983833718,3.28705232448429,0.850388972766656,0.122627252442012,0.931666251786073
CD8.EM,CD8.EM,CD99,CD99,CD81,CD81,0.514626635873749,0.644726712856043,1.43756993978677,1.06437309790087,0.122627252442012,0.9098066215616
CD8.EM,CD8.EM,HLA-DPA1,HLA-DPA1,LAG3,LAG3,0.255581216320246,0.651655119322556,1.48676417488352,0.501200753978018,0.122627252442012,0.875613676305887
CD8.EM,CD8.EM,HLA-F,HLA-F,CD8A,CD8A,0.983448806774442,0.701693610469592,1.59145214638893,2.90190326215508,0.122627252442012,0.946018097696262
CD8.EM,CD8.EM,HLA-F,HLA-F,CD8B,CD8B,0.417628945342571,0.701693610469592,1.59145214638893,0.850388972766656,0.122627252442012,0.904641799631447
CD8.EM,CD8.EM,ICAM3,ICAM3,ITGAL,ITGAL,0.537336412625096,0.163972286374134,0.299398133717142,1.14306842740663,0.122627252442012,0.826708011599158
CD8.EM,CD8.EM,TNFSF9,TNFSF9,HLA-DPA1,HLA-DPA1,0.651655119322556,0.236335642802156,0.557668428208626,1.48676417488352,0.122627252442012,0.88131180812727
CD8.EM,CD8.EM,FASLG,FASLG,FAS,FAS,0.15896843725943,0.268283294842186,0.542391739288743,0.292994106232467,0.122627252442012,0.764753779700314
CD8.EM,CD8.EM,B2M,B2M,TFRC,TFRC,0.13356428021555,0.999230177059276,4.91665680375276,0.250902431506935,0.122627252442012,0.900570071842959
CD8.EM,CD8.EM,B2M,B2M,CD3D,CD3D,0.58891454965358,0.999230177059276,4.91665680375276,1.26820347697636,0.122627252442012,0.953190162629459
CD8.EM,CD8.EM,B2M,B2M,CD3G,CD3G,0.68860662047729,0.999230177059276,4.91665680375276,1.56771451530497,0.122627252442012,0.957699283534613
CD8.EM,CD8.EM,B2M,B2M,CD247,CD247,0.23941493456505,0.999230177059276,4.91665680375276,0.449220983144559,0.122627252442012,0.923776490785022
CD8.EM,CD8.EM,B2M,B2M,KLRD1,KLRD1,0.130484988452656,0.999230177059276,4.91665680375276,0.274130663530576,0.122627252442012,0.904464502682556
CD8.EM,CD8.EM,HLA-DRB3,HLA-DRB3,LAG3,LAG3,0.255581216320246,0.151655119322556,0.283094339024659,0.501200753978018,0.122627252442012,0.754404750592499
CD8.EM,CD8.EM,CD47,CD47,SIRPG,SIRPG,0.232101616628176,0.309083910700539,0.604339677425509,0.450560231410732,0.122627252442012,0.809715835332394
