source,target,ligand.complex,receptor.complex,aggregate_rank,mean_rank,sca.LRscore,sca.rank,natmi.edge_specificity,natmi.rank,connectome.weight_sc,connectome.rank
CD8.TEX,tumor_NMPR,CCL5,SDC1,1.60857013720005e-08,111.666666666667,0.959543054498949,121,0.265291170828474,99,2.04017613411401,115
Ciliated,tumor_NMPR,OMG,NGFR,9.226798353231e-08,17265.3333333333,0.694026235788802,51787,0.697656949441603,2,3.58028613595435,7
Ciliated,tumor_NMPR,FGF14,FGFR2,2.27836639322262e-07,9698.33333333333,0.8156232376676,29081,0.52335079133377,11,3.86641155751184,3
Ciliated,Ciliated,OMG,RTN4RL1,2.71141815239604e-07,17913.3333333333,0.679254091081448,53722,0.515981202786195,12,3.6617618830075,6
Ciliated,Ciliated,TCTN1,TMEM67,6.10033781408238e-07,6491,0.860711986393506,19454,0.469406658066156,18,4.07484374188751,1
CD8.TPEX,tumor_NMPR,XCL1,ADGRV1,9.1124987388486e-07,14379,0.74785833612619,43096,0.448327268616817,19,3.32851926640071,22
Ciliated,Ciliated,PIP,AQP5,1.47598875162466e-06,14700,0.742425275886632,44063,0.566573742982279,9,2.84966985758037,28
normal_NMPR,Ciliated,MMP7,ERBB4,2.17620439596863e-06,8849.66666666667,0.82829764657897,26483,0.383623954698664,34,2.73431978185999,32
Ciliated,normal_NMPR,PIP,AQP5,2.57710865085031e-06,16879,0.70236825448174,50564,0.37977701628533,36,2.64198869115516,37
Ciliated,Ciliated,MMP7,ERBB4,3.64422602830592e-06,9310,0.821443497472214,27853,0.348890713479117,44,2.67799382169238,33
CD8.TPEX,tumor_NMPR,CCL5,SDC1,4.1291713970434e-06,435,0.951320382229367,769,0.180110623335275,243,1.61523745655408,293
tumor_NMPR,Ciliated,DCN,ERBB4,4.33676278758327e-06,20484.6666666667,0.602366303848442,61359,0.338569293747469,47,2.49574496457269,48
normal_NMPR,M2-SIGLEC8+,MXRA5,SIGLEC8,4.89565691382891e-06,15311.6666666667,0.732520632936775,45867,0.470076712672096,17,2.37383178616906,51
Ciliated,Ciliated,SLPI,PLSCR4,5.28705686683224e-06,6741.33333333333,0.857772560063253,20125,0.342747435105592,46,2.36171358172291,53
SPP1+ immunosuppressive,tumor_NMPR,CXCL8,SDC1,5.45897657580597e-06,556.333333333333,0.950383696086406,844,0.110274049093709,619,1.78952092087284,206
Stress-response,tumor_NMPR,CXCL8,SDC1,6.14564455801745e-06,584,0.94991345436615,878,0.108106075626542,653,1.7675465527072,221
