partner,epithelial_axis,ligand,receptor,p_value,median_MPR_arm,median_NMPR_arm,n_MPR,n_NMPR,p_adj
CD8.TEX,normal,LAMB3,CD44,1.69E-192,0.229945327,0.819552209,419,1293,8.99E-190
CD8.TEX,normal,NECTIN2,CD96,4.55E-157,0.398961169,0.816999262,419,1293,5.60E-155
CD8.TEX,normal,LAMB1,ITGA1,1.09E-127,0.015819313,0.078172543,419,1293,5.82E-126
CD8.TEX,tumor,NECTIN4,TIGIT,4.99E-115,1.793819468,0,338,313,4.41E-114
CD8.TEX,tumor,HMGB1,SDC1,4.99E-115,3.012145463,3.787816601,338,313,4.41E-114
CD8.TEX,tumor,FAM3C,CLEC2D,4.99E-115,0.784407633,0.883198387,338,313,4.41E-114
CD8.TEX,tumor,HLA-E,CD8A,4.99E-115,6.753171111,5.179726516,338,313,4.41E-114
CD8.TEX,tumor,F11R,ITGAL_ITGB2,4.99E-115,2.235624874,1.536724201,338,313,4.41E-114
CD8.TEX,tumor,BMP7,ACTR2,4.99E-115,0.081533741,0.746716472,338,313,4.41E-114
CD8.TEX,tumor,MDK,NCL,4.99E-115,1.393332607,2.685705396,338,313,4.41E-114
CD8.TEX,tumor,ANXA1,EGFR,4.99E-115,0.237515601,2.78153376,338,313,4.41E-114
CD8.TEX,normal,TIGIT,NECTIN2,1.72E-115,0.418114647,0.754062898,419,1293,4.41E-114
CD8.TEX,normal,NECTIN2,TIGIT,1.72E-115,0.418114647,0.754062898,419,1293,4.41E-114
CD8.TEX,tumor,ARF6,PLD1,4.99E-115,0.075030932,0.470519748,338,313,4.41E-114
CD8.TEX,tumor,JAML,CXADR,4.99E-115,0.760800741,0.239807399,338,313,4.41E-114
CD8.TEX,tumor,CXADR,JAML,4.99E-115,0.760800741,0.239807399,338,313,4.41E-114
CD8.TEX,normal,CD96,PVR,4.67E-105,0.115835307,0.170349587,419,1293,3.72E-104
CD8.TEX,normal,NECTIN4,TIGIT,1.06E-97,0.499043535,0.280270165,419,1293,7.96E-97
CD8.TEX,normal,PCSK1N,GPR171,3.55E-82,0.040300065,0.209570764,419,1293,1.93E-81
CD8.TEX,normal,GZMB,IGF2R,2.33E-80,0.45400677,0.633164825,419,1293,1.26E-79
CD8.TEX,normal,LGALS3,LAG3,2.01E-76,1.056799227,1.537364177,419,1293,1.07E-75
CD8.TEX,normal,CEACAM5,CD8A,1.56E-56,0.020429425,0.210978822,419,1293,6.56E-56
CD8.TEX,normal,LAMC1,ITGA1,1.51E-51,0.191723679,0.367535171,419,1293,6.07E-51
CD8.TEX,normal,IFNG,IFNGR1_IFNGR2,3.09E-46,0.38441488,0.621650141,419,1293,1.13E-45
CD8.TEX,normal,HLA-A,CD3G,3.70E-43,6.409697244,6.725295827,419,1293,1.28E-42
CD8.TEX,normal,LTF,BTN3A2,2.76E-42,0.668714018,0.48402986,419,1293,9.44E-42
CD8.TEX,tumor,CCL5,SDC4,8.16E-35,2.787715986,5.072712557,338,313,1.94E-34
CD8.TEX,tumor,CEACAM5,CD8A,8.16E-35,3.561091194,0,338,313,1.94E-34
CD8.TEX,tumor,S100A4,EGFR,8.16E-35,0.865815761,6.465772951,338,313,1.94E-34
CD8.TEX,tumor,B2M,TFRC,8.16E-35,11.3686262,1.752930421,338,313,1.94E-34
CD8.TEX,tumor,HLA-A,CD3D,8.16E-35,4.639928603,7.282395246,338,313,1.94E-34
CD8.TEX,tumor,HSP90AA1,EGFR,8.16E-35,1.52520014,9.93044835,338,313,1.94E-34
CD8.TEX,tumor,GNAI2,EGFR,8.16E-35,0.827633387,6.645537481,338,313,1.94E-34
CD8.TEX,tumor,COL4A5,ITGA1_ITGB1,8.16E-35,0.256456474,0.876533718,338,313,1.94E-34
CD8.TEX,tumor,MDK,ITGA4_ITGB1,8.16E-35,0.848165462,1.562195291,338,313,1.94E-34
CD8.TEX,tumor,CALM3,EGFR,8.16E-35,0.549181088,3.990143037,338,313,1.94E-34
CD8.TEX,tumor,FAM3C,PDCD1,8.16E-35,0.479063897,0.748864546,338,313,1.94E-34
CD8.TEX,tumor,DLK2,NOTCH1,8.16E-35,0.018026847,0.260270109,338,313,1.94E-34
