source,target,ligand,receptor,p_value,median_MPR,median_NMPR,n_MPR,n_NMPR,p_adj
Ciliated,CD8.TEX,CD59,CD2,0.785714285714286,6.97588528121261,6.68904282442133,3,5,1
IFN-stimulated,CD8.TEX,HLA-C,CD8A,1,11.9221359435819,12.4477292139561,3,9,1
Ciliated,CD8.TPEX,CD59,CD2,0.785714285714286,5.81153035467051,5.50603975052607,3,5,1
Regulatory,CD8.TEX,CLEC4G,LAG3,0.779153129367871,0,0,3,7,1
CD8.TEX,Ciliated,CCL5,SDC4,0.25,5.66643967541429,3.93223565753506,3,5,1
Regulatory,CD8.TPEX,CLEC4G,LAG3,0.416074702812503,0,0,3,7,1
Regulatory,CD8.TEX,CCL13,CXCR3,0.0286557342167008,0.291304207546332,0,3,7,1
CD8.TEX,Regulatory,CCL5,CCR1,0.516666666666667,4.37850789532187,5.79711012003663,3,7,1
SPP1+ immunosuppressive,CD8.TEX,HLA-DRB3,LAG3,0.833333333333333,1.23381822462888,1.25276279881886,3,7,1
CD8.TEX,Resident M2,IFNG,IFNGR1_IFNGR2,0.833333333333333,0.935625311611202,1.63996923397154,3,7,1
IFN-stimulated,CD8.TEX,HLA-A,CD8A,0.863636363636364,11.7303805377522,12.3639130649842,3,9,1
CD8.TPEX,Resident M2,CXCL13,ACKR1,0.515304698967525,0,0,3,7,1
CD8.TEX,IFN-stimulated,CCL5,CCR1,1,4.85796641476253,4.49876174850354,3,9,1
SPP1+ immunosuppressive,CD8.TPEX,HLA-DRB3,LAG3,0.644461295362125,0,0.899073656855275,3,7,1
MRC1+ M2-like,CD8.TEX,HLA-DQB1,LAG3,0.863636363636364,2.08707795126938,2.06224798885112,3,9,1
CD8.TEX,SPP1+ immunosuppressive,CCL5,CCR1,0.516666666666667,5.89573708230682,3.5573489237339,3,7,1
MRC1+ M2-like,CD8.TEX,HLA-C,CD8A,0.372727272727273,12.9164180592362,12.033543260459,3,9,1
Resident M2,CD8.TEX,HLA-DRB3,LAG3,0.731656788769528,1.04063591677627,1.75147324736899,3,7,1
IFN-stimulated,CD8.TEX,SECTM1,CD7,1,1.68463945882637,1.53613133737402,3,9,1
IFN-stimulated,CD8.TPEX,SECTM1,CD7,1,2.09426986356397,1.41254484336237,3,9,1
Regulatory,CD8.TPEX,CCL13,CXCR3,0.157870586500368,0.118556487843521,0,3,7,1
Resident M2,CD8.TEX,HLA-C,CD8A,0.833333333333333,12.6796323920694,11.5769465045756,3,7,1
CD8.TPEX,Resident M2,IFNG,IFNGR1_IFNGR2,0.3035889878769,0.874094672083091,1.60374574229038,3,7,1
MRC1+ M2-like,CD8.TPEX,HLA-DQB1,LAG3,0.263891390522455,0,2.96071227505978,3,9,1
CD8.TPEX,SPP1+ immunosuppressive,TNFSF9,HLA-DPA1,0.797351470111364,0,0,3,7,1
