source,target,ligand.complex,receptor.complex,p_value,median_MPR,median_NMPR,p_adj
CD8.TEX,Ciliated,CCL5,SDC4,3.98596751051128e-48,5.66643967541429,3.93223565753506,4.78316101261354e-47
CD8.TPEX,Ciliated,CCL5,SDC4,1.3909241969444e-106,3.19525760656979,1.93537383712491,3.33821807266656e-105
CD8.TPEX,Ciliated,CXCL13,GRM7,5.60882260678865e-14,0,0,9.61512446878054e-14
CD8.TEX,Ciliated,CCL5,GRM7,1.97402047188129e-41,0.269873138596009,0,6.7680701893073e-41
CD8.TEX,Ciliated,GZMA,PARD3,3.83996795491624e-28,1.10365725109886,0.813396759455635,9.21592309179896e-28
CD8.TPEX,Normal,XCL1,ADGRV1,,0,0,
CD8.TEX,Normal,CCL5,SDC1,0.24878404325488,0,0,0.24878404325488
CD8.TPEX,Normal,CRTAM,CADM1,2.47830305318372e-35,0,0,7.43490915955117e-35
CD8.TEX,Normal,CCL5,SDC4,1.75506926279963e-10,0.00902304036273711,0.00797175648283467,2.10608311535955e-10
CD8.TPEX,Normal,CCL5,SDC1,5.37858739324184e-26,0,0,1.07571747864837e-25
CD8.TEX,Tumor,CCL5,SDC1,6.53614922135259e-11,0.00204272627864991,0,8.71486562847013e-11
CD8.TPEX,Tumor,XCL1,ADGRV1,,0,0,
CD8.TPEX,Tumor,CCL5,SDC1,2.89107860946871e-45,0,0,1.15643144378748e-44
CD8.TPEX,Tumor,HMGB1,SDC1,2.89107860946871e-45,0,0,1.15643144378748e-44
CD8.TEX,Tumor,HMGB1,SDC1,4.25265587790751e-06,0.0248763870629299,0,4.63926095771728e-06
CD8.TPEX,Ciliated,SEMA4D,PLXNB1,2.73701762473835e-08,0.497848014287766,0.459922878974217,3.12802014255811e-08
CD8.TEX,Ciliated,SEMA4D,PLXNB1,5.90915871352565e-35,0.291197476180881,0.229681110855049,1.57577565694017e-34
CD8.TPEX,Normal,COL6A3,SDC1,9.63281652239405e-13,0,0,1.54125064358305e-12
CD8.TEX,Normal,CCL5,DPP4,5.88363979216842e-22,0.00497528521249507,0.00827346304134318,1.08621042316955e-21
CD8.TPEX,Tumor,COL6A3,SDC1,2.89107860946871e-45,0,0,1.15643144378748e-44
CD8.TEX,Tumor,GZMA,PARD3,6.53614922135259e-11,0.000410879576872239,0,8.71486562847013e-11
