source,target,ligand.complex,receptor.complex,p_value,median_MPR,median_NMPR,p_adj
CD8.TEX,IFN-stimulated,CCL5,CCR1,8.97320437814845e-06,4.85796641476253,4.49876174850354,1.14204419358253e-05
CD8.TPEX,IFN-stimulated,TNFSF9,HLA-DPA1,0.0486432118108965,0,0,0.0510753724014413
CD8.TEX,IFN-stimulated,CD52,SIGLEC10,8.65643184492675e-50,0.780752711980562,1.38302494389959,3.30518306806294e-49
CD8.TPEX,IFN-stimulated,CD52,SIGLEC10,9.26540812047239e-39,0.951492873415362,1.29790376416477,2.77962243614172e-38
CD8.TEX,IFN-stimulated,IFNG,IFNGR1_IFNGR2,1.4658144998292e-10,1.07454544834322,1.39992346972672,2.46256835971306e-10
CD8.TEX,M2-SIGLEC8+,CCL5,CCR1,2.31339420871626e-63,5.51846893541638,3.84217562679076,1.38803652522976e-62
CD8.TPEX,M2-SIGLEC8+,TNFSF9,HLA-DPA1,0.405981254324039,1.35408196772119,0,0.405981254324039
CD8.TEX,M2-SIGLEC8+,ENTPD1,ADORA3,5.82018661719105e-112,0.53533803200807,0.203758422632574,8.14826126406747e-111
CD8.TEX,M2-SIGLEC8+,SPN,SIGLEC1,5.60024265706391e-38,1.17769271600567,0.954147510356931,1.56806794397789e-37
CD8.TPEX,M2-SIGLEC8+,CCL5,CCR1,1.53340599357719e-108,5.32966197312014,2.12885659238081,1.61007629325605e-107
CD8.TPEX,MRC1+ M2-like,TNFSF9,HLA-DPA1,0.0486432118108965,0,0,0.0510753724014413
CD8.TEX,MRC1+ M2-like,CCL5,CCR1,5.06085086810607e-37,3.6252431014947,3.95389285123574,1.32847335287784e-36
CD8.TPEX,MRC1+ M2-like,CIRBP,TREM1,1.70060150612518e-10,0,0.881232927515411,2.74712550989451e-10
CD8.TEX,MRC1+ M2-like,CCL5,CCRL2,0.00399523163347568,2.02067210566642,1.71190794514756,0.00479427796017081
CD8.TEX,MRC1+ M2-like,IFNG,IFNGR1_IFNGR2,5.4383462245079e-21,0.965520319960012,0.800957351857653,1.03822973376969e-20
CD8.TEX,Resident M2,IFNG,IFNGR1_IFNGR2,0.0106890008138206,0.935625311611202,1.63996923397154,0.0124705009494574
CD8.TPEX,Resident M2,CXCL13,ACKR1,2.18215418243194e-44,0,0,7.6375396385118e-44
CD8.TPEX,Resident M2,IFNG,IFNGR1_IFNGR2,1.21656340143093e-35,0.874094672083091,1.60374574229038,2.83864793667218e-35
CD8.TEX,Resident M2,CCL5,ACKR1,1.82492890949926e-06,0,0,2.39521919371778e-06
CD8.TPEX,Resident M2,TNFSF9,HLA-DPA1,0.0749578914601385,0,0,0.0767861327152638
CD8.TEX,SPP1+ immunosuppressive,CCL5,CCR1,5.46487592616942e-09,5.89573708230682,3.5573489237339,7.91464789307296e-09
CD8.TPEX,SPP1+ immunosuppressive,TNFSF9,HLA-DPA1,0.014440251169538,0,0,0.0159602776084368
CD8.TEX,SPP1+ immunosuppressive,SPN,SIGLEC1,2.0117094483465e-10,1.16486634337397,0.791068287849758,3.12932580853901e-10
CD8.TPEX,SPP1+ immunosuppressive,CD200,CD200R1,0.000370685649229666,0,0,0.000457905801989588
CD8.TPEX,SPP1+ immunosuppressive,CCL4,CCR1,0.011533832084926,1.11567647261894,2.51931367840197,0.0130924580423484
CD8.TPEX,IFN-stimulated,CCL5,CCR1,3.8088440371759e-114,3.18596579220192,2.22246195087079,7.99857247806939e-113
CD8.TEX,IFN-stimulated,GZMB,IGF2R,1.02462021386625e-15,1.14588359505612,1.75208342672253,1.87104560792968e-15
CD8.TEX,IFN-stimulated,CCL5,CCRL2,9.55076970595672e-44,2.16557500529535,1.82840870992579,3.08563328961679e-43
CD8.TEX,M2-SIGLEC8+,GZMB,IGF2R,9.79999954449009e-14,1.72700730221366,1.51592922541087,1.71499992028577e-13
CD8.TPEX,M2-SIGLEC8+,CRTAM,CADM1,1.00819630302086e-53,2.42699751851373,0.0482899458825682,4.23442447268763e-53
CD8.TEX,M2-SIGLEC8+,CD52,SIGLEC10,5.18326377776879e-125,0.186144999504883,2.12206574256228,2.17697078666289e-123
CD8.TEX,MRC1+ M2-like,CCL5,SDC4,1.0533607386785e-62,1.54196540111393,1.79563268261347,5.53014387806215e-62
CD8.TEX,MRC1+ M2-like,GZMB,IGF2R,1.67329534606149e-65,1.09284449339002,1.71172455552494,1.40556809069165e-64
CD8.TPEX,MRC1+ M2-like,GZMB,IGF2R,3.49435048292799e-36,0,1.41856045668279,8.63310119311621e-36
CD8.TEX,Resident M2,CCL5,CCR1,2.61529310510404e-61,7.53108279206354,3.82496105915204,1.22047011571522e-60
CD8.TEX,Resident M2,CD52,SIGLEC10,1.07778935324812e-32,0.829014195874325,2.44667801056667,2.26335764182104e-32
CD8.TPEX,Resident M2,CCL5,CCR1,2.36031357748514e-65,4.00391765667643,1.80888245576852,1.6522195042396e-64
CD8.TEX,Resident M2,GZMB,IGF2R,3.52354304415047e-30,2.30848050875012,1.22662335211648,7.04708608830093e-30
CD8.TPEX,Resident M2,CD52,SIGLEC10,1.07778935324812e-32,0.910891422559967,0.989392110185361,2.26335764182104e-32
CD8.TPEX,SPP1+ immunosuppressive,CCL5,CCR1,5.46487592616942e-09,4.0958503498939,2.2555004010767,7.91464789307296e-09
CD8.TEX,SPP1+ immunosuppressive,CCL5,CCRL2,2.39019232097898e-07,0.964083587106386,1.27128346423282,3.23832508003603e-07
CD8.TPEX,SPP1+ immunosuppressive,IFNG,IFNGR1_IFNGR2,4.12804578852191e-08,1.25453932293156,1.27363881617732,5.77926410393067e-08
