source,target,ligand.complex,receptor.complex,p_value,median_MPR,median_NMPR,p_adj
Ciliated,CD8.TEX,CD59,CD2,3.27738867151303e-07,6.97588528121261,6.68904282442133,4.46916637024503e-07
Tumor,CD8.TEX,NECTIN4,TIGIT,4.25265587790751e-06,0.00011466160104249,0,4.25265587790751e-06
Ciliated,CD8.TEX,OMG,TNFRSF1B,2.45387046600926e-14,1.2456974875161,1.34246557832789,5.25829385573413e-14
Tumor,CD8.TEX,NECTIN1,CD96,4.25265587790751e-06,9.00058812857686e-05,0,4.25265587790751e-06
Tumor,CD8.TEX,HLA-A,CD8A,6.53614922135259e-11,0.0604740259745563,0,1.08935820355877e-10
Ciliated,CD8.TPEX,CD59,CD2,4.08566305030654e-29,5.81153035467051,5.50603975052607,1.02141576257663e-28
Tumor,CD8.TPEX,GPI,NTRK1,2.89107860946871e-45,0,0,1.44553930473435e-44
Normal,CD8.TPEX,CADM1,CRTAM,2.47830305318372e-35,0,0,9.29363644943897e-35
Ciliated,CD8.TPEX,OMG,TNFRSF1B,1.72832958081204e-08,0,1.67625008356215,2.59249437121807e-08
Tumor,CD8.TPEX,NECTIN4,TIGIT,,0,0,
Ciliated,CD8.TEX,PCSK1N,GPR171,9.53721117905221e-31,0.328177692683498,0.376073029592181,2.86116335371566e-30
Tumor,CD8.TEX,CEACAM5,CD8A,2.89107860946871e-45,0,0,1.44553930473435e-44
Tumor,CD8.TPEX,NECTIN1,CD96,8.1475488897561e-48,0.000520878882132775,0,1.22213233346342e-46
Ciliated,CD8.TPEX,PCSK1N,GPR171,2.6768018812757e-11,0.791729511797061,0.437342845797689,5.01900352739195e-11
