source,target,ligand.complex,receptor.complex,p_value,median_MPR,median_NMPR,p_adj
Ciliated,IFN-stimulated,CD24,SIGLEC10,3.99E-48,0.961194896,2.267459026,1.89E-47
Tumor,IFN-stimulated,GPC3,CD81,8.15E-48,0.004101993,0,2.58E-47
Ciliated,IFN-stimulated,SLPI,PLSCR1,1.24E-41,3.400837309,3.460419511,3.37E-41
Ciliated,IFN-stimulated,SLPI,CD4,9.93E-45,3.117814805,4.780996539,2.90E-44
Normal,IFN-stimulated,SLPI,PLSCR1,0.00125346,0.000924418,0.013066788,0.001488484
Ciliated,M2-SIGLEC8+,SLPI,CD4,7.44E-37,4.296163057,5.069491769,1.77E-36
Tumor,M2-SIGLEC8+,MXRA5,SIGLEC8,8.15E-48,3.29E-06,0,2.58E-47
Tumor,M2-SIGLEC8+,GPC3,CD81,8.15E-48,0.004918821,0,2.58E-47
Tumor,M2-SIGLEC8+,ANGPTL4,SDC3,8.15E-48,0.000221619,0,2.58E-47
Tumor,M2-SIGLEC8+,FGF2,SDC3,,0,0,
Normal,MRC1+ M2-like,SCGB3A2,MARCO,2.21E-31,0.00345914,0,4.66E-31
Tumor,MRC1+ M2-like,GPC3,CD81,5.39E-126,0.012875584,0,2.05E-124
Normal,MRC1+ M2-like,SCGB3A1,MARCO,1.01E-23,0.001876984,0,1.83E-23
Ciliated,MRC1+ M2-like,SCGB3A1,MARCO,0.008284143,0.839645902,0.604063067,0.009258748
Ciliated,MRC1+ M2-like,SCGB3A2,MARCO,5.10E-08,1.176720507,0.015607504,6.92E-08
Ciliated,Resident M2,SLPI,CD4,0.00153377,4.933878698,5.254295032,0.00176616
Tumor,Resident M2,GPC3,CD81,3.97E-08,0.046892103,0.002233415,5.59E-08
Ciliated,Resident M2,SLPI,PLSCR1,3.49E-25,3.57578815,4.745247043,6.63E-25
Normal,Resident M2,SLPI,CD4,1.45E-51,0,0,7.85E-51
Normal,Resident M2,SLPI,PLSCR1,1.45E-51,0,0,7.85E-51
Ciliated,SPP1+ immunosuppressive,SLPI,CD4,5.24E-16,5.412704612,5.814654412,7.97E-16
Ciliated,SPP1+ immunosuppressive,CD59,STAB1,0.000223614,2.620221443,3.055189956,0.000274107
Normal,SPP1+ immunosuppressive,SLPI,CD4,6.00E-67,0.005429225,0,4.56E-66
Tumor,SPP1+ immunosuppressive,CX3CL1,CX3CR1,,0,0,
Tumor,SPP1+ immunosuppressive,COL4A1,CD93,,0,0,
Ciliated,IFN-stimulated,SAA1,FPR2,2.26E-123,0,0.355308571,4.29E-122
Ciliated,IFN-stimulated,PIP,CD4,0.04083944,0.420708589,0.769778187,0.041943209
Ciliated,IFN-stimulated,PIP,NPTN,0.04083944,0.247538796,0.261995209,0.041943209
Normal,M2-SIGLEC8+,MXRA5,SIGLEC8,,0,0,
Ciliated,M2-SIGLEC8+,OMG,RTN4R,4.17E-28,0.026962146,0.12990571,8.34E-28
Ciliated,M2-SIGLEC8+,SAA1,SCARB1,1.27E-78,0,1.853581535,1.21E-77
Ciliated,M2-SIGLEC8+,SLPI,PLSCR1,7.23E-11,2.099320597,2.260839409,1.06E-10
Ciliated,MRC1+ M2-like,OMG,RTN4R,0.000221812,0.13260104,0.114690569,0.000274107
Ciliated,MRC1+ M2-like,FGF14,FGFR1,1.41E-22,0.014256931,0.007938384,2.33E-22
Ciliated,MRC1+ M2-like,SLPI,CD4,4.96E-121,3.158919857,3.718902305,6.29E-120
Tumor,MRC1+ M2-like,NTS,SORT1,4.25E-06,0.000231463,0,5.57E-06
Ciliated,Resident M2,CD24,SIGLEC10,7.90E-40,0.939739896,3.953922595,2.00E-39
Ciliated,Resident M2,OMG,TNFRSF1B,8.58E-20,1.057939107,1.615514624,1.36E-19
Ciliated,Resident M2,PIP,CD4,0.027117114,0.722970237,0.810059627,0.029441438
Ciliated,SPP1+ immunosuppressive,EFNB3,EPHB2,0.283318516,0,0.014361739,0.283318516
Ciliated,SPP1+ immunosuppressive,FGF14,FGFR1,4.87E-35,0.065313859,0,1.09E-34
Ciliated,SPP1+ immunosuppressive,CP,SLC40A1,4.73E-23,1.637024741,2.862738308,8.16E-23
Tumor,SPP1+ immunosuppressive,COL4A5,CD93,,0,0,
