source,target,ligand.complex,receptor.complex,p_value,median_MPR,median_NMPR,p_adj
IFN-stimulated,CD8.TEX,HLA-C,CD8A,0.008605109,11.92213594,12.44772921,0.011678362
M2-SIGLEC8+,CD8.TEX,HLA-A,CD8A,0.000106227,12.69320529,12.86913687,0.000224256
M2-SIGLEC8+,CD8.TEX,HLA-DRB3,LAG3,6.46E-07,2.581536933,1.829714923,1.75E-06
M2-SIGLEC8+,CD8.TEX,HLA-C,CD8A,0.05000218,12.06949582,12.77127374,0.056213507
SPP1+ immunosuppressive,CD8.TEX,HLA-DRB3,LAG3,0.16152548,1.233818225,1.252762799,0.170499118
M2-SIGLEC8+,CD8.TPEX,HLA-DRB3,LAG3,0.050296295,1.71378849,2.413905217,0.056213507
SPP1+ immunosuppressive,CD8.TPEX,HLA-DRB3,LAG3,0.000142553,0,0.899073657,0.000246228
IFN-stimulated,CD8.TPEX,SECTM1,CD7,0.000243757,2.094269864,1.412544843,0.00035626
MRC1+ M2-like,CD8.TPEX,HLA-DQB1,LAG3,1.68E-33,0,2.960712275,1.06E-32
IFN-stimulated,CD8.TPEX,HLA-C,CD8A,5.55E-31,12.79276377,10.06339548,2.64E-30
SPP1+ immunosuppressive,CD8.TEX,CCL13,CXCR3,3.42E-37,0.060491503,0.189989624,3.25E-36
M2-SIGLEC8+,CD8.TEX,HLA-F,CD8A,1.60E-11,2.894827489,3.740426362,5.06E-11
M2-SIGLEC8+,CD8.TEX,HLA-DQB1,LAG3,4.64E-06,2.466640305,2.639751482,1.10E-05
M2-SIGLEC8+,CD8.TEX,HLA-DQA1,LAG3,0.581976759,3.470204836,3.119950506,0.581976759
SPP1+ immunosuppressive,CD8.TPEX,CCL13,CXCR3,0.000235174,0.040027574,0.046258886,0.00035626
Resident M2,CD8.TPEX,S100A8,CD69,1.55E-37,0,0.811203451,2.95E-36
M2-SIGLEC8+,CD8.TPEX,HLA-DQB1,LAG3,8.74E-27,1.559616332,2.823444428,3.32E-26
M2-SIGLEC8+,CD8.TPEX,HLA-F,CD8A,0.034506432,2.709168331,3.268628134,0.043708147
M2-SIGLEC8+,CD8.TPEX,HLA-DQA1,LAG3,0.000140824,2.482541003,3.856615987,0.000246228
