source,target,ligand.complex,receptor.complex,p_value,median_MPR,median_NMPR,p_adj
MRC1+ M2-like,Ciliated,CXCL5,GRM7,1.34E-39,0.014723123,0,2.99E-39
IFN-stimulated,Ciliated,CXCL10,SDC4,6.33E-186,2.567634802,1.753538609,1.84E-184
M2-SIGLEC8+,Ciliated,PSAP,CELSR1,1.06E-105,5.150014943,3.504673706,6.13E-105
Resident M2,Ciliated,PSAP,CELSR1,3.39E-70,4.562710057,2.729344211,1.40E-69
IFN-stimulated,Ciliated,CXCL9,GRM7,1.29E-16,0.120853891,0,2.67E-16
MRC1+ M2-like,Normal,FN1,SDC1,1.44E-06,0.002649785,0.005073659,2.12E-06
IFN-stimulated,Normal,CXCL10,SDC4,1.34E-14,0.017357399,0.00541871,2.58E-14
M2-SIGLEC8+,Normal,HGF,SDC1,2.46E-10,0,0,4.46E-10
M2-SIGLEC8+,Normal,HGF,MET,,0,0,
SPP1+ immunosuppressive,Normal,HGF,SDC1,3.54E-108,0,4.84E-05,5.13E-107
MRC1+ M2-like,Tumor,FN1,SDC1,4.25E-06,0.000327534,0,4.93E-06
MRC1+ M2-like,Tumor,GRN,EGFR,0.068668808,0.003308194,0,0.071121265
M2-SIGLEC8+,Tumor,GRN,EGFR,8.15E-48,0.008868202,0,2.15E-47
M2-SIGLEC8+,Tumor,HGF,SDC1,8.15E-48,2.13E-05,0,2.15E-47
Resident M2,Tumor,MMP9,CD44,4.25E-06,0.001574847,0,4.93E-06
SPP1+ immunosuppressive,Ciliated,IGF1,IGF1R,2.98E-59,0.122163568,0.247344698,1.08E-58
MRC1+ M2-like,Ciliated,ADAM17,ERBB4,1.46E-06,0.351380638,0.232748834,2.12E-06
SPP1+ immunosuppressive,Ciliated,IGF1,INSR,0.681666785,0.238378422,0.270468487,0.681666785
MRC1+ M2-like,Ciliated,ALCAM,CHL1,9.12E-05,0.136439082,0.111266857,0.000101728
M2-SIGLEC8+,Ciliated,IGF1,IGF1R,6.77E-47,0,0,1.63E-46
SPP1+ immunosuppressive,Normal,CXCL8,SDC1,1.40E-94,0,0.043003353,6.77E-94
SPP1+ immunosuppressive,Normal,F13A1,ITGB1,1.62E-07,0,0.002705631,2.76E-07
SPP1+ immunosuppressive,Normal,PLAU,ITGA3,0.001662625,0,0,0.001785783
MRC1+ M2-like,Normal,LPL,SDC1,5.35E-53,0.001298948,0,1.72E-52
SPP1+ immunosuppressive,Tumor,CXCL8,SDC1,1.31E-106,0,0.007631491,9.48E-106
MRC1+ M2-like,Tumor,LPL,SDC1,4.25E-06,2.69E-05,0,4.93E-06
IFN-stimulated,Tumor,FN1,SDC1,4.25E-06,0.000181512,0,4.93E-06
SPP1+ immunosuppressive,Tumor,CD209,CEACAM1,1.31E-106,0,4.85E-05,9.48E-106
