source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
IFN-stimulated,IFN-stimulated,TGFB1,TGFbR1_R2,0.00265704263213225,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Lipid-associated,IFN-stimulated,TGFB1,TGFbR1_R2,0.00291935489142075,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
M2-SIGLEC8+,IFN-stimulated,TGFB1,TGFbR1_R2,0.000713540721694579,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
MRC1+ M2-like,IFN-stimulated,TGFB1,TGFbR1_R2,0.00197077703910087,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Regulatory,IFN-stimulated,TGFB1,TGFbR1_R2,0.00418872313122999,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Resident M2,IFN-stimulated,TGFB1,TGFbR1_R2,0.000551926545999616,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
SPP1+ immunosuppressive,IFN-stimulated,TGFB1,TGFbR1_R2,0.00362783291535887,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
IFN-stimulated,Lipid-associated,TGFB1,TGFbR1_R2,0.00953933597712793,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Lipid-associated,Lipid-associated,TGFB1,TGFbR1_R2,0.0104781521011498,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
M2-SIGLEC8+,Lipid-associated,TGFB1,TGFbR1_R2,0.00257384914070298,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
MRC1+ M2-like,Lipid-associated,TGFB1,TGFbR1_R2,0.0070809054606838,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Regulatory,Lipid-associated,TGFB1,TGFbR1_R2,0.0149829246636098,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Resident M2,Lipid-associated,TGFB1,TGFbR1_R2,0.00199166399261981,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
