source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
CD8.NaiveLike,IFN-stimulated,TGFB1,TGFbR1_R2,0.000890683131888517,0.01,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
IFN-stimulated,IFN-stimulated,TGFB1,TGFbR1_R2,0.00234868533321508,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
M2-SIGLEC8+,IFN-stimulated,TGFB1,TGFbR1_R2,0.00132100622655382,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Monocyte-derived,IFN-stimulated,TGFB1,TGFbR1_R2,0.00197572969233991,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
MRC1+ M2-like,IFN-stimulated,TGFB1,TGFbR1_R2,0.00200267616186341,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Regulatory,IFN-stimulated,TGFB1,TGFbR1_R2,0.0011065889751068,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Resident M2,IFN-stimulated,TGFB1,TGFbR1_R2,0.00197556409323771,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
SPP1+ immunosuppressive,IFN-stimulated,TGFB1,TGFbR1_R2,0.000821581411870462,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Stress-response,IFN-stimulated,TGFB1,TGFbR1_R2,0.0014676885029681,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.NaiveLike,M2-SIGLEC8+,TGFB1,TGFbR1_R2,0.00179873942644273,0.03,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
IFN-stimulated,M2-SIGLEC8+,TGFB1,TGFbR1_R2,0.00473596344251593,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
M2-SIGLEC8+,M2-SIGLEC8+,TGFB1,TGFbR1_R2,0.00266665856371594,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Monocyte-derived,M2-SIGLEC8+,TGFB1,TGFbR1_R2,0.00398577323185489,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
MRC1+ M2-like,M2-SIGLEC8+,TGFB1,TGFbR1_R2,0.00404069399548219,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Regulatory,M2-SIGLEC8+,TGFB1,TGFbR1_R2,0.00223475158349353,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Resident M2,M2-SIGLEC8+,TGFB1,TGFbR1_R2,0.00398543980144792,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
