source,target,ligand,receptor,prob_MPR,pval_MPR,prob_NMPR,pval_NMPR,presence
Ciliated,CD8.TEX,CXCL16,CXCR6,0.00280451074599805,0,0.00245535797788182,0,Both
CD8.TEX,Ciliated,IFNG,IFNGR1_IFNGR2,0.00998489700163172,0,0.0055740014486846,0,Both
CD8.TPEX,Ciliated,IFNG,IFNGR1_IFNGR2,0.00848719379117907,0,0.00600379161161979,0,Both
CD8.TPEX,Ciliated,TNFSF14,LTBR,0.00204544068916804,0,0.00163608049115639,0,Both
CD8.TPEX,Ciliated,TNFSF14,TNFRSF14,0.00145660347180566,0,0.000230029551037996,0,Both
Ciliated,CD8.TEX,MDK,ITGA4_ITGB1,0.00466903909942672,0,0.00610147111758785,0,Both
Ciliated,CD8.TPEX,MDK,ITGA4_ITGB1,0.00274281093889148,0,0.00481661138811706,0,Both
Ciliated,CD8.TEX,MDK,NCL,0.00970695605583118,0,0.012030117921918,0,Both
Ciliated,CD8.TPEX,MDK,NCL,0.0108778255796255,0,0.0142443888371495,0,Both
CD8.TEX,Ciliated,GZMA,PARD3,0.0195823863881378,0,0.0142898604921263,0,Both
CD8.TPEX,Ciliated,GZMA,PARD3,0.0105986477924537,0,0.0077388033045349,0,Both
Ciliated,CD8.TEX,LAMB3,ITGA1_ITGB1,0.00715799511967759,0,0.00380937903830193,0,Both
Ciliated,CD8.TPEX,LAMB3,ITGA1_ITGB1,0.00270837257142491,0,0.00345429302980216,0,Both
Ciliated,CD8.TEX,LAMC2,ITGA1_ITGB1,0.0427856839295677,0,0.018699196975056,0,Both
Ciliated,CD8.TPEX,LAMC2,ITGA1_ITGB1,0.01655819293826,0,0.0169798341464809,0,Both
Ciliated,CD8.TEX,LAMB3,CD44,0.00692817827463223,0,0.00597392568992992,0,Both
Ciliated,CD8.TPEX,LAMB3,CD44,0.00459706079857586,0,0.00640004625654595,0,Both
Ciliated,CD8.TEX,LAMC2,CD44,0.0414597599363627,0,0.0290774092321974,0,Both
Ciliated,CD8.TPEX,LAMC2,CD44,0.0278355061277058,0,0.0310999431211504,0,Both
Ciliated,CD8.TEX,PGE2-PTGES3,PTGER4,0.020809708692041,0,0.0214985537112943,0,Both
Ciliated,CD8.TEX,APP,CD74,0.166936031754739,0,0.170297051924629,0,Both
Ciliated,CD8.TPEX,APP,CD74,0.155873176473101,0,0.151393105196681,0,Both
Ciliated,CD8.TEX,CDH1,ITGAE_ITGB7,0.0250662078492885,0,0.0117470560049275,0,Both
Ciliated,CD8.TEX,F11R,ITGAL_ITGB2,0.0270811743526259,0,0.0337690086423332,0,Both
Ciliated,CD8.TPEX,F11R,ITGAL_ITGB2,0.0182749356954658,0,0.0175605066512552,0,Both
Ciliated,CD8.TEX,HLA-A,CD8A,0.26486926960864,0,0.217043484883138,0,Both
Ciliated,CD8.TPEX,HLA-A,CD8A,0.251871080681996,0,0.192272971182128,0,Both
Ciliated,CD8.TEX,HLA-B,CD8A,0.244971940497607,0,0.191038334301901,0,Both
Ciliated,CD8.TPEX,HLA-B,CD8A,0.232641185847649,0,0.168596624098011,0,Both
Ciliated,CD8.TEX,HLA-C,CD8A,0.265961783466116,0,0.229620009811834,0,Both
Ciliated,CD8.TPEX,HLA-C,CD8A,0.252928426923501,0,0.203787760467365,0,Both
Ciliated,CD8.TEX,HLA-E,CD8A,0.20373608901694,0,0.158822351913321,0,Both
Ciliated,CD8.TPEX,HLA-E,CD8A,0.192950522692685,0,0.139512459559185,0,Both
Ciliated,CD8.TEX,HLA-F,CD8A,0.0742344831231454,0,0.0240902584915663,0,Both
Ciliated,CD8.TEX,HLA-A,CD8B,0.0506443909383981,0,0.0373207578120893,0,Both
Ciliated,CD8.TEX,HLA-B,CD8B,0.045836503762034,0,0.0319698927978137,0,Both
Ciliated,CD8.TEX,HLA-C,CD8B,0.0509144839872203,0,0.0400155393602726,0,Both
Ciliated,CD8.TEX,HLA-E,CD8B,0.036500422914291,0,0.025725566074199,0,Both
Ciliated,CD8.TEX,HLA-F,CD8B,0.0117331427812995,0,0.0034402885282165,0,Both
Ciliated,CD8.TPEX,NECTIN2,CD226,0.00155306907449655,0,0.00122491047278955,0,Both
Ciliated,CD8.TEX,NECTIN2,TIGIT,0.0104927828930357,0,0.00659555898972951,0,Both
Ciliated,CD8.TPEX,NECTIN2,TIGIT,0.0113311120916406,0,0.00626345828354707,0,Both
CD8.TEX,Ciliated,SEMA4D,PLXNB1,0.00274692620893004,0,0.00200777948741964,0,Both
CD8.TPEX,Ciliated,SEMA4D,PLXNB1,0.00276637063917715,0,0.00456466863561232,0,Both
CD8.TEX,Ciliated,SEMA4D,PLXNB2,0.0179426904305035,0,0.011591243548371,0,Both
CD8.TPEX,Ciliated,SEMA4D,PLXNB2,0.0180677509997585,0,0.0260342154781885,0,Both
Ciliated,CD8.TEX,CD55,ADGRE5,0.0142439459708969,0,0.0315243001360269,0,Both
Ciliated,CD8.TPEX,CD55,ADGRE5,0.0131349505162789,0,0.0255918008623579,0,Both
Ciliated,CD8.TEX,LPAR3,ADGRE5,0.00691270122701849,0,0.00472522726382165,0,Both
Ciliated,CD8.TPEX,LPAR3,ADGRE5,0.00637080789253698,0,0.00381612336600037,0,Both
CD8.TEX,Ciliated,SIRPG,CD47,0.0339760481339302,0,0.0235369461634151,0,Both
tumor,CD8.TEX,CXCL16,CXCR6,0.00476200674578604,0,0.00208358772962701,0,Both
CD8.TEX,tumor,IFNG,IFNGR1_IFNGR2,0.0179176824690913,0,0.00899078173222744,0,Both
CD8.TPEX,tumor,IFNG,IFNGR1_IFNGR2,0.015248413309295,0,0.00968146196924896,0,Both
CD8.TPEX,tumor,TNFSF14,LTBR,0.0170564048939991,0,0.00660090585802493,0,Both
tumor,CD8.TPEX,MDK,SDC4,0.00224913040728441,0,0.0131766700976524,0,Both
tumor,CD8.TEX,MDK,ITGA4_ITGB1,0.0191482161147758,0,0.028320490233981,0,Both
tumor,CD8.TPEX,MDK,ITGA4_ITGB1,0.011316468893645,0,0.0224624512892708,0,Both
tumor,CD8.TEX,MDK,NCL,0.039194033828618,0,0.0546516477674196,0,Both
tumor,CD8.TPEX,MDK,NCL,0.0437644981923212,0,0.0642010770059788,0,Both
CD8.TEX,tumor,GZMA,PARD3,0.0533716533897953,0,0.0680837361180152,0,Both
CD8.TPEX,tumor,GZMA,PARD3,0.0293506005516227,0,0.0378175135824867,0,Both
CD8.TEX,tumor,PPIA,BSG,0.074303923352038,0,0.0845434419568635,0,Both
CD8.TPEX,tumor,PPIA,BSG,0.0754629677878732,0,0.0947675123446005,0,Both
tumor,CD8.TEX,COL4A5,ITGA1_ITGB1,0.0169586623643294,0,0.0032428066938601,0,Both
tumor,CD8.TPEX,COL4A5,ITGA1_ITGB1,0.0064562713989387,0,0.00294037706257016,0,Both
tumor,CD8.TEX,LAMA3,ITGA1_ITGB1,0.0034317815017196,0,0.00313167730711444,0,Both
