source,target,ligand,receptor,prob_MPR,pval_MPR,prob_NMPR,pval_NMPR,presence
CD8.TEX,IFN-stimulated,CCL5,CCR1,0.165845977607891,0,0.148121864925252,0,Both
CD8.TPEX,IFN-stimulated,CCL5,CCR1,0.12868898449258,0,0.110105398799562,0,Both
CD8.TEX,M2-SIGLEC8+,CCL5,CCR1,0.166348828897692,0,0.114909752336049,0,Both
CD8.TPEX,M2-SIGLEC8+,CCL5,CCR1,0.129096610247238,0,0.0845711561470915,0,Both
CD8.TEX,MRC1+ M2-like,CCL5,CCR1,0.127055273925673,0,0.114501323921553,0,Both
CD8.TPEX,MRC1+ M2-like,CCL5,CCR1,0.0975725638281985,0,0.0842602957081111,0,Both
CD8.TEX,Resident M2,CCL5,CCR1,0.0921304139128667,0,0.165000546925334,0,Both
CD8.TPEX,Resident M2,CCL5,CCR1,0.0701010896406405,0,0.123278960555148,0,Both
CD8.TEX,SPP1+ immunosuppressive,CCL5,CCR1,0.149216680694313,0,0.145227715879159,0,Both
CD8.TPEX,SPP1+ immunosuppressive,CCL5,CCR1,0.115270550443556,0,0.10786000295475,0,Both
CD8.TEX,IFN-stimulated,CCL3,CCR1,0.0297744137313339,0,0.022935633082962,0,Both
CD8.TPEX,IFN-stimulated,CCL3,CCR1,0.0734757977002552,0,0.0570264934966299,0,Both
CD8.TEX,M2-SIGLEC8+,CCL3,CCR1,0.0298794693236272,0,0.0172253921365489,0,Both
CD8.TPEX,M2-SIGLEC8+,CCL3,CCR1,0.0737233319486498,0,0.0432040193950463,0,Both
CD8.TEX,MRC1+ M2-like,CCL3,CCR1,0.0219719728078304,0,0.0171574366983985,0,Both
CD8.TPEX,MRC1+ M2-like,CCL3,CCR1,0.0548689715140381,0,0.0430380645410954,0,Both
CD8.TEX,Resident M2,CCL3,CCR1,0.0154220274338885,0,0.0259842991613206,0,Both
CD8.TPEX,Resident M2,CCL3,CCR1,0.0389023569411811,0,0.0643083578880868,0,Both
CD8.TEX,SPP1+ immunosuppressive,CCL3,CCR1,0.0263578260180143,0,0.0224231105683621,0,Both
CD8.TPEX,SPP1+ immunosuppressive,CCL3,CCR1,0.065382449596112,0,0.0557956752006594,0,Both
IFN-stimulated,CD8.TEX,CCL4,CCR5,0.00377922306289333,0,0.0115599450371001,0,Both
M2-SIGLEC8+,CD8.TEX,CCL4,CCR5,0.00146947603997646,0,0.00845029820444452,0,Both
MRC1+ M2-like,CD8.TEX,CCL4,CCR5,0.00224388320336224,0,0.00178181393147963,0,Both
Resident M2,CD8.TEX,CCL4,CCR5,0.0122442043214074,0,0.0108517326553365,0,Both
SPP1+ immunosuppressive,CD8.TEX,CCL4,CCR5,0.0125262730063499,0,0.0374519070239927,0,Both
CD8.TEX,IFN-stimulated,CCL4,CCR5,0.0163643307430087,0,0.0123453179727904,0,Both
CD8.TPEX,IFN-stimulated,CCL4,CCR5,0.0176609824322027,0,0.0149857659001485,0,Both
CD8.TEX,IFN-stimulated,CCL5,CCR5,0.0263122553158711,0,0.0205081587184281,0,Both
CD8.TPEX,IFN-stimulated,CCL5,CCR5,0.0196795830726465,0,0.0146801809168574,0,Both
IFN-stimulated,CD8.TEX,CCL3,CCR5,0.00802950295036525,0,0.0162461374610899,0,Both
M2-SIGLEC8+,CD8.TEX,CCL3,CCR5,0.0118912723271641,0,0.0109655245114898,0,Both
MRC1+ M2-like,CD8.TEX,CCL3,CCR5,0.00690389549397754,0,0.00725094075567275,0,Both
Resident M2,CD8.TEX,CCL3,CCR5,0.018218651031571,0,0.0109719710733975,0,Both
SPP1+ immunosuppressive,CD8.TEX,CCL3,CCR5,0.014675562998353,0,0.0410663482973951,0,Both
CD8.TEX,IFN-stimulated,CCL3,CCR5,0.0041537700958676,0,0.00281868041911017,0,Both
CD8.TPEX,IFN-stimulated,CCL3,CCR5,0.0106637787912825,0,0.00722953182484169,0,Both
IFN-stimulated,CD8.TEX,CXCL16,CXCR6,0.0286673589304619,0,0.0277933615468321,0,Both
M2-SIGLEC8+,CD8.TEX,CXCL16,CXCR6,0.0320421790425743,0,0.0333042819237156,0,Both
MRC1+ M2-like,CD8.TEX,CXCL16,CXCR6,0.0367654942338759,0,0.0323036882716158,0,Both
Resident M2,CD8.TEX,CXCL16,CXCR6,0.0231559444210969,0,0.0311510966934569,0,Both
SPP1+ immunosuppressive,CD8.TEX,CXCL16,CXCR6,0.028024260542631,0,0.0231477871341879,0,Both
CD8.TEX,IFN-stimulated,CSF1,CSF1R,0.0251350585327506,0,0.0208336631331756,0,Both
CD8.TEX,M2-SIGLEC8+,CSF1,CSF1R,0.0238736362550798,0,0.0149057009362542,0,Both
CD8.TEX,MRC1+ M2-like,CSF1,CSF1R,0.00770953164070311,0,0.0125965338942299,0,Both
CD8.TEX,Resident M2,CSF1,CSF1R,0.030397778845137,0,0.0166562100837262,0,Both
CD8.TEX,SPP1+ immunosuppressive,CSF1,CSF1R,0.0329103764822228,0,0.024768889889813,0,Both
CD8.TEX,IFN-stimulated,IFNG,IFNGR1_IFNGR2,0.0643775010804396,0,0.0465386424497123,0,Both
CD8.TPEX,IFN-stimulated,IFNG,IFNGR1_IFNGR2,0.0551757819022968,0,0.0499683449724274,0,Both
CD8.TEX,M2-SIGLEC8+,IFNG,IFNGR1_IFNGR2,0.0597215056655837,0,0.0477893296098357,0,Both
CD8.TPEX,M2-SIGLEC8+,IFNG,IFNGR1_IFNGR2,0.0511489037754494,0,0.051306242788472,0,Both
CD8.TEX,MRC1+ M2-like,IFNG,IFNGR1_IFNGR2,0.0560989807213032,0,0.048466141303431,0,Both
