source,target,ligand,receptor,prob_MPR,pval_MPR,prob_NMPR,pval_NMPR,presence
Ciliated,IFN-stimulated,GDF15,TGFBR2,0.000589721277624442,0,0.000606637673821641,0,Both
Ciliated,M2-SIGLEC8+,GDF15,TGFBR2,0.00205044136309285,0,0.00231718528363874,0,Both
Ciliated,MRC1+ M2-like,GDF15,TGFBR2,0.00163418954495534,0,0.00190899352613269,0,Both
Ciliated,Resident M2,GDF15,TGFBR2,0.00118897172327421,0,0.00165181580661449,0,Both
Ciliated,SPP1+ immunosuppressive,GDF15,TGFBR2,0.00181814984328194,0,0.00242474224537112,0,Both
IFN-stimulated,Ciliated,HBEGF,ERBB4,0.00156850243922603,0,0.00449440800390783,0,Both
M2-SIGLEC8+,Ciliated,HBEGF,ERBB4,0.00460697987183918,0,0.0064821565344251,0,Both
MRC1+ M2-like,Ciliated,HBEGF,ERBB4,0.00857555485071214,0,0.00439974918511086,0,Both
Resident M2,Ciliated,HBEGF,ERBB4,0.00140715236772384,0,0.0046013789025772,0,Both
SPP1+ immunosuppressive,Ciliated,HBEGF,ERBB4,0.00709417327994053,0,0.0100134866021263,0,Both
IFN-stimulated,Ciliated,HBEGF,ERBB2_ERBB4,0.00133538701096336,0,0.00353825377433115,0,Both
M2-SIGLEC8+,Ciliated,HBEGF,ERBB2_ERBB4,0.00392405186102556,0,0.00510529121899916,0,Both
MRC1+ M2-like,Ciliated,HBEGF,ERBB2_ERBB4,0.0073086540149205,0,0.00346366289860346,0,Both
Resident M2,Ciliated,HBEGF,ERBB2_ERBB4,0.00119798848656822,0,0.00362255016559946,0,Both
SPP1+ immunosuppressive,Ciliated,HBEGF,ERBB2_ERBB4,0.00604478849014576,0,0.00789249533616704,0,Both
M2-SIGLEC8+,Ciliated,IGF1,IGF1R,0.00127718070475841,0,0.000366015727552665,0,Both
SPP1+ immunosuppressive,Ciliated,IGF1,IGF1R,0.00219508267493456,0,0.000340624472440419,0,Both
Ciliated,IFN-stimulated,IL7,IL7R_IL2RG,0.00200754070477266,0,0.00227577034673394,0,Both
Ciliated,M2-SIGLEC8+,IL7,IL7R_IL2RG,0.00141734251217734,0,0.00240458389075533,0,Both
Ciliated,MRC1+ M2-like,IL7,IL7R_IL2RG,0.00467528119568862,0,0.00173907198271315,0,Both
Ciliated,Resident M2,IL7,IL7R_IL2RG,0.00706662237463842,0,0.00314803161339753,0,Both
Ciliated,SPP1+ immunosuppressive,IL7,IL7R_IL2RG,0.000556577420448402,0,0.00249211123351041,0,Both
IFN-stimulated,Ciliated,TNF,TNFRSF1A,0.000523344542978908,0,0.000753061481858394,0,Both
MRC1+ M2-like,Ciliated,RETN,CAP1,0.00226381559699654,0,0.00147119774334956,0,Both
Ciliated,MRC1+ M2-like,MDK,SDC2,0.00113745938228629,0,0.00957095458568456,0,Both
Ciliated,MRC1+ M2-like,MDK,SDC4,0.00237131647889677,0,0.00532483256246306,0,Both
Ciliated,IFN-stimulated,MDK,ITGA4_ITGB1,0.0037009730141562,0,0.00387926160472711,0,Both
Ciliated,SPP1+ immunosuppressive,MDK,ITGA4_ITGB1,0.00340149900216286,0,0.00533060388791884,0,Both
Ciliated,MRC1+ M2-like,MDK,ITGA6_ITGB1,0.00252722235240507,0,0.00692157833920858,0,Both
Ciliated,IFN-stimulated,MDK,LRP1,0.00602637587618436,0,0.00738832744017872,0,Both
Ciliated,M2-SIGLEC8+,MDK,LRP1,0.00939830862066633,0,0.00996484563224949,0,Both
Ciliated,MRC1+ M2-like,MDK,LRP1,0.00853260214164889,0,0.0112975935408262,0,Both
Ciliated,Resident M2,MDK,LRP1,0.007362963355892,0,0.0110763379712621,0,Both
Ciliated,SPP1+ immunosuppressive,MDK,LRP1,0.00802595157564791,0,0.00764180913790758,0,Both
Ciliated,IFN-stimulated,MDK,NCL,0.00819557838011075,0,0.0105927096783062,0,Both
Ciliated,MRC1+ M2-like,MDK,NCL,0.00782226381361899,0,0.0126937336287527,0,Both
