Sample,PathResponse,composite_intensity,n_interactions_contributing
BD_immune03,MPR,2787.51874242354,968
BD_immune04,NMPR,2543.92226950682,968
BD_immune07,NMPR,1713.40197141363,793
BD_immune05,NMPR,2098.53433424844,872
BD_immune08,NMPR,1533.82518970188,698
BD_immune09,NMPR,1062.0687178651,341
BD_immune10,NMPR,2518.97102533922,872
BD_immune11,MPR,2027.20747093778,968
BD_immune12,NMPR,2436.69594401158,968
BD_immune13,NMPR,2154.8608999295,786
BD_immune14,MPR,2437.84042225844,968
BD_immune15,NMPR,2136.71717725243,968
BD_immune02,NMPR,0,0
