source,target,ligand.complex,receptor.complex,aggregate_rank,mean_rank,sca.LRscore,sca.rank,natmi.edge_specificity,natmi.rank,connectome.weight_sc,connectome.rank
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CXCL10,ACKR1,9.09738320128878e-08,2630,0.826566697822589,7887,0.492268289499089,2,2.92063507946255,1
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CXCL10,CXCR3,2.2737359743937e-06,1556.33333333333,0.87397363729195,4650,0.335572377591638,10,2.46269714619481,9
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CXCL11,ACKR1,2.75112829284469e-06,4285.33333333333,0.750828816344004,12844,0.497054396756679,1,2.44883323522443,11
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CXCL9,ACKR1,6.56955486868111e-06,2998,0.811352435348629,8972,0.409962788982103,5,2.17909803016712,17
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CXCL11,CXCR3,8.20571021200915e-06,2929.66666666667,0.814286805445013,8761,0.338834999674146,9,1.99089530195669,19
Proliferating TAMs (cycling/MKI67+),Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CCL17,ACKR1,1.65660882874153e-05,3903.66666666667,0.770338090564255,11680,0.481409571578327,4,1.81287957318451,27
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CXCL9,CXCR3,2.3265883679645e-05,1857.33333333333,0.862224909688676,5527,0.279465874112694,13,1.72116009689938,32
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),AGRP,SDC3,2.47418918736086e-05,5188,0.695265345307205,15528,0.488355730919388,3,1.65453911659793,33
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,CXCL11,CXCR3,2.78299207874976e-05,3945.33333333333,0.768759757446404,11775,0.194793041930524,35,1.81507107020377,26
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,CXCL10,CXCR3,2.94419323600341e-05,2335.66666666667,0.840207300902656,6956,0.192917391301951,36,2.28687291444189,15
