source,target,ligand.complex,receptor.complex,aggregate_rank,mean_rank,sca.LRscore,sca.rank,natmi.edge_specificity,natmi.rank,connectome.weight_sc,connectome.rank
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.MAIT,CXCL10,DPP4,2.28060879885575e-08,2866,0.91219142261454,8595,0.231715574878008,2,3.18414295972764,1
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.MAIT,CXCL11,DPP4,9.12212903747839e-08,6197.33333333333,0.857607636344035,18587,0.335930451918056,1,3.11251609708359,4
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.EM,CXCL11,CXCR3,3.85267664928723e-06,5204.66666666667,0.875695761931638,15581,0.158024308681541,7,2.6211038544219,26
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.EM,CXCL10,CXCR3,4.1546658707459e-06,2142,0.923960542420026,6382,0.109000816454041,27,2.69273071706595,17
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.CM,CXCL11,CXCR3,4.79280752195439e-06,5672.33333333333,0.867399026558613,16977,0.136249121682089,11,2.56476840246184,29
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CXCL11,CXCR3,6.58742024285385e-06,5915.66666666667,0.862903591818005,17696,0.126142570008864,17,2.53862134084151,34
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),S100A8,CD68,9.57708093904104e-06,383.666666666667,0.961625933912211,550,0.0442541576390369,585,2.71062713629639,16
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.EM,CXCL11,CCR5,1.0050734020276e-05,8904.66666666667,0.803643233888284,26642,0.0955217513318393,42,2.56448555509963,30
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.CM,CXCL10,CXCR3,1.05348611953294e-05,2456.33333333333,0.918585757503098,7301,0.0939808921070662,43,2.63639526510589,25
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),S100A8,CD68,1.1290963015048e-05,409,0.961285418806744,591,0.0434483172552714,618,2.68568878734886,18
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CXCL10,SDC4,1.15372511995123e-05,3135.66666666667,0.908154018092711,9357,0.0930158226186304,45,3.02696721604586,5
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CXCL10,TLR4,1.25851515821558e-05,3606.33333333333,0.901236614902792,10770,0.0926167952596245,47,3.17283006035178,2
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD1D,LILRB2,1.36785577508907e-05,6941.33333333333,0.844287716004577,20740,0.0982598685447622,35,2.43756430027191,49
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,CXCL11,CXCR3,1.36785577508907e-05,7046.66666666667,0.842420738012246,21045,0.0910016463828238,49,2.44770686029919,46
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.MAIT,CXCL9,DPP4,1.60018690771578e-05,4519.66666666667,0.887173634996571,13503,0.21591668337824,3,2.41243490283205,53
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.NaiveLike,VCAN,SELL,1.85071484393604e-05,2199,0.923056570142603,6519,0.115585585135374,21,2.35566103159445,57
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.NaiveLike,VCAN,SELL,2.05055023838184e-05,2236.66666666667,0.92240614930075,6627,0.113495826781078,23,2.33309807951522,60
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CXCL10,CXCR3,2.26061771835829e-05,2670.66666666667,0.915656915967802,7922,0.0870096710771642,63,2.61024820348556,27
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CXCL10,TLR4,2.55662159027033e-05,3826.33333333333,0.897973987564201,11409,0.086160798289391,67,3.1241043018068,3
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CXCL11,CCR5,2.71144273520477e-05,9267,0.79506312015045,27699,0.0858282802785051,69,2.54135273169173,33
