source,target,ligand.complex,receptor.complex,aggregate_rank,mean_rank,sca.LRscore,sca.rank,natmi.edge_specificity,natmi.rank,connectome.weight_sc,connectome.rank
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.MAIT,CXCL10,DPP4,2.2436385194672e-08,2970.33333333333,0.909062952572754,8908,0.215069429478795,2,2.90308831025393,1
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.MAIT,CXCL11,DPP4,5.04810264718626e-08,6455.33333333333,0.850185404783019,19362,0.31892644358776,1,2.80432928585671,3
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.EM,CXCL11,CXCR3,4.08732976402644e-06,5115.33333333333,0.874797328157043,15312,0.159289043241869,7,2.33824287419899,27
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.EM,CXCL10,CXCR3,4.71513012183486e-06,2026.66666666667,0.924857221278597,6033,0.107417256677949,29,2.43700189859621,18
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.CM,CXCL11,CXCR3,6.10515421847307e-06,5588,0.866414569780942,16719,0.137256053770371,12,2.27853505836955,33
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD1D,LILRB2,6.48066184617148e-06,7022,0.840263672374429,20999,0.100755100266802,33,2.27208303219907,34
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.NaiveLike,VCAN,SELL,6.86736899499726e-06,2170,0.922116463121509,6455,0.120441814479663,20,2.26558935292186,35
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.NaiveLike,VCAN,SELL,9.42277046355665e-06,2226,0.921134759608949,6614,0.117212019423645,23,2.234048978217,41
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),S100A8,CD68,9.68464352491675e-06,349,0.961971573292558,442,0.0444861484838638,592,2.51601176668171,13
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CXCL11,CXCR3,1.03641417288961e-05,6037,0.858462660377576,18047,0.120032531336173,21,2.23186055209042,43
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.EM,CXCL11,CCR5,1.03641417288961e-05,8856,0.802399729552842,26488,0.09440850774023,43,2.2625632939231,37
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),S100A8,CD68,1.37892678313756e-05,399,0.961418768849551,516,0.0431707978171173,666,2.47759304454506,15
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.CM,CXCL10,CXCR3,1.45773611719439e-05,2325.66666666667,0.919517790120347,6904,0.092559214735612,51,2.37729408276677,22
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,CXCL11,CXCR3,1.57425772223644e-05,6936.66666666667,0.842201279109348,20707,0.0929443592857509,50,2.15845355527616,53
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.MAIT,CXCL9,DPP4,1.69525487863427e-05,4818.66666666667,0.879956985496763,14397,0.196783029267996,4,2.14573040231141,55
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CXCL10,SDC4,1.88514129177094e-05,2946,0.909810969863091,8775,0.0884998617699209,58,2.73508209315217,5
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),S100A12,CD36,1.88514129177094e-05,8588.66666666667,0.808457131678468,25700,0.150034093561257,8,2.12322016178633,58
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),S100A8,CD36,2.2951150153614e-05,2264.33333333333,0.920588205993085,6715,0.0862220668008719,64,2.49489133361363,14
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CXCL10,TLR4,2.51519930103705e-05,3599,0.899994395091668,10728,0.0851070548134876,67,2.82128753294777,2
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CCL8,CCR2,2.82429820479155e-05,7568,0.829371577087637,22630,0.200183867265,3,2.06382431143775,71
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CXCL11,CCR5,3.32148182752211e-05,9306.66666666667,0.791399264722727,27801,0.0824070315135313,77,2.23222451955328,42
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),S100A8,CD68,3.43701771431703e-05,574.333333333333,0.959105281522525,792,0.0382397607149606,903,2.33356746333496,28
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.MAIT,S100A8,CD69,3.65856927412224e-05,403.333333333333,0.964591617908342,175,0.0378964050930403,922,1.86325028183152,113
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),S100A8,CD68,3.67048642853065e-05,590.666666666667,0.958915416359342,818,0.0378721419109089,923,2.32283006452403,31
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CXCL10,TLR4,3.9523767667589e-05,3737,0.897900919594004,11123,0.0812732835455038,84,2.79241993294113,4
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),S100A9,CD68,4.06563732021405e-05,466.333333333333,0.96217124836923,421,0.0374596875108329,955,2.36851619551071,23
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CXCL10,CXCR3,4.23951870331785e-05,2671.66666666667,0.914414690956399,7899,0.0809444577343824,87,2.33061957648764,29
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD1D,LILRB2,4.4365316711262e-05,7801.33333333333,0.825613533728215,23232,0.0816152485354846,83,1.99281832807584,89
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEMRA,GNAI2,S1PR5,4.84395961446987e-05,3079.66666666667,0.908098500904696,9106,0.0791684473711083,93,2.24248032385955,40
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),APOE,TREM2,4.88108809860662e-05,518,0.957501750807292,1015,0.0490261205741831,457,2.01663848958822,82
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),S100A9,CD68,5.17534813166135e-05,516.666666666667,0.961621230723184,485,0.0363520927510537,1035,2.33009747337406,30
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),S100A8,CD68,5.73438611470522e-05,691.333333333333,0.957843501619906,967,0.0358903009965539,1071,2.26494451557307,36
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CXCL9,FCGR2A,6.77480658289905e-05,1239,0.94025652988266,3595,0.0753178643240321,110,2.52578330054902,12
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.NaiveLike,CXCL11,CXCR3,7.023168576476e-05,7684.66666666667,0.827674467757454,22880,0.0752693318658186,112,2.11055550297895,62
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.CM,S100A8,CD69,7.96566862086557e-05,568,0.962955677754799,341,0.0345058319134306,1195,1.76249859000322,168
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),S100A8,CD68,7.9856828542841e-05,773.333333333333,0.957031012803043,1080,0.0344872714135417,1196,2.22396487032563,44
