source,target,ligand,receptor,p_value,median_MPR,median_nonMPR,n_MPR,n_nonMPR,p_adj
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TEX,LGALS3,LAG3,0.000421965305871385,1.83428648850768,2.95806076454578,10,39,0.162667625413419
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TPEX,S100A8,CD69,0.000273796404863075,0.531118074145283,2.18642938436447,10,40,0.162667625413419
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEX,HLA-DPA1,LAG3,0.00675196221066001,3.6705781377901,4.87215841436912,7,36,0.285603893509947
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,HLA-DPA1,LAG3,0.00320505320953122,3.11753909433363,4.66297026816215,7,36,0.285603893509947
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,HLA-DRB1,LAG3,0.00599780648740257,3.65851359164472,5.27806672203314,7,36,0.285603893509947
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TEX,LGALS3,LAG3,0.00726489640515644,1.61466821978802,3.21608262834696,9,39,0.285603893509947
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,HLA-DQA1,LAG3,0.00185358083080267,1.81230656115632,3.65639833122158,7,36,0.285603893509947
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,CD86,CTLA4,0.00740866131024505,0.680427119264111,1.20614496290841,9,38,0.285603893509947
CD8.TEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CCL5,CCRL2,0.00461223197987562,0.3434257273817,2.05099602201733,7,36,0.285603893509947
CD8.TEX,Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CCL5,CCRL2,0.00391856828327765,0,1.60758936527651,7,36,0.285603893509947
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEX,LGALS3,LAG3,0.00470132398364777,1.1402912788874,2.45845401832423,7,36,0.285603893509947
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CCL8,CCR5,0.00552322965084931,0,0.031560166047784,7,36,0.285603893509947
CD8.TPEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CCL5,CCRL2,0.00627933958051102,0.272525978228529,1.23962014453059,7,37,0.285603893509947
CD8.TEX,Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),IFNG,IFNGR1_IFNGR2,0.00365055808826893,0.571506117329928,0.996905182728844,7,36,0.285603893509947
CD8.TEX,TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CCL5,CCRL2,0.00480806420612521,0.272531163466151,0.562349284510551,10,39,0.285603893509947
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TEX,CD86,CTLA4,0.00155796184985906,0.442474803839849,0.982810411893113,10,39,0.285603893509947
CD8.TEX,Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),GZMB,IGF2R,0.00224866675895399,0.361672327298349,1.09620277095046,9,38,0.285603893509947
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TEX,TGM2,ADGRG1,0.00555869105070092,0,0.15509190113206,9,39,0.285603893509947
CD8.TPEX,Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CCL5,CCRL2,0.00380876008484955,0,1.23414911456639,7,37,0.285603893509947
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TPEX,CD86,CTLA4,0.00708564491237817,0.362532387403408,0.959559278454316,10,40,0.285603893509947
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CD8.TPEX,APP,RPSA,0.00846286822215983,0.247533245411371,1.33968264674814,7,37,0.310708161870725
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEX,HLA-DRA,LAG3,0.0263389708713171,4.72904153767402,5.98306836080688,7,36,0.410415729709076
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,HLA-DRA,LAG3,0.0321036608436723,4.6296260946114,5.72455106394363,9,38,0.410415729709076
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEX,HLA-DRB1,LAG3,0.0146044667046548,3.74252811398418,5.52695721510981,7,36,0.410415729709076
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,HLA-DRA,LAG3,0.0131566689467397,4.5799218387895,5.83339385037612,7,36,0.410415729709076
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,HLA-DRB1,LAG3,0.0204388577222496,4.16655906001526,5.40013448774356,9,38,0.410415729709076
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEX,HLA-DPB1,LAG3,0.0197638948273333,3.78765872557012,4.5272882526079,7,36,0.410415729709076
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TEX,HLA-DRA,LAG3,0.0155449840685146,3.86377179582602,5.29821617914864,9,39,0.410415729709076
CD8.TPEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),TNFSF9,HLA-DPA1,0.0170990239284171,1.30105076004847,2.27275065114381,7,37,0.410415729709076
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,HLA-DRA,LAG3,0.0291080666190893,2.85310751289754,4.66977814700734,7,37,0.410415729709076
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,HLA-DQB1,LAG3,0.0146044667046548,2.54217006530915,3.19058572719956,7,36,0.410415729709076
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TEX,HLA-DRB1,LAG3,0.0155449840685146,3.50693570038134,4.87714996751328,9,39,0.410415729709076
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,HLA-DPB1,LAG3,0.0288917175504034,3.23018650335337,4.42816130134719,7,36,0.410415729709076
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TEX,HLA-DPA1,LAG3,0.0246560934252815,3.00952116874761,4.04408382093736,9,39,0.410415729709076
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CD274,PDCD1,0.0277044874653152,0,0.247595938695095,7,36,0.410415729709076
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TEX,HLA-DQB1,LAG3,0.0285378799764337,2.10396042214634,2.61260359117663,9,39,0.410415729709076
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,HLA-DQB1,LAG3,0.0315606463431662,1.83109829438197,2.49265245100038,7,37,0.410415729709076
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TEX,SPP1,PTGER4,0.0152614077100481,0.0387124073680416,1.12101556490776,10,39,0.410415729709076
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,HLA-DPA1,LAG3,0.0315606463431662,2.26146038840658,3.70707565922327,7,37,0.410415729709076
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TEX,HLA-DRA,LAG3,0.030320091107891,4.47069483241753,5.66536645728575,10,39,0.410415729709076
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,ICAM1,IL2RG,0.0295153800066383,0.87391127454123,1.00736266763584,9,38,0.410415729709076
CD8.TEX,Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),HLA-F,LILRB2,0.0315951052522261,0.948087199114129,0.57187256893182,9,38,0.410415729709076
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TPEX,CD86,CTLA4,0.0145260045297332,0.699887062416106,1.37135569436493,9,39,0.410415729709076
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,HLA-DQA1,LAG3,0.0161000512875789,1.4411124134386,2.79465257573225,7,37,0.410415729709076
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CD80,CTLA4,0.0337121271578472,0.0989203018111023,0.386228162132774,7,36,0.410415729709076
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CXCL11,CCR5,0.0304167511951146,0,0.126279454092422,7,36,0.410415729709076
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TEX,HLA-DRB1,LAG3,0.0345886700223579,4.05258703507804,5.13571929763118,10,39,0.410415729709076
CD8.TEX,Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CCL5,CCRL2,0.0179912843977996,0.828228796201367,1.67295461452236,9,38,0.410415729709076
CD8.TEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD52,SIGLEC10,0.0182626828809642,0,0.940860933571616,7,36,0.410415729709076
CD8.TPEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD99,PILRA,0.0133691151198523,0.906099739687436,1.54062533550406,7,37,0.410415729709076
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CD86,CTLA4,0.0346005479002464,0.622373660050204,1.27869033516422,7,36,0.410415729709076
CD8.TPEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),TIGIT,NECTIN2,0.0287964997018388,0.276802197813197,0.723255688329488,7,37,0.410415729709076
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,NECTIN2,TIGIT,0.0287964997018388,0.276802197813197,0.723255688329488,7,37,0.410415729709076
CD8.TEX,TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CCL5,CCR1,0.032887676673641,0.781670236130829,1.30053892250828,10,39,0.410415729709076
CD8.TEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),HLA-C,LILRB1,0.031050834380876,0.510504758985132,2.41386627258943,7,36,0.410415729709076
CD8.TEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),HLA-A,LILRB1,0.0337121271578472,0.555128194983864,2.71815484157401,7,36,0.410415729709076
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TPEX,HBEGF,CD82,0.0345688522730669,0.603629147440824,0.97976421466063,9,39,0.410415729709076
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,HBEGF,CD82,0.0238511388784528,0.659223805900172,1.04209784952388,9,38,0.410415729709076
CD8.TEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),HLA-B,LILRB1,0.0221310897908255,0.607150237909053,2.80716646949177,7,36,0.410415729709076
TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),CD8.TPEX,HLA-E,CD8A,0.0322979861438079,3.57789265877466,4.89761361177616,10,40,0.410415729709076
CD8.TPEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD52,SIGLEC10,0.0199666381450811,0,0.654454095496832,7,37,0.410415729709076
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,LGALS9,HAVCR2,0.0203324497380672,0.387036965480747,0.708723100470739,7,36,0.410415729709076
CD8.TEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),HMGB1,TLR2,0.0178111515488139,0.164533802983293,1.44914183995747,7,36,0.410415729709076
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,CD80,CTLA4,0.0221185518460187,0.0588301237301239,0.231034680094666,9,38,0.410415729709076
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEX,CXCL10,CXCR3,0.0306326524814746,0,0.416779444342962,7,36,0.410415729709076
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TPEX,ADAM10,CD44,0.0368743816280516,1.17117807204058,0.634904568513845,7,37,0.424330570675042
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEX,TNFSF13,FAS,0.036679631940642,0.189240444973204,0.399961083468104,7,36,0.424330570675042
CD8.TEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),TIGIT,NECTIN2,0.0395113627002521,0.151900357594588,0.757673515697797,7,36,0.429060009040765
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,NECTIN2,TIGIT,0.0395113627002521,0.151900357594588,0.757673515697797,7,36,0.429060009040765
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,TGFB1,CXCR4,0.0380341439615404,3.90889274203451,2.79607097568367,7,37,0.429060009040765
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,HLA-DQB2,LAG3,0.0384131223099111,0.134447798861533,0.306128762953436,9,38,0.429060009040765
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CD8.TEX,LGALS3,LAG3,0.0411882852698448,2.19176379348293,2.97783043373317,7,36,0.429137404635816
Proliferating TAMs (cycling/MKI67+),CD8.TEX,HLA-DPA1,LAG3,0.0400812788583686,2.34915660626237,4.50355812828586,7,31,0.429137404635816
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TPEX,CD80,CTLA4,0.0407412298311325,0.0595344604672227,0.214974813886406,9,39,0.429137404635816
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,HLA-DPB1,LAG3,0.042571994568712,3.40091121882439,4.4340614595576,9,38,0.437640104166359
