source,target,ligand.complex,receptor.complex,p_value,median_MPR,median_non-MPR,p_adj
CD8.TPEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),TNFSF9,HLA-DPA1,0.0170990239284171,1.30105076004847,2.27275065114381,0.197904128375796
CD8.TEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),B2M,CD1C,0.157413828464487,2.41159183624826,0,0.399643702382226
CD8.TPEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),B2M,CD1C,0.145541222075077,2.38400283681291,0,0.399643702382226
CD8.TEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),IFNG,IFNGR1_IFNGR2,0.420177945514766,1.21140120345198,1.32441037390204,0.608152289560845
CD8.TPEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),IFNG,IFNGR1_IFNGR2,0.303560126601981,0.682572943094396,1.31084802877059,0.596278820111034
CD8.TPEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),TNFSF9,HLA-DPA1,0.22135003128332,1.34079405640288,1.9918709163593,0.486970068823303
CD8.TEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),HLA-A,LILRB2,0.717436404138039,3.63528062330258,3.49362597214951,0.857804396252003
CD8.TEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),B2M,LILRB2,0.621671771266703,4.72804137191656,4.22553829633375,0.814093986182587
CD8.TPEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),HLA-A,LILRB2,0.596485898165556,3.6021437219892,3.41332248652267,0.800164009734283
CD8.TEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD99,PILRA,0.986871397395719,1.49380907531404,1.29604981436301,0.986871397395719
CD8.TEX,Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),HMGB1,THBD,0.775194296529647,2.34815706962122,1.88965755816377,0.874732098734406
CD8.TEX,Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CCL5,CCRL2,0.153716337579572,1.50875150093938,2.02856544022529,0.399643702382226
CD8.TPEX,Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),HMGB1,THBD,0.688973036843586,2.05658615581404,1.64178728153868,0.849473661162464
CD8.TPEX,Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),TNFSF9,HLA-DPA1,0.143382538380354,1.14661497382479,1.97800857659667,0.399643702382226
CD8.TEX,Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD99,PILRA,0.072072708507075,1.63681473747308,1.13456280192385,0.380529217300974
CD8.TEX,Proliferating TAMs (cycling/MKI67+),CXCL13,CXCR5,0.519502818149021,0,0,0.714316374954903
CD8.TPEX,Proliferating TAMs (cycling/MKI67+),CXCL13,CXCR5,0.500870661285309,0,0,0.706356060786975
CD8.TEX,Proliferating TAMs (cycling/MKI67+),B2M,CD1C,0.937099035624253,0,0.738632543482755,0.972461263383659
CD8.TPEX,Proliferating TAMs (cycling/MKI67+),B2M,CD1C,0.984627834038126,0,0.577530046384386,0.986871397395719
CD8.TEX,Proliferating TAMs (cycling/MKI67+),CALM1,HMMR,0.218896711760175,2.35839020183718,0.934827091642646,0.486970068823303
CD8.TEX,Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CXCL13,ACKR1,0.391723651194593,0,0,0.596766089620256
CD8.TPEX,Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CXCL13,ACKR1,0.378266902100581,0,0,0.596766089620256
CD8.TEX,Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CCL5,ACKR1,0.391723651194593,0,0,0.596766089620256
CD8.TPEX,Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CCL5,ACKR1,0.378266902100581,0,0,0.596766089620256
CD8.TPEX,Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),TNFSF9,HLA-DPA1,0.847033054592212,1.54684222379555,1.72650108190508,0.931736360051433
CD8.TPEX,TREM2+/APOE+ lipid-associated immunosuppressive TAMs (LAMs),TNFSF9,HLA-DPA1,0.0905811126643497,1.12891120728549,2.12220629600868,0.399643702382226
CD8.TPEX,Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),TNFSF9,HLA-DPA1,0.148157869053101,1.48098412905941,2.04369526484317,0.399643702382226
CD8.TEX,Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),HMGB1,TLR2,0.881784625720486,2.05324779240142,1.54081659183115,0.949353272303355
CD8.TEX,Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),HMGB1,CD163,0.69502390458747,2.40468195044359,2.09038029190175,0.849473661162464
CD8.TEX,Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CCL5,CCR1,0.337094935658009,1.36480337453423,1.32069685899569,0.596766089620256
CD8.TEX,Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),IFNG,IFNGR1_IFNGR2,0.1281987888379,0.887613488602603,1.26681388998761,0.399643702382226
CD8.TEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),B2M,LILRB2,0.348441496026943,3.87532447509985,4.94171751325169,0.596766089620256
CD8.TPEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),B2M,LILRB2,0.335720273325801,3.52680878347361,4.86903498702306,0.596766089620256
CD8.TEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),HLA-C,LILRB2,0.68089998078383,2.89197318811072,3.63259987736139,0.849473661162464
CD8.TEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),HLA-A,LILRB2,0.365614942042033,2.82887133907229,4.00052581985505,0.596766089620256
CD8.TEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CCL5,CCRL2,0.00461223197987562,0.3434257273817,2.05099602201733,0.0881478437789622
CD8.TPEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),LTB,CD40,0.154759659698569,0.137203058637638,0.324829831060836,0.399643702382226
CD8.TEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),TIGIT,NECTIN2,0.0395113627002521,0.151900357594588,0.757673515697797,0.310446421216266
CD8.TEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CCL5,CCR1,0.401460823926354,0.998681471420788,1.79911242984082,0.596766089620256
CD8.TPEX,Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CCL5,CCRL2,0.167123730087113,1.05037587673913,1.481944743474,0.399643702382226
CD8.TEX,Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CCL5,SDC4,0.109690692493329,0.464742649177337,1.14980239357084,0.399643702382226
CD8.TEX,Proliferating TAMs (cycling/MKI67+),B2M,CD1A,0.142174478589844,0,0.383655326230603,0.399643702382226
CD8.TPEX,Proliferating TAMs (cycling/MKI67+),CALM1,HMMR,0.27020756273426,1.95143325237547,0.834792049928227,0.550422812977197
CD8.TPEX,Proliferating TAMs (cycling/MKI67+),TNFSF9,HLA-DPA1,0.0695651487073619,1.10613648671976,1.94405277804308,0.380529217300974
CD8.TPEX,Proliferating TAMs (cycling/MKI67+),B2M,CD1A,0.163138097986319,0,0.358765464940704,0.399643702382226
CD8.TEX,Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CCL5,CCRL2,0.00391856828327765,0,1.60758936527651,0.0881478437789622
CD8.TEX,Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CCL5,SDC4,0.77907821115596,1.49046088918132,1.03464729648892,0.874732098734406
CD8.TEX,Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CIRBP,TREM1,0.779306778872471,0.575823524591002,0.990619181097431,0.874732098734406
CD8.TPEX,Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CIRBP,TREM1,0.897570366541354,0.644197872764959,0.970332620317919,0.949353272303355
