source,target,ligand.complex,receptor.complex,p_value,median_MPR,median_pCR,p_adj
CD8.TPEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),TNFSF9,HLA-DPA1,0.0184408708107045,1.30105076004847,3.08756924045021,0.348647767790486
CD8.TEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),B2M,CD1C,0.186549028485195,2.41159183624826,0,0.599375110993313
CD8.TPEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),B2M,CD1C,0.186549028485195,2.38400283681291,0,0.599375110993313
CD8.TEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),IFNG,IFNGR1_IFNGR2,0.883333201728361,1.21140120345198,1.13076960058566,0.919387618125437
CD8.TPEX,Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),IFNG,IFNGR1_IFNGR2,0.732045911632896,0.682572943094396,1.03217976745423,0.811616119419081
CD8.TPEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),TNFSF9,HLA-DPA1,0.0737482209984484,1.34079405640288,3.49855976296546,0.599375110993313
CD8.TEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),HLA-A,LILRB2,0.281317453120637,3.63528062330258,2.39480017580119,0.599375110993313
CD8.TEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),B2M,LILRB2,0.281317453120637,4.72804137191656,3.06298668525015,0.599375110993313
CD8.TPEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),HLA-A,LILRB2,0.281317453120637,3.6021437219892,2.45401613092281,0.599375110993313
CD8.TEX,IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD99,PILRA,0.174143130217699,1.49380907531404,2.55797602838981,0.599375110993313
CD8.TEX,Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),HMGB1,THBD,0.710300071445582,2.34815706962122,2.17360576692919,0.811616119419081
