source,target,ligand.complex,receptor.complex,p_value,median_non-MPR,median_MPR,p_adj
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CXCL10,CXCR3,0.172012584147631,1.36727512562476,0.622550278372324,0.322523595276808
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CXCL11,CXCR3,0.0622324197851425,0.376200199945804,0,0.248049910984659
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEX,S100A8,CD69,0.103303371585113,5.16009405391036,2.7464501740424,0.248049910984659
Tissue-resident immunosuppressive TAMs (anti-inflammatory/M2-like),CD8.TEX,HLA-DRA,LAG3,0.0321036608436723,5.72455106394363,4.6296260946114,0.240777456327542
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CXCL11,CCR5,0.0304167511951146,0.126279454092422,0,0.240777456327542
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TPEX,S100A8,CD69,0.115756625126174,5.95564876413632,2.59944101347673,0.248049910984659
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,CXCL11,CXCR3,0.683507273957708,0.315272461431757,0.121033959063511,0.788662239181971
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,CXCL10,CXCR3,0.497061580519963,0.933379201864762,0.397738753501928,0.621326975649954
Inflammatory monocyte-derived TAMs (FCN1+/S100A8+),CD8.TPEX,S100A8,CD69,0.0910924017549264,5.53400621602932,3.41020152369356,0.248049910984659
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CD8.TPEX,S100A8,CD69,0.974398746812604,5.5583809815626,4.467122387914,0.974398746812604
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CXCL9,CXCR3,0.109839087268236,0.552123591924586,0,0.248049910984659
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEX,HLA-DQB1,LAG3,0.222689629263352,3.05437801247752,2.58982650967686,0.371149382105587
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEX,HLA-DQA1,LAG3,0.467562521656918,3.35198166400975,3.18915288281328,0.621326975649954
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,CXCL9,CXCR3,0.819996662357912,0.423633158379032,0.39691794785075,0.878567852526334
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TPEX,HLA-DQB1,LAG3,0.460492493480834,2.3530357749569,2.12694912096244,0.621326975649954
