source,target,ligand.complex,receptor.complex,p_value,median_MPR,median_pCR,p_adj
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CXCL10,CXCR3,0.827981359478479,0.622550278372324,0.592435737755657,0.891672233284516
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CXCL11,CXCR3,0.498921530286006,0,0.309692637265484,0.720275611850853
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CXCL9,CXCR3,0.938105637853975,0,0.112314717895026,0.938105637853975
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEX,HLA-DQB1,LAG3,0.363842040312629,2.58982650967686,2.3469026520341,0.720275611850853
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEX,HLA-DQA1,LAG3,0.363842040312629,3.18915288281328,2.5692031498275,0.720275611850853
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,CXCL11,CXCR3,0.763774570068085,0.121033959063511,0.0438778103336439,0.891672233284516
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,CXCL10,CXCR3,0.468878976958536,0.397738753501928,0.135758104918003,0.720275611850853
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,CXCL9,CXCR3,0.393015522084062,0.39691794785075,0,0.720275611850853
Stress-response immunosuppressive TAMs (MARCO+/PPARG+/HSP-high),CD8.TPEX,S100A8,CD69,0.807134281845098,4.467122387914,4.41582357606414,0.891672233284516
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TPEX,HLA-DQB1,LAG3,0.133072809543398,2.12694912096244,1.48988183141254,0.720275611850853
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TEX,S100A8,CD69,0.129426764887634,2.7464501740424,5.8187714316682,0.720275611850853
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TEX,CXCL11,CCR5,0.259751203324144,0,0.160493827930541,0.720275611850853
Classical monocyte-derived TAMs (S100A8+/S100A9+/CCR2+),CD8.TPEX,S100A8,CD69,0.304318833701976,2.59944101347673,5.51631267427137,0.720275611850853
IFN-stimulated immunomodulatory TAMs (ISG-high/PD-L1+/IDO1+),CD8.TPEX,NECTIN2,CD96,0.514482579893467,0.257365519764603,0.723291232086684,0.720275611850853
