source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
CD8.CM,Classical Mono-derived,TGFB1,TGFbR1_R2,0.0104716513879849,0.03,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.EM,Classical Mono-derived,TGFB1,TGFbR1_R2,0.00912902038080293,0.03,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.MAIT,Classical Mono-derived,TGFB1,TGFbR1_R2,0.0142980291515169,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.NaiveLike,Classical Mono-derived,TGFB1,TGFbR1_R2,0.00738672204866443,0.03,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.TEMRA,Classical Mono-derived,TGFB1,TGFbR1_R2,0.0140566073829455,0.01,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.TEX,Classical Mono-derived,TGFB1,TGFbR1_R2,0.0100420125096528,0.03,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.TPEX,Classical Mono-derived,TGFB1,TGFbR1_R2,0.0130887770455311,0.02,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Classical Mono-derived,Classical Mono-derived,TGFB1,TGFbR1_R2,0.0106679647540141,0.03,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
IFN-stimulated,Classical Mono-derived,TGFB1,TGFbR1_R2,0.0121572871074039,0.02,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Inflammatory Mono-derived,Classical Mono-derived,TGFB1,TGFbR1_R2,0.0112512107718947,0.02,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Lipid-associated,Classical Mono-derived,TGFB1,TGFbR1_R2,0.0080610329702027,0.03,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Proliferating,Classical Mono-derived,TGFB1,TGFbR1_R2,0.0103175543479466,0.03,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Resident M2,Classical Mono-derived,TGFB1,TGFbR1_R2,0.00821573427473497,0.03,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Stress-response,Classical Mono-derived,TGFB1,TGFbR1_R2,0.00934420379486544,0.03,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.CM,Resident M2,TGFB1,TGFbR1_R2,0.0129291187986364,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.EM,Resident M2,TGFB1,TGFbR1_R2,0.0112749918658716,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.MAIT,Resident M2,TGFB1,TGFbR1_R2,0.0176374582225146,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.NaiveLike,Resident M2,TGFB1,TGFbR1_R2,0.00912690154172109,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.TEMRA,Resident M2,TGFB1,TGFbR1_R2,0.0173406422551602,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.TEX,Resident M2,TGFB1,TGFbR1_R2,0.0123999165532253,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.TPEX,Resident M2,TGFB1,TGFbR1_R2,0.0161504023138893,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Classical Mono-derived,Resident M2,TGFB1,TGFbR1_R2,0.0131708894052576,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
IFN-stimulated,Resident M2,TGFB1,TGFbR1_R2,0.0150000483675113,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Inflammatory Mono-derived,Resident M2,TGFB1,TGFbR1_R2,0.013888836347653,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Lipid-associated,Resident M2,TGFB1,TGFbR1_R2,0.00995847431457742,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Proliferating,Resident M2,TGFB1,TGFbR1_R2,0.0127393241257362,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Resident M2,Resident M2,TGFB1,TGFbR1_R2,0.0101492173118721,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Stress-response,Resident M2,TGFB1,TGFbR1_R2,0.0115401696237514,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.CM,IFN-stimulated,CCL5,CCR1,0.00609303933224388,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.EM,IFN-stimulated,CCL5,CCR1,0.00646856728910642,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.MAIT,IFN-stimulated,CCL5,CCR1,0.00471760177344863,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.NaiveLike,IFN-stimulated,CCL5,CCR1,0.00130768997408246,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.TEMRA,IFN-stimulated,CCL5,CCR1,0.00630291370561484,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.TEX,IFN-stimulated,CCL5,CCR1,0.00686035656762873,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.TPEX,IFN-stimulated,CCL5,CCR1,0.00572411110089382,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
IFN-stimulated,IFN-stimulated,CCL5,CCR1,0.000264524726039169,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Lipid-associated,IFN-stimulated,CCL5,CCR1,0.000691359558968763,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
Proliferating,IFN-stimulated,CCL5,CCR1,0.00222325420713716,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.CM,Inflammatory Mono-derived,CCL5,CCR1,0.0247492490849865,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.EM,Inflammatory Mono-derived,CCL5,CCR1,0.026244240666472,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.MAIT,Inflammatory Mono-derived,CCL5,CCR1,0.0192439158499441,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.NaiveLike,Inflammatory Mono-derived,CCL5,CCR1,0.00539116821964967,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
CD8.TEMRA,Inflammatory Mono-derived,CCL5,CCR1,0.0255851933365414,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
