source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
CD8.CM,Classical Mono-derived,TGFB1,TGFbR1_R2,0.008365095980357,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.EM,Classical Mono-derived,TGFB1,TGFbR1_R2,0.00748163756475541,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.MAIT,Classical Mono-derived,TGFB1,TGFbR1_R2,0.0114658312014497,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.NaiveLike,Classical Mono-derived,TGFB1,TGFbR1_R2,0.0069929568603171,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.TEMRA,Classical Mono-derived,TGFB1,TGFbR1_R2,0.00298205970635141,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.TEX,Classical Mono-derived,TGFB1,TGFbR1_R2,0.0066776193337346,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.TPEX,Classical Mono-derived,TGFB1,TGFbR1_R2,0.00742146803497637,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Classical Mono-derived,Classical Mono-derived,TGFB1,TGFbR1_R2,0.00885193635222136,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
IFN-stimulated,Classical Mono-derived,TGFB1,TGFbR1_R2,0.00926418776824872,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Inflammatory Mono-derived,Classical Mono-derived,TGFB1,TGFbR1_R2,0.0079422644689947,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
