source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
CD8.CM,Classical Mono-derived,TGFB1,TGFbR1_R2,0.0188783058335416,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.EM,Classical Mono-derived,TGFB1,TGFbR1_R2,0.01634213267986,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.MAIT,Classical Mono-derived,TGFB1,TGFbR1_R2,0.023229019685406,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.NaiveLike,Classical Mono-derived,TGFB1,TGFbR1_R2,0.0138622196926848,0.01,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.TEMRA,Classical Mono-derived,TGFB1,TGFbR1_R2,0.0261733363098722,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.TEX,Classical Mono-derived,TGFB1,TGFbR1_R2,0.0178330307610125,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.TPEX,Classical Mono-derived,TGFB1,TGFbR1_R2,0.0233746497849037,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Classical Mono-derived,Classical Mono-derived,TGFB1,TGFbR1_R2,0.00767084243287621,0.03,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
IFN-stimulated,Classical Mono-derived,TGFB1,TGFbR1_R2,0.0248001880553435,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Inflammatory Mono-derived,Classical Mono-derived,TGFB1,TGFbR1_R2,0.0205591486031765,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Lipid-associated,Classical Mono-derived,TGFB1,TGFbR1_R2,0.0103326973489488,0.02,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Proliferating,Classical Mono-derived,TGFB1,TGFbR1_R2,0.00936671942270666,0.02,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Resident M2,Classical Mono-derived,TGFB1,TGFbR1_R2,0.0149511035681193,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Stress-response,Classical Mono-derived,TGFB1,TGFbR1_R2,0.0126402602153879,0.02,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.CM,Proliferating,TGFB1,TGFbR1_R2,0.00999964094377114,0.03,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.EM,Proliferating,TGFB1,TGFbR1_R2,0.00864509245419984,0.04,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.MAIT,Proliferating,TGFB1,TGFbR1_R2,0.0123314867179282,0.02,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.NaiveLike,Proliferating,TGFB1,TGFbR1_R2,0.00732396635355664,0.04,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.TEMRA,Proliferating,TGFB1,TGFbR1_R2,0.0139154314172187,0.01,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.TEX,Proliferating,TGFB1,TGFbR1_R2,0.00944094484284276,0.04,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.TPEX,Proliferating,TGFB1,TGFbR1_R2,0.012409718981203,0.02,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Classical Mono-derived,Proliferating,TGFB1,TGFbR1_R2,0.00404010931647631,0.04,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
IFN-stimulated,Proliferating,TGFB1,TGFbR1_R2,0.0131640699355372,0.03,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Inflammatory Mono-derived,Proliferating,TGFB1,TGFbR1_R2,0.010883505556987,0.03,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Lipid-associated,Proliferating,TGFB1,TGFbR1_R2,0.0054494095825703,0.04,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Proliferating,Proliferating,TGFB1,TGFbR1_R2,0.00493624554563466,0.04,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Resident M2,Proliferating,TGFB1,TGFbR1_R2,0.00789906635263819,0.04,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
Stress-response,Proliferating,TGFB1,TGFbR1_R2,0.00667421403327065,0.04,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.CM,Resident M2,TGFB1,TGFbR1_R2,0.0120570003322516,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.EM,Resident M2,TGFB1,TGFbR1_R2,0.0104261739457155,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.MAIT,Resident M2,TGFB1,TGFbR1_R2,0.0148626901571664,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.NaiveLike,Resident M2,TGFB1,TGFbR1_R2,0.00883485986984373,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.TEMRA,Resident M2,TGFB1,TGFbR1_R2,0.0167672278527187,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
CD8.TEX,Resident M2,TGFB1,TGFbR1_R2,0.0113844422621134,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
