Cluster,SingleR,Freq
3,B_cell,128
16,B_cell,1
17,B_cell,1
3,B_cell:CXCR4-_centrocyte,6
9,B_cell:CXCR4-_centrocyte,3
10,B_cell:CXCR4-_centrocyte,3
11,B_cell:CXCR4-_centrocyte,1
3,B_cell:CXCR4+_centroblast,7
9,B_cell:CXCR4+_centroblast,25
3,B_cell:Germinal_center,45
9,B_cell:Germinal_center,32
3,B_cell:immature,644
7,B_cell:immature,2
9,B_cell:immature,5
10,B_cell:immature,1
13,B_cell:immature,4
15,B_cell:immature,1
16,B_cell:immature,2
17,B_cell:immature,46
18,B_cell:immature,1
0,B_cell:Memory,1
3,B_cell:Memory,3522
5,B_cell:Memory,1
7,B_cell:Memory,1
9,B_cell:Memory,30
10,B_cell:Memory,11
11,B_cell:Memory,2
13,B_cell:Memory,1
14,B_cell:Memory,3
17,B_cell:Memory,7
3,B_cell:Naive,2501
7,B_cell:Naive,1
9,B_cell:Naive,8
13,B_cell:Naive,2
16,B_cell:Naive,1
17,B_cell:Naive,22
18,B_cell:Naive,1
3,B_cell:Plasma_cell,8
7,B_cell:Plasma_cell,2
9,B_cell:Plasma_cell,6
10,B_cell:Plasma_cell,1849
11,B_cell:Plasma_cell,1
17,B_cell:Plasma_cell,4
15,Chondrocytes:MSC-derived,15
9,CMP,1
14,CMP,252
2,DC:monocyte-derived,3
12,DC:monocyte-derived,1
13,DC:monocyte-derived,26
0,DC:monocyte-derived:A._fumigatus_germ_tubes_6h,1
2,DC:monocyte-derived:A._fumigatus_germ_tubes_6h,4
12,DC:monocyte-derived:A._fumigatus_germ_tubes_6h,4
13,DC:monocyte-derived:A._fumigatus_germ_tubes_6h,15
14,DC:monocyte-derived:A._fumigatus_germ_tubes_6h,4
17,DC:monocyte-derived:A._fumigatus_germ_tubes_6h,1
2,DC:monocyte-derived:AEC-conditioned,74
12,DC:monocyte-derived:AEC-conditioned,14
13,DC:monocyte-derived:AEC-conditioned,34
14,DC:monocyte-derived:AEC-conditioned,1
15,DC:monocyte-derived:AEC-conditioned,1
2,DC:monocyte-derived:AM580,1
12,DC:monocyte-derived:AM580,1
13,DC:monocyte-derived:AM580,21
14,DC:monocyte-derived:AM580,1
2,DC:monocyte-derived:anti-DC-SIGN_2h,67
3,DC:monocyte-derived:anti-DC-SIGN_2h,3
6,DC:monocyte-derived:anti-DC-SIGN_2h,1
10,DC:monocyte-derived:anti-DC-SIGN_2h,1
12,DC:monocyte-derived:anti-DC-SIGN_2h,6
13,DC:monocyte-derived:anti-DC-SIGN_2h,18
14,DC:monocyte-derived:anti-DC-SIGN_2h,1
17,DC:monocyte-derived:anti-DC-SIGN_2h,4
18,DC:monocyte-derived:anti-DC-SIGN_2h,1
1,DC:monocyte-derived:antiCD40/VAF347,1
2,DC:monocyte-derived:antiCD40/VAF347,132
12,DC:monocyte-derived:antiCD40/VAF347,10
13,DC:monocyte-derived:CD40L,2
2,DC:monocyte-derived:Galectin-1,15
11,DC:monocyte-derived:Galectin-1,1
12,DC:monocyte-derived:Galectin-1,3
2,DC:monocyte-derived:immature,4
3,DC:monocyte-derived:immature,1
12,DC:monocyte-derived:immature,2
13,DC:monocyte-derived:immature,1
2,DC:monocyte-derived:LPS,55
12,DC:monocyte-derived:LPS,10
13,DC:monocyte-derived:LPS,1
0,DC:monocyte-derived:mature,1
2,DC:monocyte-derived:mature,3
3,DC:monocyte-derived:mature,1
7,DC:monocyte-derived:mature,5
11,DC:monocyte-derived:mature,4
12,DC:monocyte-derived:mature,4
13,DC:monocyte-derived:mature,104
14,DC:monocyte-derived:mature,1
17,DC:monocyte-derived:mature,1
2,DC:monocyte-derived:Poly(IC),2
12,DC:monocyte-derived:Poly(IC),1
13,DC:monocyte-derived:Poly(IC),7
2,DC:monocyte-derived:rosiglitazone,1
11,DC:monocyte-derived:rosiglitazone,1
12,DC:monocyte-derived:rosiglitazone,1
7,DC:monocyte-derived:Schuler_treatment,1
12,DC:monocyte-derived:Schuler_treatment,1
13,DC:monocyte-derived:Schuler_treatment,8
7,Embryonic_stem_cells,1
15,Endothelial_cells:blood_vessel,38
15,Endothelial_cells:HUVEC,1
15,Endothelial_cells:HUVEC:Borrelia_burgdorferi,12
15,Endothelial_cells:HUVEC:FPV-infected,1
7,Endothelial_cells:HUVEC:IFNg,1
11,Endothelial_cells:HUVEC:IFNg,2
15,Endothelial_cells:HUVEC:IFNg,35
15,Endothelial_cells:lymphatic,25
15,Endothelial_cells:lymphatic:KSHV,7
15,Endothelial_cells:lymphatic:TNFa_48h,59
3,Epithelial_cells:bladder,1
6,Epithelial_cells:bladder,1
7,Epithelial_cells:bladder,790
11,Epithelial_cells:bladder,98
14,Epithelial_cells:bladder,2
15,Epithelial_cells:bladder,1
