Cluster,SingleR,Freq
3,B_cell,6857
7,B_cell,4
9,B_cell,106
10,B_cell,1830
11,B_cell,4
13,B_cell,5
14,B_cell,5
15,B_cell,1
16,B_cell,4
17,B_cell,46
18,B_cell,2
7,Chondrocytes,1
15,Chondrocytes,25
9,CMP,1
14,CMP,340
0,DC,1
1,DC,1
2,DC,89
5,DC,1
7,DC,1
10,DC,3
11,DC,1
12,DC,20
13,DC,256
14,DC,2
15,DC,1
17,DC,1
7,Embryonic_stem_cells,5
15,Endothelial_cells,177
3,Epithelial_cells,1
6,Epithelial_cells,1
7,Epithelial_cells,2538
10,Epithelial_cells,9
11,Epithelial_cells,1343
13,Epithelial_cells,2
14,Epithelial_cells,3
15,Epithelial_cells,1
16,Epithelial_cells,361
17,Epithelial_cells,1
18,Epithelial_cells,15
15,Fibroblasts,81
3,GMP,1
9,GMP,1
13,GMP,5
17,GMP,19
1,HSC_-G-CSF,63
2,HSC_-G-CSF,1
8,HSC_-G-CSF,1
9,HSC_-G-CSF,4
16,HSC_-G-CSF,1
17,HSC_-G-CSF,2
7,iPS_cells,3
15,iPS_cells,1
7,Keratinocytes,28
1,Macrophage,39
2,Macrophage,3422
3,Macrophage,2
5,Macrophage,2
6,Macrophage,1
7,Macrophage,4
10,Macrophage,1
11,Macrophage,10
12,Macrophage,787
13,Macrophage,10
14,Macrophage,13
14,MEP,1
1,Monocyte,18
2,Monocyte,3404
3,Monocyte,3
9,Monocyte,1
10,Monocyte,5
11,Monocyte,2
12,Monocyte,46
13,Monocyte,549
14,Monocyte,45
16,Monocyte,2
17,Monocyte,118
7,MSC,1
9,MSC,1
15,MSC,7
1,Myelocyte,8
9,Myelocyte,1
7,Neurons,1
1,Neutrophils,7020
2,Neutrophils,27
3,Neutrophils,8
7,Neutrophils,1
9,Neutrophils,2
10,Neutrophils,2
11,Neutrophils,2
12,Neutrophils,1
14,Neutrophils,34
16,Neutrophils,61
17,Neutrophils,3
0,NK_cell,289
1,NK_cell,16
3,NK_cell,8
4,NK_cell,541
5,NK_cell,9
6,NK_cell,16
7,NK_cell,2
8,NK_cell,1564
9,NK_cell,119
10,NK_cell,1
11,NK_cell,1
12,NK_cell,3
13,NK_cell,2
14,NK_cell,67
16,NK_cell,3
17,NK_cell,8
18,NK_cell,32
7,Osteoblasts,1
15,Osteoblasts,2
0,Pre-B_cell_CD34-,1
1,Pre-B_cell_CD34-,1
4,Pre-B_cell_CD34-,1
5,Pre-B_cell_CD34-,1
9,Pre-B_cell_CD34-,7
10,Pre-B_cell_CD34-,13
12,Pre-B_cell_CD34-,1
13,Pre-B_cell_CD34-,1
14,Pre-B_cell_CD34-,1
17,Pre-B_cell_CD34-,84
3,Pro-B_cell_CD34+,5
7,Pro-B_cell_CD34+,2
9,Pro-B_cell_CD34+,2
10,Pro-B_cell_CD34+,7
12,Pro-B_cell_CD34+,1
17,Pro-B_cell_CD34+,3
12,Pro-Myelocyte,1
15,Smooth_muscle_cells,56
0,T_cells,7917
1,T_cells,44
3,T_cells,34
4,T_cells,5880
5,T_cells,5901
6,T_cells,5514
7,T_cells,7
8,T_cells,761
9,T_cells,1830
10,T_cells,17
11,T_cells,7
12,T_cells,1
13,T_cells,3
14,T_cells,10
15,T_cells,1
16,T_cells,53
17,T_cells,1
18,T_cells,231
7,Tissue_stem_cells,2
15,Tissue_stem_cells,167
