"cluster","cell_type","score","ncells"
"0","Secretory cell",-852.014561956942,8208
"1","Alveolar macrophages",15005.8800019496,7210
"2","Alveolar macrophages",28238.3776614753,6943
"3","Immune system cells",7193.67226422336,6919
"4","Airway goblet cells",-271.55436486476,6422
"5","Secretory cell",-460.367772702061,5914
"6","Airway goblet cells",-106.138029085448,5532
"7","Mesothelial cells",8549.08970360274,2601
"8","Secretory cell",124.024157199747,2326
"9","Immune system cells",3408.72564663858,2075
"10","Basal cells (Airway progenitor cells)",1146.32529104292,1888
"11","Pulmonary alveolar type II cells",16126.2129033347,1370
"12","Alveolar macrophages",3130.83178148697,861
"13","Immune system cells",1586.79827235427,833
"14","Cancer stem cells",1840.690715922,521
"15","Fibroblasts",4151.96571104393,520
"16","Ciliated cells",6275.1604651529,485
"17","Immune system cells",261.096713052695,286
"18","Basal cells (Airway progenitor cells)",161.717094958643,280
