Cluster,SingleR,Freq
1,Astrocyte:Embryonic_stem_cell-derived,1
11,Astrocyte:Embryonic_stem_cell-derived,20
0,B_cell,446
12,B_cell,25
15,B_cell,2
16,B_cell,4
18,B_cell,2
0,B_cell:CXCR4-_centrocyte,15
11,B_cell:CXCR4-_centrocyte,7
12,B_cell:CXCR4-_centrocyte,53
15,B_cell:CXCR4-_centrocyte,2
11,B_cell:CXCR4+_centroblast,32
12,B_cell:CXCR4+_centroblast,6
0,B_cell:Germinal_center,1
11,B_cell:Germinal_center,92
12,B_cell:Germinal_center,356
0,B_cell:immature,3329
3,B_cell:immature,2
6,B_cell:immature,1
11,B_cell:immature,2
12,B_cell:immature,356
13,B_cell:immature,2
14,B_cell:immature,5
15,B_cell:immature,23
16,B_cell:immature,117
18,B_cell:immature,66
0,B_cell:Memory,39883
1,B_cell:Memory,1
3,B_cell:Memory,2
4,B_cell:Memory,4
5,B_cell:Memory,4
7,B_cell:Memory,2
9,B_cell:Memory,2
10,B_cell:Memory,1
11,B_cell:Memory,34
12,B_cell:Memory,96
13,B_cell:Memory,4
14,B_cell:Memory,9
15,B_cell:Memory,75
16,B_cell:Memory,1055
18,B_cell:Memory,7
0,B_cell:Naive,21871
11,B_cell:Naive,21
12,B_cell:Naive,3489
13,B_cell:Naive,4
14,B_cell:Naive,7
15,B_cell:Naive,35
16,B_cell:Naive,769
18,B_cell:Naive,86
0,B_cell:Plasma_cell,65
4,B_cell:Plasma_cell,1
13,B_cell:Plasma_cell,15
15,B_cell:Plasma_cell,3610
16,B_cell:Plasma_cell,5
18,B_cell:Plasma_cell,2
9,CMP,2
11,CMP,1
13,CMP,2251
6,DC:monocyte-derived,1
7,DC:monocyte-derived,12
13,DC:monocyte-derived,1
14,DC:monocyte-derived,102
0,DC:monocyte-derived:A._fumigatus_germ_tubes_6h,10
6,DC:monocyte-derived:A._fumigatus_germ_tubes_6h,235
7,DC:monocyte-derived:A._fumigatus_germ_tubes_6h,209
9,DC:monocyte-derived:A._fumigatus_germ_tubes_6h,1
11,DC:monocyte-derived:A._fumigatus_germ_tubes_6h,9
13,DC:monocyte-derived:A._fumigatus_germ_tubes_6h,33
14,DC:monocyte-derived:A._fumigatus_germ_tubes_6h,745
18,DC:monocyte-derived:A._fumigatus_germ_tubes_6h,10
6,DC:monocyte-derived:AEC-conditioned,432
7,DC:monocyte-derived:AEC-conditioned,753
11,DC:monocyte-derived:AEC-conditioned,7
13,DC:monocyte-derived:AEC-conditioned,1
14,DC:monocyte-derived:AEC-conditioned,169
18,DC:monocyte-derived:AEC-conditioned,1
7,DC:monocyte-derived:AM580,28
11,DC:monocyte-derived:AM580,1
14,DC:monocyte-derived:AM580,58
0,DC:monocyte-derived:anti-DC-SIGN_2h,31
6,DC:monocyte-derived:anti-DC-SIGN_2h,28
7,DC:monocyte-derived:anti-DC-SIGN_2h,370
11,DC:monocyte-derived:anti-DC-SIGN_2h,10
12,DC:monocyte-derived:anti-DC-SIGN_2h,1
13,DC:monocyte-derived:anti-DC-SIGN_2h,3
14,DC:monocyte-derived:anti-DC-SIGN_2h,141
15,DC:monocyte-derived:anti-DC-SIGN_2h,2
16,DC:monocyte-derived:anti-DC-SIGN_2h,1
18,DC:monocyte-derived:anti-DC-SIGN_2h,9
6,DC:monocyte-derived:antiCD40/VAF347,237
7,DC:monocyte-derived:antiCD40/VAF347,1019
11,DC:monocyte-derived:antiCD40/VAF347,4
13,DC:monocyte-derived:antiCD40/VAF347,7
14,DC:monocyte-derived:antiCD40/VAF347,68
15,DC:monocyte-derived:antiCD40/VAF347,2
18,DC:monocyte-derived:antiCD40/VAF347,1
6,DC:monocyte-derived:CD40L,1
7,DC:monocyte-derived:CD40L,11
13,DC:monocyte-derived:CD40L,1
14,DC:monocyte-derived:CD40L,44
6,DC:monocyte-derived:Galectin-1,8
7,DC:monocyte-derived:Galectin-1,25
6,DC:monocyte-derived:immature,5
7,DC:monocyte-derived:immature,65
11,DC:monocyte-derived:immature,2
14,DC:monocyte-derived:immature,7
6,DC:monocyte-derived:LPS,9
7,DC:monocyte-derived:LPS,45
14,DC:monocyte-derived:LPS,3
0,DC:monocyte-derived:mature,35
5,DC:monocyte-derived:mature,1
6,DC:monocyte-derived:mature,38
7,DC:monocyte-derived:mature,70
13,DC:monocyte-derived:mature,6
14,DC:monocyte-derived:mature,617
15,DC:monocyte-derived:mature,1
16,DC:monocyte-derived:mature,4
18,DC:monocyte-derived:mature,21
