source,functional.cluster,n_MPR,n_pCR,median_MPR,median_pCR,p_value,p_adj
HOPX,CD8.TEX,10,11,0.354628656647507,2.11833758390864,0.00276142845802289,0.0276142845802289
KLF4,CD8.TEX,10,11,3.1785383881656,4.50576401390369,0.00276142845802289,0.0276142845802289
NFAT5,CD8.TEX,10,11,4.56839193035442,5.97994590527795,0.00478571995599859,0.0319047997066573
FOXA1,CD8.TEX,10,11,0.134859676351026,1.60295125906931,0.0079497385998934,0.0396778144456163
HSF1,CD8.TEX,10,11,7.2250149973565,9.54442828853349,0.0158711257782465,0.0396778144456163
HSF2,CD8.TEX,10,11,4.64896111061928,7.21373632388813,0.0158711257782465,0.0396778144456163
HSF4,CD8.TEX,10,11,0.735945436643522,2.51829156778181,0.0100931060683383,0.0396778144456163
NFYC,CD8.TEX,10,11,3.72659839890774,5.53963104137701,0.0158711257782465,0.0396778144456163
FOXO3,CD8.TEX,10,11,6.716823979885,8.09573546475187,0.0196645459803355,0.0436989910674121
NFYB,CD8.TEX,10,11,7.15035443496665,8.39551884001546,0.0429637442021343,0.0859274884042686
DAXX,CD8.TEX,10,11,-3.05281311757005,-3.59517706415836,0.0513444244094399,0.0933534989262544
ELK4,CD8.TEX,10,11,5.21215193405409,4.07545890907357,0.072001270143685,0.110771184836438
MTF1,CD8.TEX,10,11,1.50337279778714,0.410353591396612,0.072001270143685,0.110771184836438
MLXIP,CD8.TEX,10,11,3.03562458413723,5.22208973559656,0.0845212578958709,0.120744654136958
MLX,CD8.TEX,10,11,1.80264722010908,3.23141053755487,0.28162034044387,0.375493787258493
MYC,CD8.TEX,10,11,23.1369006526755,24.1226244210575,0.349368897356513,0.436711121695642
FOXF2,CD8.TEX,10,11,-0.104216705603166,-0.108689628611257,0.756444278116105,0.796257134859058
RFX5,CD8.TEX,10,11,6.07165146668006,5.80250772358658,0.704504473854319,0.796257134859058
RFXAP,CD8.TEX,10,11,5.75258894165608,5.75855522609413,0.756444278116105,0.796257134859058
RFXANK,CD8.TEX,10,11,6.11484484876475,5.91706137529703,0.80940473355334,0.80940473355334
MTF1,CD8.TPEX,10,11,2.53484939280593,0.445217117249205,0.00110003515576271,0.0220007031152542
KLF4,CD8.TPEX,10,11,3.28378018327601,4.98742767786462,0.00478571995599859,0.0478571995599859
FOXA1,CD8.TPEX,10,11,0.243860948373084,2.18310481949415,0.0127184477029678,0.0847896513531189
NFAT5,CD8.TPEX,10,11,4.345625934162,6.34442493055982,0.0196645459803355,0.0966216446092607
NFYC,CD8.TPEX,10,11,4.29707289709722,6.26112958677484,0.0241554111523152,0.0966216446092607
FOXO3,CD8.TPEX,10,11,7.40010834479372,8.76219860125967,0.0357001100035156,0.102000314295759
MLXIP,CD8.TPEX,10,11,2.97993276372459,5.94522779777468,0.0357001100035156,0.102000314295759
NFYB,CD8.TPEX,10,11,7.39541814271553,8.5532527724065,0.0513444244094399,0.1283610610236
HOPX,CD8.TPEX,10,11,1.0121762226925,2.03694623034596,0.0845212578958709,0.18782501754638
HSF1,CD8.TPEX,10,11,8.87273592502132,10.9188521885114,0.197116093400923,0.328526822334872
HSF2,CD8.TPEX,10,11,5.4065789925747,8.52560622142014,0.173351931865864,0.328526822334872
HSF4,CD8.TPEX,10,11,1.91924911526113,3.22922086441862,0.197116093400923,0.328526822334872
MLX,CD8.TPEX,10,11,2.0423374169505,2.70908421265645,0.251204935415462,0.386469131408403
FOXF2,CD8.TPEX,10,11,-0.852164342525649,-0.0496080966488748,0.28162034044387,0.402314772062671
ELK4,CD8.TPEX,10,11,5.57337309974804,5.09595276187736,0.426167228024813,0.568222970699751
RFX5,CD8.TPEX,10,11,5.29895060891847,5.02630277651977,0.704504473854319,0.880630592317899
RFXAP,CD8.TPEX,10,11,4.89498596873786,4.80957540469751,0.756444278116105,0.889934444842476
DAXX,CD8.TPEX,10,11,-4.74749364393613,-4.30903826925356,0.917690152984271,0.965989634720285
RFXANK,CD8.TPEX,10,11,5.43173014407189,4.98488204847132,0.917690152984271,0.965989634720285
MYC,CD8.TPEX,10,11,24.9855813199562,24.601918771301,1,1
