source,cd8_state,response,mean_activity
CIITA,CD8.TEX,MPR,9.44004618255076
CIITA,CD8.TEX,non-MPR,9.8544886264741
CIITA,CD8.TEX,pCR,8.92407735994077
CIITA,CD8.TPEX,MPR,8.86194335579488
CIITA,CD8.TPEX,non-MPR,9.40536494274461
CIITA,CD8.TPEX,pCR,8.6036989190323
DAXX,CD8.TEX,MPR,-3.40592512208512
DAXX,CD8.TEX,non-MPR,-3.45262228938288
DAXX,CD8.TEX,pCR,-4.28077024722918
DAXX,CD8.TPEX,MPR,-4.45866195313395
DAXX,CD8.TPEX,non-MPR,-3.78985229676819
DAXX,CD8.TPEX,pCR,-5.20589200667989
E2F1,CD8.TEX,MPR,4.07166925413819
E2F1,CD8.TEX,non-MPR,4.26752919307797
E2F1,CD8.TEX,pCR,4.19631694369052
E2F1,CD8.TPEX,MPR,4.36995897364365
E2F1,CD8.TPEX,non-MPR,4.67610186971208
E2F1,CD8.TPEX,pCR,4.59961568940678
E2F4,CD8.TEX,MPR,5.29530669903932
E2F4,CD8.TEX,non-MPR,5.98216013918232
E2F4,CD8.TEX,pCR,5.40623216939515
E2F4,CD8.TPEX,MPR,5.2891217631622
E2F4,CD8.TPEX,non-MPR,6.30092028399239
E2F4,CD8.TPEX,pCR,5.56634997733054
ELK4,CD8.TEX,MPR,5.24872051659287
ELK4,CD8.TEX,non-MPR,4.31541985197863
ELK4,CD8.TEX,pCR,4.27457334976596
ELK4,CD8.TPEX,MPR,5.97863046100801
ELK4,CD8.TPEX,non-MPR,5.45019507062137
ELK4,CD8.TPEX,pCR,5.066926191683
HSF1,CD8.TEX,MPR,8.07013179293793
HSF1,CD8.TEX,non-MPR,9.64101470657939
HSF1,CD8.TEX,pCR,10.8785057994377
HSF1,CD8.TPEX,MPR,9.58706205069147
HSF1,CD8.TPEX,non-MPR,11.4872022590917
HSF1,CD8.TPEX,pCR,11.8961680039533
HSF2,CD8.TEX,MPR,5.66041042292886
HSF2,CD8.TEX,non-MPR,7.29986294593666
HSF2,CD8.TEX,pCR,8.13068278646827
HSF2,CD8.TPEX,MPR,6.2085340263504
HSF2,CD8.TPEX,non-MPR,8.63523765588715
HSF2,CD8.TPEX,pCR,8.83332144821319
MLXIP,CD8.TEX,MPR,3.65576031368307
MLXIP,CD8.TEX,non-MPR,3.67628692571998
MLXIP,CD8.TEX,pCR,5.0467042299946
MLXIP,CD8.TPEX,MPR,3.44082747584511
MLXIP,CD8.TPEX,non-MPR,3.95928638233658
MLXIP,CD8.TPEX,pCR,5.79201632946649
MYC,CD8.TEX,MPR,23.3334714409708
MYC,CD8.TEX,non-MPR,24.1442306442365
MYC,CD8.TEX,pCR,23.7476412893314
MYC,CD8.TPEX,MPR,24.312294034446
MYC,CD8.TPEX,non-MPR,25.6142522745762
MYC,CD8.TPEX,pCR,24.3210529717049
NFKB,CD8.TEX,MPR,13.3906516404696
NFKB,CD8.TEX,non-MPR,14.0640458080705
NFKB,CD8.TEX,pCR,13.6523091003438
NFKB,CD8.TPEX,MPR,14.6425823661358
NFKB,CD8.TPEX,non-MPR,14.9146405348364
NFKB,CD8.TPEX,pCR,13.8536472947581
NFKB1,CD8.TEX,MPR,10.6869233102839
NFKB1,CD8.TEX,non-MPR,11.2985474378966
NFKB1,CD8.TEX,pCR,11.164555943842
NFKB1,CD8.TPEX,MPR,11.4059714745162
