cd8_state,source,p_value,median_MPR,median_nonMPR,p_adj
CD8.TEX,MTF1,0,1.497571774,1.02359672,0
CD8.TEX,ELK4,0,5.159431263,4.184580398,0
CD8.TEX,HOPX,9.19E-92,0.377716408,1.44792415,6.13E-91
CD8.TEX,HSF4,1.38E-75,1.434785805,2.369127962,6.92E-75
CD8.TEX,HSF2,4.67E-75,5.270728717,7.233409851,1.87E-74
CD8.TEX,FOXA1,9.24E-73,0.305076137,1.307414536,3.08E-72
CD8.TEX,HSF1,1.15E-65,7.798356936,9.560603028,3.29E-65
CD8.TEX,NFAT5,3.64E-61,4.63470454,5.696239026,9.10E-61
CD8.TEX,NFYB,6.10E-59,7.628398141,8.770500334,1.36E-58
CD8.TEX,NFYC,3.20E-50,4.162637622,5.556704639,6.41E-50
CD8.TEX,FOXF2,6.17E-48,-0.584298269,-0.161825264,1.12E-47
CD8.TEX,KLF4,2.35E-35,3.372432375,3.937616368,3.92E-35
CD8.TEX,MYC,2.56E-29,23.4894279,24.21475581,3.94E-29
CD8.TEX,MLX,4.05E-06,1.97718132,1.864631512,5.78E-06
CD8.TEX,RFX5,0.000110062,6.347309052,6.758005559,0.000146749
CD8.TEX,RFXANK,0.000471498,6.615743324,7.024060522,0.000589373
CD8.TEX,RFXAP,0.002143648,6.267079201,6.613041889,0.002521938
CD8.TEX,MLXIP,0.336593511,3.550776088,3.594719646,0.37399279
CD8.TEX,DAXX,0.436714399,-3.38802533,-3.423936839,0.459699367
CD8.TEX,FOXO3,0.531796101,7.083246731,7.104764248,0.531796101
CD8.TPEX,FOXA1,5.33E-23,0.288270346,1.966611993,1.07E-21
CD8.TPEX,HSF2,6.73E-20,5.706695031,8.65471635,6.73E-19
CD8.TPEX,NFAT5,1.23E-19,4.602327123,6.410595968,8.20E-19
CD8.TPEX,NFYB,9.27E-18,7.201986435,9.204649815,4.63E-17
CD8.TPEX,HSF4,1.48E-17,1.925259357,3.501624207,5.91E-17
CD8.TPEX,MTF1,1.11E-15,3.19463262,1.24583334,3.70E-15
CD8.TPEX,NFYC,1.06E-14,4.151718974,6.426393487,3.04E-14
CD8.TPEX,HSF1,9.97E-14,9.389007665,11.70224983,2.49E-13
CD8.TPEX,FOXF2,5.67E-13,-1.580685171,-0.154130398,1.26E-12
CD8.TPEX,HOPX,4.61E-12,0.823005971,1.977937689,9.22E-12
CD8.TPEX,KLF4,3.60E-09,3.875333934,4.59963394,6.54E-09
CD8.TPEX,MYC,2.93E-07,24.54729524,25.67702712,4.89E-07
CD8.TPEX,DAXX,0.000164142,-4.583457666,-3.761597667,0.000252525
CD8.TPEX,MLXIP,0.002760068,3.234176984,3.822712003,0.003942954
CD8.TPEX,RFX5,0.00575201,5.267872493,5.922106819,0.007669347
CD8.TPEX,ELK4,0.016448302,5.975854094,5.349447538,0.020560377
CD8.TPEX,RFXANK,0.064153322,5.63449239,5.933558559,0.075474496
CD8.TPEX,RFXAP,0.071745126,4.983019021,5.598715239,0.079716806
CD8.TPEX,MLX,0.127933486,1.646903104,1.906395118,0.134666828
CD8.TPEX,FOXO3,0.82971072,7.657060823,7.777193856,0.82971072
