source,cd8_state,response,mean_activity
E2F1,CD8.TEX,MPR,3.66408216800579
E2F1,CD8.TEX,NMPR,4.21742363113568
E2F1,CD8.TPEX,MPR,3.92846889300955
E2F1,CD8.TPEX,NMPR,5.53597215731
E2F4,CD8.TEX,MPR,5.59660021844988
E2F4,CD8.TEX,NMPR,6.24504607459463
E2F4,CD8.TPEX,MPR,5.55930785531201
E2F4,CD8.TPEX,NMPR,7.43440060388431
ELK4,CD8.TEX,MPR,6.06157827889146
ELK4,CD8.TEX,NMPR,3.83587998597081
ELK4,CD8.TPEX,MPR,5.73674982867413
ELK4,CD8.TPEX,NMPR,4.3285974173231
HIF1A,CD8.TEX,MPR,7.39491656962845
HIF1A,CD8.TEX,NMPR,8.53440443955688
HIF1A,CD8.TPEX,MPR,7.53220048503052
HIF1A,CD8.TPEX,NMPR,9.60519057197973
HOPX,CD8.TEX,MPR,0.118984992742171
HOPX,CD8.TEX,NMPR,1.55667018947642
HOPX,CD8.TPEX,MPR,0.788595370074449
HOPX,CD8.TPEX,NMPR,2.03314917568193
IRF6,CD8.TEX,MPR,3.79182011205682
IRF6,CD8.TEX,NMPR,4.38378635956981
IRF6,CD8.TPEX,MPR,2.33245291760653
IRF6,CD8.TPEX,NMPR,3.75010150907566
JUN,CD8.TEX,MPR,10.2453012622559
JUN,CD8.TEX,NMPR,11.0257912334052
JUN,CD8.TPEX,MPR,10.0248381381849
JUN,CD8.TPEX,NMPR,11.6934268746606
MYC,CD8.TEX,MPR,18.549756577655
MYC,CD8.TEX,NMPR,20.0872636853167
MYC,CD8.TPEX,MPR,19.4040867994838
MYC,CD8.TPEX,NMPR,22.7596862123322
NAB2,CD8.TEX,MPR,-1.40960821302905
NAB2,CD8.TEX,NMPR,-0.476240538923555
NAB2,CD8.TPEX,MPR,-2.31332641636619
NAB2,CD8.TPEX,NMPR,-2.02981472691307
NFKB,CD8.TEX,MPR,11.658512492822
NFKB,CD8.TEX,NMPR,12.9600678404623
NFKB,CD8.TPEX,MPR,11.6289434237765
NFKB,CD8.TPEX,NMPR,13.8539633825782
NFKB1,CD8.TEX,MPR,9.69418720981299
NFKB1,CD8.TEX,NMPR,10.7079027077098
NFKB1,CD8.TPEX,MPR,9.49789210517167
NFKB1,CD8.TPEX,NMPR,11.1401596007074
PAWR,CD8.TEX,MPR,-2.40005136094259
PAWR,CD8.TEX,NMPR,-3.19755710227867
PAWR,CD8.TPEX,MPR,-1.42983048311735
PAWR,CD8.TPEX,NMPR,-3.15017650221335
RFX5,CD8.TEX,MPR,6.80828435178219
RFX5,CD8.TEX,NMPR,8.78393356629349
RFX5,CD8.TPEX,MPR,6.13487991899851
RFX5,CD8.TPEX,NMPR,7.06099367938622
RFXANK,CD8.TEX,MPR,6.89818873729331
RFXANK,CD8.TEX,NMPR,9.07909944566125
RFXANK,CD8.TPEX,MPR,6.33930811300185
RFXANK,CD8.TPEX,NMPR,7.31203964146175
RFXAP,CD8.TEX,MPR,6.23173979938782
RFXAP,CD8.TEX,NMPR,8.83700472153779
RFXAP,CD8.TPEX,MPR,5.83285948238172
RFXAP,CD8.TPEX,NMPR,6.76570069699904
SP1,CD8.TEX,MPR,10.656960587522
SP1,CD8.TEX,NMPR,11.7963466786499
SP1,CD8.TPEX,MPR,10.0418233160385
SP1,CD8.TPEX,NMPR,12.5473368035101
SRSF2,CD8.TEX,MPR,4.82381619243066
SRSF2,CD8.TEX,NMPR,5.67339924138518
SRSF2,CD8.TPEX,MPR,4.70040112421153
SRSF2,CD8.TPEX,NMPR,6.56727706352273
STAT3,CD8.TEX,MPR,6.89143707183779
STAT3,CD8.TEX,NMPR,7.58776679403051
STAT3,CD8.TPEX,MPR,6.16450576126991
STAT3,CD8.TPEX,NMPR,7.99022238953533
TFDP1,CD8.TEX,MPR,3.00655890233773
TFDP1,CD8.TEX,NMPR,3.84845192727503
TFDP1,CD8.TPEX,MPR,2.76958889686982
TFDP1,CD8.TPEX,NMPR,4.42017412043638
TP53,CD8.TEX,MPR,8.88104165712021
TP53,CD8.TEX,NMPR,9.87703286583705
TP53,CD8.TPEX,MPR,9.18310626084157
TP53,CD8.TPEX,NMPR,10.7906862436732
