cd8_state,source,p_value,median_MPR,median_NMPR,p_adj
CD8.TEX,ELK4,0,6.049817272,3.660295904,0
CD8.TEX,PAWR,0,-2.390888101,-3.153971615,0
CD8.TEX,RFXAP,4.59E-127,6.084105034,8.680993819,3.06E-126
CD8.TEX,HOPX,1.22E-123,0.01039813,1.577232028,6.10E-123
CD8.TEX,RFX5,6.59E-98,6.707208263,8.62265223,2.64E-97
CD8.TEX,HIF1A,3.56E-97,7.397247158,8.529892209,1.19E-96
CD8.TEX,RFXANK,4.81E-96,6.79942986,8.900997905,1.37E-95
CD8.TEX,NFKB,7.16E-90,11.54668849,12.95190892,1.79E-89
CD8.TEX,TP53,4.91E-86,8.841453555,9.887456347,1.09E-85
CD8.TEX,SP1,5.50E-81,10.58795365,11.72279089,1.10E-80
CD8.TEX,MYC,2.03E-66,18.27087306,19.77056797,3.69E-66
CD8.TEX,NFKB1,7.25E-63,9.587337516,10.61157938,1.21E-62
CD8.TEX,NAB2,1.23E-59,-1.472091527,0.184374915,1.89E-59
CD8.TEX,IRF6,1.41E-48,3.791167464,4.343366061,2.02E-48
CD8.TEX,JUN,9.08E-46,10.28202232,11.06161505,1.21E-45
CD8.TEX,TFDP1,2.06E-38,2.500297998,3.203315622,2.57E-38
CD8.TEX,STAT3,3.46E-36,6.899896055,7.550363119,4.07E-36
CD8.TEX,SRSF2,5.90E-28,4.691456481,5.452089086,6.56E-28
CD8.TEX,E2F4,4.96E-11,4.808377546,5.128997971,5.22E-11
CD8.TEX,E2F1,2.47E-09,3.050406733,3.362448705,2.47E-09
CD8.TPEX,SP1,3.27E-09,9.969369888,12.36839514,6.54E-08
CD8.TPEX,HIF1A,2.42E-06,7.827835127,9.548008663,2.23E-05
CD8.TPEX,PAWR,3.35E-06,-1.253367016,-2.916586959,2.23E-05
CD8.TPEX,STAT3,9.43E-06,6.295068035,8.03347654,4.72E-05
CD8.TPEX,MYC,2.22E-05,19.46253584,23.49816503,6.99E-05
CD8.TPEX,NFKB,2.68E-05,12.02595356,14.07770683,6.99E-05
CD8.TPEX,IRF6,3.06E-05,2.715732603,3.787023928,6.99E-05
CD8.TPEX,TP53,1.84E-05,9.324985105,10.83604755,6.99E-05
CD8.TPEX,JUN,3.15E-05,10.01643984,11.53915239,6.99E-05
CD8.TPEX,SRSF2,0.00051981,4.517162931,6.303411157,0.001011281
CD8.TPEX,TFDP1,0.000556205,2.340827124,4.130041278,0.001011281
CD8.TPEX,E2F1,0.001171792,3.392618827,4.600609464,0.001952986
CD8.TPEX,NFKB1,0.003665397,9.034766265,10.92634519,0.005639073
CD8.TPEX,ELK4,0.004978041,5.830416346,4.280002916,0.007111488
CD8.TPEX,HOPX,0.006702116,0.6109837,1.963979039,0.008936155
CD8.TPEX,E2F4,0.007476044,5.053275981,6.233295744,0.009345055
CD8.TPEX,RFXANK,0.091974919,5.869605682,7.192999404,0.108205787
CD8.TPEX,RFXAP,0.117905842,5.47912338,6.627647705,0.127143999
CD8.TPEX,RFX5,0.120786799,6.006757671,6.638553726,0.127143999
CD8.TPEX,NAB2,0.521762773,-2.066333573,-1.671276849,0.521762773
