signature,p_value,median_MPR,median_NMPR,p_adj
HALLMARK_INTERFERON_GAMMA_RESPONSE,9.65593502316641e-122,0.124531082529475,0.142045373347624,4.82796751158321e-120
HALLMARK_HYPOXIA,2.6473824010631e-99,0.0827804573061808,0.0940246516613076,6.61845600265775e-98
HALLMARK_INTERFERON_ALPHA_RESPONSE,8.87384898897856e-80,0.119920850888474,0.138312006650231,1.47897483149643e-78
HALLMARK_INFLAMMATORY_RESPONSE,7.5354795746212e-73,0.0589657020364416,0.0658074312254376,9.4193494682765e-72
HALLMARK_MTORC1_SIGNALING,7.29118742499949e-72,0.100739549839228,0.113118971061093,7.29118742499949e-71
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,5.30182732617077e-63,0.0438585209003215,0.0489013933547695,4.41818943847564e-62
HALLMARK_APICAL_JUNCTION,4.90015698077814e-57,0.0707913540550196,0.0769989281886389,3.50011212912724e-56
HALLMARK_GLYCOLYSIS,1.40520579341696e-54,0.0501911396927474,0.0573168988924616,8.78253620885601e-54
HALLMARK_COAGULATION,2.98571942984411e-46,0.0209919507215983,0.0248038336651318,1.65873301658006e-45
HALLMARK_COMPLEMENT,5.54397784851858e-42,0.0896409431939978,0.0956323687031082,2.77198892425929e-41
HALLMARK_OXIDATIVE_PHOSPHORYLATION,7.42138287306843e-42,0.0817354412290103,0.0899160414433726,3.37335585139474e-41
HALLMARK_MYC_TARGETS_V1,8.239866272393e-42,0.161138799571275,0.174662379421222,3.43327761349708e-41
HALLMARK_KRAS_SIGNALING_UP,5.56377867751632e-38,0.0531127188281529,0.0579903536977492,2.13991487596782e-37
HALLMARK_FATTY_ACID_METABOLISM,1.28701732451525e-36,0.0437379421580029,0.0486746955742986,4.59649044469733e-36
HALLMARK_CHOLESTEROL_HOMEOSTASIS,2.53003969950229e-34,0.0526010626010626,0.059002079002079,8.43346566500764e-34
HALLMARK_APOPTOSIS,2.71199664248152e-30,0.103247190962054,0.109586402811883,8.47498950775474e-30
