PathResponse,functional.cluster,mean_Exhaustion_UCell,mean_Cytotoxicity_UCell,mean_TPEX_UCell,mean_Memory_UCell,n_cells
MPR,CD8.CM,0.0853426362562229,0.232558058570997,0.152210796495788,0.208882882980864,307
MPR,CD8.EM,0.104905940803862,0.32181206069957,0.139667292094494,0.0834763691698554,1130
MPR,CD8.NaiveLike,0,0.129124916499666,0.16135225375626,0.322704507512521,1
MPR,CD8.TEMRA,0.0580352591100675,0.427989311957248,0.0850737144066402,0.0741094312116438,71
MPR,CD8.TEX,0.378649608413892,0.641617511365494,0.158115719721471,0.0141331801464926,1626
MPR,CD8.TPEX,0.320348869584586,0.482095858383434,0.140089732888147,0.031241652754591,40
NMPR,CD8.CM,0.0778376936365732,0.228557145298349,0.124065613231355,0.262076328764996,1075
NMPR,CD8.EM,0.105917978490741,0.338430080587143,0.129287136245809,0.12067861370182,2598
NMPR,CD8.MAIT,0,0.0623914495657983,0,0.166388425153033,3
NMPR,CD8.NaiveLike,0.0376585770839028,0.0253962470395336,0.0776293823038397,0.595515252693884,11
NMPR,CD8.TEMRA,0.0494571563037769,0.43376753507014,0.0891057676773117,0.0695961010285961,310
NMPR,CD8.TEX,0.35597343548039,0.597728827872435,0.128206600673783,0.013663621018895,3615
NMPR,CD8.TPEX,0.2737514076054,0.463221813998367,0.135580133555927,0.0705284270079763,72
