cd8_state,signature,p_value,median_MPR,median_nonMPR,p_adj
CD8.TEX,HALLMARK_INTERFERON_ALPHA_RESPONSE,3.9222385822351e-133,0.114743120634898,0.133104080371162,1.96111929111755e-131
CD8.TEX,HALLMARK_INTERFERON_GAMMA_RESPONSE,1.09023161629489e-90,0.129188996070025,0.139764201500536,2.72557904073722e-89
CD8.TEX,HALLMARK_MYC_TARGETS_V2,1.80534020724338e-55,0.0632994876244299,0.0725240066128106,3.00890034540564e-54
CD8.TEX,HALLMARK_COMPLEMENT,2.10482918178872e-37,0.0844551625580565,0.0894158628081457,2.6310364772359e-36
CD8.TEX,HALLMARK_UV_RESPONSE_DN,1.33760489217289e-33,0.0499477038334306,0.0449747032496595,1.33760489217289e-32
CD8.TEX,HALLMARK_MTORC1_SIGNALING,2.74453905336401e-27,0.11384780278671,0.120244730260807,2.28711587780334e-26
CD8.TEX,HALLMARK_GLYCOLYSIS,9.86828217185595e-25,0.0589237227581279,0.0627491961414791,7.04877297989711e-24
CD8.TEX,HALLMARK_MYC_TARGETS_V1,7.05883381014402e-21,0.199089853519114,0.205246516613076,4.41177113134001e-20
CD8.TEX,HALLMARK_P53_PATHWAY,2.65984927715635e-19,0.105304573061808,0.101596998928189,1.47769404286464e-18
CD8.TEX,HALLMARK_E2F_TARGETS,2.7955155146353e-17,0.0560718113612004,0.0595551982851018,1.39775775731765e-16
CD8.TEX,HALLMARK_KRAS_SIGNALING_UP,2.50077256710144e-13,0.0544685602000715,0.0524097892104323,1.13671480322793e-12
CD8.TEX,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,1.88310347651986e-12,0.109074016153662,0.113465064792498,7.84626448549942e-12
CD8.TEX,HALLMARK_HYPOXIA,1.0335997726429e-11,0.119405144694534,0.11564308681672,3.97538374093423e-11
CD8.TEX,HALLMARK_HEME_METABOLISM,1.94229854327016e-10,0.0454581993569132,0.0437441943551269,6.93678051167915e-10
CD8.TEX,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1.29350114984547e-09,0.0529108610217935,0.0510646659521258,4.3116704994849e-09
CD8.TEX,HALLMARK_CHOLESTEROL_HOMEOSTASIS,1.6286247554131e-09,0.0670986370986371,0.0703950103950104,5.08945236066594e-09
CD8.TEX,HALLMARK_APICAL_SURFACE,6.65062951445884e-09,0.0334102445777573,0.0366482079680049,1.9560675042526e-08
CD8.TEX,HALLMARK_G2M_CHECKPOINT,9.20778830062982e-08,0.0733020721686317,0.0753429796355841,2.55771897239717e-07
CD8.TEX,HALLMARK_ESTROGEN_RESPONSE_LATE,1.89900337897772e-05,0.0473678099321186,0.0482529474812433,4.99737731309925e-05
CD8.TEX,HALLMARK_INFLAMMATORY_RESPONSE,3.32174970906926e-05,0.0714523043944266,0.0730350125044659,8.30437427267316e-05
CD8.TEX,HALLMARK_TGF_BETA_SIGNALING,0.000221644509059344,0.103210086147268,0.100326982330378,0.000527725021569867
CD8.TEX,HALLMARK_PANCREAS_BETA_CELLS,0.000859517508864132,0.0336769178776614,0.0353413315309226,0.00195344888378212
CD8.TEX,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.00101167786363835,0.159429260450161,0.153506609503394,0.00219929970356163
CD8.TEX,HALLMARK_APOPTOSIS,0.00144636608607508,0.112618675561042,0.113622137889074,0.00301326267932307
CD8.TEX,HALLMARK_COAGULATION,0.0020451484172749,0.0230017375094347,0.021949353879509,0.0040902968345498
CD8.TEX,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.00287644703702079,0.1302081100393,0.130909253304752,0.00553162891734766
CD8.TEX,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.00437724832639658,0.0718134236453202,0.0733153340911962,0.00810601541925292
CD8.TEX,HALLMARK_HEDGEHOG_SIGNALING,0.00511134332636153,0.0218903513706079,0.0230715866051674,0.00912739879707415
CD8.TEX,HALLMARK_IL2_STAT5_SIGNALING,0.00795040073595105,0.0764411342426418,0.0780437903804738,0.0137075874757777
CD8.TEX,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.0155051321642007,0.0326500535905681,0.0317148981779207,0.0258418869403345
CD8.TEX,HALLMARK_ADIPOGENESIS,0.0166209073914901,0.0619587352625938,0.0612254376563058,0.0268079151475647
CD8.TEX,HALLMARK_ALLOGRAFT_REJECTION,0.0204869082884848,0.178242229367631,0.179469453376206,0.0320107942007575
CD8.TEX,HALLMARK_FATTY_ACID_METABOLISM,0.0243327153765993,0.060863976403388,0.0615178288978298,0.0368677505706049
CD8.TEX,HALLMARK_ANDROGEN_RESPONSE,0.0362810054356911,0.0761826182618262,0.0771921912688163,0.0533544197583693
CD8.TEX,HALLMARK_PROTEIN_SECRETION,0.0881329516485817,0.0758554369043518,0.0761424962682282,0.125904216640831
CD8.TEX,HALLMARK_DNA_REPAIR,0.103353760336932,0.0655060255060255,0.0663320463320464,0.14354688935685
CD8.TEX,HALLMARK_UV_RESPONSE_UP,0.121817220914587,0.0984231795721777,0.0988731904882841,0.164617866100793
CD8.TEX,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.132475277993456,0.115544794188862,0.118228986509858,0.174309576307178
CD8.TEX,HALLMARK_MITOTIC_SPINDLE,0.228492533651347,0.0582268485283561,0.0579020100502513,0.292939145706855
CD8.TEX,HALLMARK_BILE_ACID_METABOLISM,0.270153156949079,0.0285624597951408,0.0286227670839725,0.337691446186349
CD8.TEX,HALLMARK_XENOBIOTIC_METABOLISM,0.280670034240964,0.0306055734190782,0.0305144694533762,0.342280529562151
CD8.TEX,HALLMARK_APICAL_JUNCTION,0.341217453295355,0.0680760986066452,0.0675437656305824,0.406211253923041
CD8.TEX,HALLMARK_NOTCH_SIGNALING,0.397266441269981,0.0336619480957196,0.0332511796427367,0.461937722406955
CD8.TEX,HALLMARK_SPERMATOGENESIS,0.40871585162733,0.0133405752120836,0.0133147113594041,0.464449831394693
CD8.TEX,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.507787675034285,0.120194491065258,0.119804521670451,0.564208527815872
CD8.TEX,HALLMARK_ANGIOGENESIS,0.534705960673922,0.0315652304346196,0.0300183747703153,0.581202131167306
CD8.TEX,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.636135519691093,0.027521458363528,0.0269658759682432,0.676739914564993
CD8.TEX,HALLMARK_PEROXISOME,0.794698133886917,0.0538312076524512,0.0537930118240999,0.827810556132205
CD8.TEX,HALLMARK_MYOGENESIS,0.812037750213682,0.0298267238299393,0.0299982136477314,0.828609949197635
CD8.TEX,HALLMARK_KRAS_SIGNALING_DN,0.83762197904797,0.0145596641657735,0.0146212933190425,0.83762197904797
CD8.TPEX,HALLMARK_INTERFERON_ALPHA_RESPONSE,2.42939398487987e-19,0.0993768961327772,0.121636695631168,1.21469699243993e-17
CD8.TPEX,HALLMARK_UV_RESPONSE_DN,1.53648324142602e-12,0.0560858143607705,0.0478546409807356,3.84120810356505e-11
CD8.TPEX,HALLMARK_INTERFERON_GAMMA_RESPONSE,6.47526553605333e-08,0.125544837441944,0.135412647374062,8.09408192006666e-07
CD8.TPEX,HALLMARK_MYC_TARGETS_V2,5.42939143766134e-08,0.0752324449811817,0.0837329550117835,8.09408192006666e-07
CD8.TPEX,HALLMARK_CHOLESTEROL_HOMEOSTASIS,1.33829269605208e-06,0.0647170247170247,0.0729036729036729,1.11524391337673e-05
CD8.TPEX,HALLMARK_HEME_METABOLISM,1.22272150818949e-06,0.0505501964987496,0.0459021078956771,1.11524391337673e-05
CD8.TPEX,HALLMARK_HYPOXIA,4.02232899628117e-06,0.13105930689532,0.124053233297606,2.87309214020083e-05
CD8.TPEX,HALLMARK_MTORC1_SIGNALING,0.00023684416991128,0.126707752768846,0.132288317256163,0.0014802760619455
CD8.TPEX,HALLMARK_UV_RESPONSE_UP,0.00032537433274591,0.108225397546772,0.115046850146365,0.00180763518192172
CD8.TPEX,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.00076724192366594,0.196232583065381,0.186177206145052,0.0038362096183297
CD8.TPEX,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.00103351467066409,0.0565809217577706,0.0522025723472669,0.00430631112776702
CD8.TPEX,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.000990316451711237,0.118776025855672,0.126205851869569,0.00430631112776702
CD8.TPEX,HALLMARK_COAGULATION,0.00199948256073953,0.0231904320471711,0.0217239335592602,0.00666494186913176
CD8.TPEX,HALLMARK_IL2_STAT5_SIGNALING,0.00196254135445019,0.0874712849964107,0.0826166547020818,0.00666494186913176
CD8.TPEX,HALLMARK_MYC_TARGETS_V1,0.00178011034062259,0.210946766702394,0.21786888174348,0.00666494186913176
CD8.TPEX,HALLMARK_E2F_TARGETS,0.00311600974382129,0.0609110396570204,0.06481243301179,0.00973753044944154
CD8.TPEX,HALLMARK_FATTY_ACID_METABOLISM,0.00521316124519062,0.0594281742477911,0.0624334451677293,0.0153328271917371
CD8.TPEX,HALLMARK_COMPLEMENT,0.0157997917365791,0.0800089317613434,0.083211861379064,0.0438883103793863
CD8.TPEX,HALLMARK_APICAL_SURFACE,0.0186648003731672,0.0342639593908629,0.037801876634364,0.049117895718861
CD8.TPEX,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.0249710396462918,0.0399857091818506,0.0378438728117185,0.0605354940520301
CD8.TPEX,HALLMARK_GLYCOLYSIS,0.0254249075018527,0.0638996070025009,0.0649321186137907,0.0605354940520301
CD8.TPEX,HALLMARK_KRAS_SIGNALING_UP,0.0366914058254214,0.0554001429081815,0.0540621650589497,0.0833895586941394
CD8.TPEX,HALLMARK_ALLOGRAFT_REJECTION,0.0592001635174518,0.166716684530189,0.167856377277599,0.12532657717324
CD8.TPEX,HALLMARK_MITOTIC_SPINDLE,0.0601567570431553,0.0597128499641062,0.0568359655419957,0.12532657717324
CD8.TPEX,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.0697960545051857,0.0802505683971201,0.0754823481116584,0.139592109010371
CD8.TPEX,HALLMARK_ESTROGEN_RESPONSE_LATE,0.0761870110610633,0.0528403001071811,0.054989281886388,0.146513482809737
