signature,p_value,median_MPR,median_nonMPR,p_adj
HALLMARK_INTERFERON_ALPHA_RESPONSE,6.143249981504e-151,0.11352284595764,0.132164451107306,3.071624990752e-149
HALLMARK_INTERFERON_GAMMA_RESPONSE,7.21423924604256e-98,0.128840657377635,0.139339049660593,1.80355981151064e-96
HALLMARK_MYC_TARGETS_V2,1.31023021263676e-58,0.0642052316242423,0.0735645862889704,2.18371702106126e-57
HALLMARK_UV_RESPONSE_DN,1.21578429402363e-43,0.0506178244794707,0.0452155088538626,1.51973036752953e-42
HALLMARK_COMPLEMENT,1.52970202542214e-39,0.0841371918542336,0.0888701321900678,1.52970202542214e-38
HALLMARK_MTORC1_SIGNALING,5.54004047380497e-27,0.115512683101108,0.121265630582351,4.61670039483748e-26
HALLMARK_GLYCOLYSIS,1.2435048802775e-24,0.0596141479099679,0.0629224723115398,8.88217771626789e-24
HALLMARK_MYC_TARGETS_V1,4.3428012425656e-21,0.200342979635584,0.206293319042515,2.7142507766035e-20
HALLMARK_E2F_TARGETS,3.84224641980885e-18,0.0565987852804573,0.0599696320114327,2.13458134433825e-17
HALLMARK_P53_PATHWAY,9.81823913344086e-17,0.105471596998928,0.102204358699536,4.90911956672043e-16
HALLMARK_HYPOXIA,1.94518074659109e-16,0.120652018578064,0.116424615934262,8.84173066632315e-16
HALLMARK_HEME_METABOLISM,1.6776631980574e-14,0.0459521257591997,0.0438871025366202,6.45255076175921e-14
HALLMARK_KRAS_SIGNALING_UP,1.61861412592225e-14,0.0546230796713112,0.0525151839942837,6.45255076175921e-14
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,4.39748361260266e-13,0.109996994952747,0.114590424324938,1.57052986164381e-12
HALLMARK_CHOLESTEROL_HOMEOSTASIS,5.26911453792004e-13,0.0667960267960268,0.0706283206283206,1.75637151264001e-12
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,5.28711861918607e-12,0.0531046802429439,0.0511638085030368,1.65222456849565e-11
HALLMARK_APICAL_SURFACE,5.92564912914785e-10,0.0334487001999693,0.0367212736502077,1.74283797916113e-09
HALLMARK_G2M_CHECKPOINT,2.59899434942572e-06,0.0741318327974276,0.075886030725259,7.21942874840477e-06
HALLMARK_TNFA_SIGNALING_VIA_NFKB,2.79971855144347e-06,0.162418720971776,0.156188817434798,7.36768039853544e-06
HALLMARK_ESTROGEN_RESPONSE_LATE,3.1646315400875e-05,0.0479171132547338,0.0488281529117542,7.91157885021875e-05
HALLMARK_INFLAMMATORY_RESPONSE,5.98532281099464e-05,0.0719739192568775,0.073380671668453,0.000142507685976063
HALLMARK_TGF_BETA_SIGNALING,9.70083195089649e-05,0.103804313651512,0.101323649625857,0.000220473453429466
HALLMARK_COAGULATION,0.000105424883502336,0.0230460617297084,0.0219392226291608,0.000229184529352904
HALLMARK_PANCREAS_BETA_CELLS,0.000480332585673233,0.0335332882730652,0.0351808043257857,0.00100069288681924
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.000665636644989016,0.0335119685602001,0.0322204358699536,0.00133127328997803
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.00111569058546652,0.12975884244373,0.130685959271168,0.00214555881820485
HALLMARK_ALLOGRAFT_REJECTION,0.00138830000444109,0.176959628438728,0.178553054662379,0.00257092593415017
HALLMARK_FATTY_ACID_METABOLISM,0.00253319589086448,0.0606467681641782,0.0615846622022019,0.00452356409082942
HALLMARK_APOPTOSIS,0.00476195159242688,0.113193176893885,0.114187884915893,0.00821026136625324
HALLMARK_ANDROGEN_RESPONSE,0.012852426050712,0.076211658432924,0.0773083519532077,0.02142071008452
HALLMARK_HEDGEHOG_SIGNALING,0.0138316415974217,0.0216841039487007,0.0228044024449695,0.0223090993506801
HALLMARK_ADIPOGENESIS,0.0215489591824054,0.0621561271882816,0.0614415862808145,0.0336702487225084
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.0456679049906032,0.0727153593532904,0.0734673013767841,0.0680933696072396
HALLMARK_UV_RESPONSE_UP,0.0463034913329229,0.0996239512740655,0.100237703785884,0.0680933696072396
HALLMARK_DNA_REPAIR,0.0774811812851473,0.0655809055809056,0.0662805662805663,0.110687401835925
