signature,p_value,median_MPR,median_pCR,p_adj
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.007949739,0.128543385,0.118184301,0.05564817
HALLMARK_INFLAMMATORY_RESPONSE,0.00619195,0.070247789,0.077308605,0.05564817
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.002761428,0.110155735,0.125618883,0.05564817
HALLMARK_COMPLEMENT,0.012718448,0.081508189,0.087126138,0.06677185
HALLMARK_MTORC1_SIGNALING,0.024155411,0.114086727,0.120703589,0.101452727
HALLMARK_APOPTOSIS,0.042963744,0.103869426,0.114958552,0.150373105
HALLMARK_KRAS_SIGNALING_UP,0.061000919,0.05359074,0.05612485,0.177494642
HALLMARK_GLYCOLYSIS,0.07200127,0.059268049,0.061197366,0.177494642
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.084521258,0.111794016,0.124664803,0.177494642
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.084521258,0.127765627,0.132464841,0.177494642
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.151736808,0.149841148,0.166558829,0.227605212
HALLMARK_G2M_CHECKPOINT,0.151736808,0.072545124,0.078226776,0.227605212
HALLMARK_MYC_TARGETS_V2,0.132117624,0.062784731,0.076500073,0.227605212
HALLMARK_HYPOXIA,0.132117624,0.113149203,0.122528513,0.227605212
HALLMARK_E2F_TARGETS,0.28162034,0.05864514,0.058712447,0.394268477
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.314371903,0.05102923,0.052296638,0.412613122
HALLMARK_TGF_BETA_SIGNALING,0.467855158,0.102472466,0.102985245,0.577938725
HALLMARK_MYC_TARGETS_V1,0.51156171,0.202591409,0.204137315,0.596821995
HALLMARK_FATTY_ACID_METABOLISM,0.863266764,0.059640927,0.05958571,0.906430102
HALLMARK_P53_PATHWAY,0.863266764,0.104917596,0.104968988,0.906430102
HALLMARK_ALLOGRAFT_REJECTION,0.917690153,0.174515188,0.172483533,0.917690153
