source,tam_short,n_MPR,n_pCR,median_MPR,median_pCR,p_value,p_adj
AP1,Classical-Mono,7,10,9.67142858119784,8.3878594218424,0.018510900863842,0.287261757849993
CREB1,Classical-Mono,7,10,8.84671053675112,7.42007785990934,0.043089263677499,0.287261757849993
STAT1,Classical-Mono,7,10,10.0578655237899,8.06355361276365,0.043089263677499,0.287261757849993
RELA,Classical-Mono,7,10,10.8924925621873,9.74430627674684,0.0702385849444673,0.351192924722337
REL,Classical-Mono,7,10,10.3597601898769,8.76783832906114,0.0878239407651172,0.351295763060469
NFKB,Classical-Mono,7,10,13.2285847988368,11.7022123942637,0.161250514191691,0.537501713972302
JUN,Classical-Mono,7,10,12.6426812396382,11.6379205184085,0.193233237350884,0.55209496385967
RFXANK,Classical-Mono,7,10,16.2497146738811,15.5855701915426,0.229535170711641,0.573837926779103
EGR1,Classical-Mono,7,10,6.35618667812424,5.89405005590605,0.363842040312629,0.606403400521048
IRF1,Classical-Mono,7,10,8.47813138689094,7.85131269144165,0.363842040312629,0.606403400521048
RFX5,Classical-Mono,7,10,14.775163454054,13.7035032863665,0.314788153023447,0.606403400521048
RFXAP,Classical-Mono,7,10,17.3428255842375,16.8462271139635,0.363842040312629,0.606403400521048
DDIT3,Classical-Mono,7,10,6.64547656949388,6.42813904635159,0.474701768819416,0.730310413568332
CIITA,Classical-Mono,7,10,14.1447886299413,13.5065473611649,0.536199095022624,0.765998707175178
HSF2,Classical-Mono,7,10,4.75999454291926,6.08518031066657,0.600884409707939,0.801179212943919
HIF1A,Classical-Mono,7,10,9.88045012589784,10.3316675312351,0.669066227889757,0.836332784862197
HSF1,Classical-Mono,7,10,6.15345380549112,6.5074378149894,0.886774989716166,0.933447357595964
SPI1,Classical-Mono,7,10,11.7004472069373,11.0912931905642,0.886774989716166,0.933447357595964
STAT3,Classical-Mono,7,10,7.51705163413284,7.66372414814977,0.812525709584533,0.933447357595964
NFKB1,Classical-Mono,7,10,8.95629970665537,7.99137021099821,0.962258329905389,0.962258329905389
AP1,IFN-stimulated,7,6,10.0559504289416,9.93150972489099,0.945221445221445,1
