source,tam_state,response,mean_activity
AEBP1,Classical-Mono,MPR,0.405887456287583
AEBP1,Classical-Mono,non-MPR,1.01999966578417
AEBP1,Classical-Mono,pCR,0.652303018871006
AEBP1,IFN-stimulated,MPR,1.1721641894901
AEBP1,IFN-stimulated,non-MPR,2.54643491265191
AEBP1,IFN-stimulated,pCR,0.963665254284154
AEBP1,LAMs,MPR,3.93665188148097
AEBP1,LAMs,non-MPR,4.1999760860271
AEBP1,LAMs,pCR,3.99186638548207
AEBP1,Monocyte FCN1+,MPR,1.17882996024336
AEBP1,Monocyte FCN1+,non-MPR,1.91911822555289
AEBP1,Monocyte FCN1+,pCR,0.771202323985154
AEBP1,Proliferating,MPR,4.46107541522989
AEBP1,Proliferating,non-MPR,3.05666115208183
AEBP1,Proliferating,pCR,3.75279064491264
AEBP1,Resident M2,MPR,1.86896007548458
AEBP1,Resident M2,non-MPR,3.40784685609588
AEBP1,Resident M2,pCR,2.05231947804124
AEBP1,Stress-response,MPR,3.5819644267512
AEBP1,Stress-response,non-MPR,3.26650263599149
AEBP1,Stress-response,pCR,2.79336407916745
CIITA,Classical-Mono,MPR,14.4661359099154
CIITA,Classical-Mono,non-MPR,13.9814413075414
CIITA,Classical-Mono,pCR,13.1799873950356
CIITA,IFN-stimulated,MPR,14.6069686791194
CIITA,IFN-stimulated,non-MPR,14.9529207097036
CIITA,IFN-stimulated,pCR,15.372699652456
CIITA,LAMs,MPR,10.6748274065067
CIITA,LAMs,non-MPR,14.1142537856175
CIITA,LAMs,pCR,12.1539370324004
CIITA,Monocyte FCN1+,MPR,12.8350421916263
CIITA,Monocyte FCN1+,non-MPR,12.0359906153674
CIITA,Monocyte FCN1+,pCR,12.6984218231625
CIITA,Proliferating,MPR,9.50729853188134
CIITA,Proliferating,non-MPR,12.1721285282554
CIITA,Proliferating,pCR,9.59084842041752
CIITA,Resident M2,MPR,14.7052188586483
CIITA,Resident M2,non-MPR,14.5555351451713
CIITA,Resident M2,pCR,14.3309794677406
CIITA,Stress-response,MPR,11.893277467201
CIITA,Stress-response,non-MPR,12.655162380189
CIITA,Stress-response,pCR,11.0792782936717
CREB1,Classical-Mono,MPR,8.84958569205455
CREB1,Classical-Mono,non-MPR,8.95578503554202
CREB1,Classical-Mono,pCR,8.10100022374586
