tam_state,source,p_value,median_MPR,median_nonMPR,p_adj
Classical-Mono,HIF1A,0.000228841,9.9071588,11.71566501,0.004576829
Classical-Mono,HSF2,0.000744253,4.674002037,7.142145951,0.005554639
Classical-Mono,STAT3,0.000833196,7.68504552,9.085809151,0.005554639
Classical-Mono,HSF1,0.003865113,6.141423257,7.887394058,0.015460452
Classical-Mono,NFKB1,0.00358693,8.899118904,10.29647409,0.015460452
Classical-Mono,IRF1,0.007314126,8.188102971,9.265411596,0.02438042
Classical-Mono,RELA,0.015821893,11.07901603,12.03750914,0.040842989
Classical-Mono,NFKB,0.016337196,13.00558045,14.36080632,0.040842989
Classical-Mono,SPI1,0.021236124,11.29152054,12.28667181,0.047191388
Classical-Mono,JUN,0.052266483,13.06584529,13.81757353,0.104532965
Classical-Mono,RFXAP,0.21402012,17.81235428,17.60552658,0.285360159
Classical-Mono,RFXANK,0.187934876,16.66948887,16.49647074,0.285360159
Classical-Mono,STAT1,0.178941109,9.546657951,10.0807623,0.285360159
Classical-Mono,RFX5,0.206915071,15.41541339,14.67342629,0.285360159
Classical-Mono,DDIT3,0.201355511,6.647899042,7.335890725,0.285360159
Classical-Mono,EGR1,0.263676791,6.170140383,6.619717469,0.329595989
Classical-Mono,REL,0.418207708,10.12441241,10.79654487,0.492009069
Classical-Mono,CIITA,0.643857214,14.37634269,14.28889489,0.677744436
Classical-Mono,CREB1,0.624401312,8.699432994,9.035615402,0.677744436
Classical-Mono,AP1,0.74460252,10.01343317,9.861470713,0.74460252
IFN-stimulated,HSF2,9.63839051640407e-12,4.521401647,8.418586279,1.92767810328081e-10
IFN-stimulated,HSF1,7.2805534181565e-08,6.695500637,10.65044102,7.2805534181565e-07
IFN-stimulated,STAT1,3.01087091310966e-07,11.46813975,14.18121179,2.00724727540644e-06
IFN-stimulated,DDIT3,3.43931482521967e-06,7.234628256,9.034803552,1.71965741260983e-05
IFN-stimulated,RELA,5.44554541802971e-06,13.92542404,16.12392151,2.17821816721188e-05
IFN-stimulated,NFKB1,9.18436808172099e-06,12.44836631,14.47329089,3.06145602724033e-05
IFN-stimulated,IRF1,3.12014625904022e-05,10.0379566,11.94128068,8.91470359725778e-05
IFN-stimulated,REL,5.33099829602753e-05,13.17256175,14.61529375,0.000133275
IFN-stimulated,STAT3,0.000221507,10.09652467,11.08667796,0.000492239
IFN-stimulated,HIF1A,0.000281065,11.04223601,13.16943584,0.00056213
IFN-stimulated,CREB1,0.000495656,9.534710293,11.19136971,0.000901192
IFN-stimulated,NFKB,0.000936747,16.32983068,17.78604615,0.001441149
IFN-stimulated,EGR1,0.000874014,6.969612682,8.247698339,0.001441149
IFN-stimulated,SPI1,0.001568291,12.51966914,13.42400489,0.002240416
IFN-stimulated,JUN,0.00277715,15.3445546,16.26526947,0.003702866
IFN-stimulated,AP1,0.004278774,10.7487964,11.54712704,0.005348468
IFN-stimulated,CIITA,0.476519319,14.25964094,14.98231849,0.560610964
IFN-stimulated,RFXAP,0.559122581,17.5681182,17.28127262,0.600950213
IFN-stimulated,RFXANK,0.570902702,16.4526179,16.09065406,0.600950213
IFN-stimulated,RFX5,0.810669458,14.40433733,14.42469684,0.810669458
LAMs,STAT1,1.01520620277425e-86,6.309202591,9.077079747,2.0304124055485e-85
LAMs,IRF1,6.19809324917719e-85,5.296886164,7.822396855,6.19809324917719e-84
LAMs,HSF2,3.35271567668999e-61,4.109715645,6.870316453,2.23514378445999e-60
LAMs,REL,2.52753804319576e-59,7.536303716,10.02284535,1.26376902159788e-58
LAMs,HIF1A,9.90128657024751e-54,8.606097687,10.73257025,3.960514628099e-53
LAMs,SPI1,5.74068611531105e-53,8.338033324,10.62463738,1.91356203843702e-52
LAMs,RELA,1.85730722708712e-52,8.950459589,11.60493399,5.30659207739176e-52
LAMs,NFKB,7.42788555296795e-52,11.57619457,13.90675662,1.85697138824199e-51
LAMs,HSF1,1.95543544835731e-43,4.940565235,8.156761915,4.34541210746068e-43
LAMs,NFKB1,3.77537964618474e-43,8.189574555,10.21369177,7.55075929236948e-43
LAMs,CREB1,3.40445881459092e-37,7.12036752,8.6522705,6.18992511743803e-37
LAMs,DDIT3,8.88333623843721e-37,5.007095787,6.600497392,1.48055603973954e-36
LAMs,CIITA,1.31367830721053e-36,10.76219667,14.4860499,2.02104354955466e-36
LAMs,STAT3,1.28005937790195e-34,6.459462391,7.882192546,1.82865625414565e-34
LAMs,JUN,2.06641050133383e-33,11.04768745,12.78494913,2.75521400177843e-33
LAMs,EGR1,2.92718744012261e-30,5.380308898,6.63243423,3.65898430015326e-30
LAMs,AP1,1.42209713791357e-27,8.069065501,9.231058315,1.6730554563689e-27
LAMs,RFX5,8.08383964873414e-25,11.92433277,14.7950881,8.98204405414905e-25
LAMs,RFXAP,1.908998091078e-24,14.26417955,17.88359379,2.00947167481894e-24
LAMs,RFXANK,2.64956770804805e-24,13.34759623,16.72040906,2.64956770804805e-24
Monocyte FCN1+,HIF1A,8.25207364811852e-24,12.60690425,14.43224941,1.65041472962371e-22
Monocyte FCN1+,HSF1,8.48999013181533e-16,8.521334286,10.59057753,8.48999013181533e-15
