cell,CytoTRACE2_Score,CytoTRACE2_Potency,scevan_group,response,cell_type
BD_immune03_676003,0.0761778890580977,Differentiated,normal_MPR,MPR,Tumor_epithelial_basal
BD_immune04_639050,0.05080380612751,Differentiated,Ciliated,NMPR,Ciliated_epithelial
BD_immune07_325601,0.584035421886131,Multipotent,tumor_NMPR,NMPR,Tumor_epithelial
BD_immune07_486630,0.520285932332196,Multipotent,tumor_NMPR,NMPR,Tumor_epithelial
BD_immune07_524588,0.44204142292054,Oligopotent,tumor_NMPR,NMPR,Tumor_epithelial
BD_immune07_178927,0.250275590449123,Unipotent,normal_NMPR,NMPR,Tumor_epithelial_basal
BD_immune07_255916,0.235684836076743,Unipotent,normal_NMPR,NMPR,Tumor_epithelial_basal
BD_immune07_133124,0.136542625117503,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_basal
BD_immune07_374609,0.215831787462069,Unipotent,normal_NMPR,NMPR,Tumor_epithelial_basal
BD_immune07_138392,0.161915747839225,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_basal
BD_immune07_554970,0.184958589607738,Unipotent,normal_NMPR,NMPR,Tumor_epithelial_basal
BD_immune07_338911,0.34023355253485,Oligopotent,normal_NMPR,NMPR,Tumor_epithelial_basal
BD_immune07_287210,0.284387098622665,Unipotent,normal_NMPR,NMPR,Tumor_epithelial_basal
BD_immune07_193907,0.25090258322577,Unipotent,normal_NMPR,NMPR,Tumor_epithelial_basal
BD_immune07_51729,0.140577027141435,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_basal
BD_immune07_184511,0.0701868378131064,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune07_416755,0.0773107852056978,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune07_479921,0.252209232807598,Unipotent,normal_NMPR,NMPR,Tumor_epithelial_basal
BD_immune07_842495,0.0717081953902109,Differentiated,,NMPR,Tumor_epithelial_AT2
BD_immune07_849847,0.0728217349745419,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune07_796347,0.0905684557681183,Differentiated,normal_NMPR,NMPR,Tumor_epithelial_AT2
BD_immune07_492754,0.0728599198929631,Differentiated,,NMPR,Tumor_epithelial_AT2
