cell,final_group,scevan_group,CytoTRACE2_Score,CytoTRACE2_Potency,response,cell_type
BD_immune03_676003,normal_MPR,normal_MPR,0.0761778890580977,Differentiated,MPR,Tumor_epithelial_basal
BD_immune04_639050,Ciliated,Ciliated,0.05080380612751,Differentiated,NMPR,Ciliated_epithelial
BD_immune07_325601,tumor_NMPR,tumor_NMPR,0.584035421886131,Multipotent,NMPR,Tumor_epithelial
BD_immune07_486630,tumor_NMPR,tumor_NMPR,0.520285932332196,Multipotent,NMPR,Tumor_epithelial
BD_immune07_524588,tumor_NMPR,tumor_NMPR,0.44204142292054,Oligopotent,NMPR,Tumor_epithelial
BD_immune07_178927,normal_NMPR,normal_NMPR,0.250275590449123,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune07_255916,normal_NMPR,normal_NMPR,0.235684836076743,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune07_133124,normal_NMPR,normal_NMPR,0.136542625117503,Differentiated,NMPR,Tumor_epithelial_basal
BD_immune07_374609,normal_NMPR,normal_NMPR,0.215831787462069,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune07_138392,normal_NMPR,normal_NMPR,0.161915747839225,Differentiated,NMPR,Tumor_epithelial_basal
BD_immune07_554970,normal_NMPR,normal_NMPR,0.184958589607738,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune07_338911,normal_NMPR,normal_NMPR,0.34023355253485,Oligopotent,NMPR,Tumor_epithelial_basal
BD_immune07_287210,normal_NMPR,normal_NMPR,0.284387098622665,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune07_193907,normal_NMPR,normal_NMPR,0.25090258322577,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune07_51729,normal_NMPR,normal_NMPR,0.140577027141435,Differentiated,NMPR,Tumor_epithelial_basal
BD_immune07_184511,normal_NMPR,normal_NMPR,0.0701868378131064,Differentiated,NMPR,Tumor_epithelial_AT2
BD_immune07_416755,normal_NMPR,normal_NMPR,0.0773107852056978,Differentiated,NMPR,Tumor_epithelial_AT2
BD_immune07_479921,normal_NMPR,normal_NMPR,0.252209232807598,Unipotent,NMPR,Tumor_epithelial_basal
BD_immune07_842495,,,0.0717081953902109,Differentiated,NMPR,Tumor_epithelial_AT2
BD_immune07_849847,normal_NMPR,normal_NMPR,0.0728217349745419,Differentiated,NMPR,Tumor_epithelial_AT2
BD_immune07_796347,normal_NMPR,normal_NMPR,0.0905684557681183,Differentiated,NMPR,Tumor_epithelial_AT2
BD_immune07_492754,,,0.0728599198929631,Differentiated,NMPR,Tumor_epithelial_AT2
BD_immune07_462980,normal_NMPR,normal_NMPR,0.0622002963168961,Differentiated,NMPR,Tumor_epithelial_AT2
BD_immune05_42629,normal_NMPR,EMT_NMPR,0.185866939861357,Unipotent,NMPR,Tumor_epithelial_EMT
BD_immune05_362136,normal_NMPR,EMT_NMPR,0.0926122946858673,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_94152,normal_NMPR,EMT_NMPR,0.0685142561238499,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_649032,normal_NMPR,EMT_NMPR,0.103866262173185,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_615714,normal_NMPR,EMT_NMPR,0.209415359251022,Unipotent,NMPR,Tumor_epithelial_EMT
BD_immune05_122121,normal_NMPR,EMT_NMPR,0.0666473903179831,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_879952,normal_NMPR,EMT_NMPR,0.105546331488445,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_849226,normal_NMPR,EMT_NMPR,0.0855129487819751,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_502067,normal_NMPR,EMT_NMPR,0.0446441641484003,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_565621,normal_NMPR,EMT_NMPR,0.0745400211134604,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_360458,normal_NMPR,EMT_NMPR,0.135778603790371,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_444244,normal_NMPR,EMT_NMPR,0.100076276245102,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_346707,normal_NMPR,EMT_NMPR,0.118323591062173,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_595859,normal_NMPR,EMT_NMPR,0.104491170783443,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_808709,normal_NMPR,EMT_NMPR,0.0970573576158801,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_66644,normal_NMPR,EMT_NMPR,0.088134566952228,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_32326,normal_NMPR,EMT_NMPR,0.106535539115675,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_692519,normal_NMPR,EMT_NMPR,0.120872538382027,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_63065,normal_NMPR,EMT_NMPR,0.082786888222422,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_582065,normal_NMPR,EMT_NMPR,0.144437026485957,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_614821,normal_NMPR,EMT_NMPR,0.0989076375025145,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_262382,normal_NMPR,EMT_NMPR,0.132864361787884,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_818209,normal_NMPR,EMT_NMPR,0.100464142409838,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_622085,normal_NMPR,EMT_NMPR,0.0939042582333448,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_147288,normal_NMPR,EMT_NMPR,0.0728589602770037,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_32417,normal_NMPR,EMT_NMPR,0.122340644957283,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_767860,normal_NMPR,EMT_NMPR,0.0996680080590627,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_760949,normal_NMPR,EMT_NMPR,0.107219126049236,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_719303,normal_NMPR,EMT_NMPR,0.106644848464054,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_835016,normal_NMPR,EMT_NMPR,0.0668533362414459,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_306211,normal_NMPR,EMT_NMPR,0.100983111887163,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_35807,normal_NMPR,EMT_NMPR,0.10088559884684,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_794029,normal_NMPR,EMT_NMPR,0.0652989267618586,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_390406,normal_NMPR,EMT_NMPR,0.0443742832341926,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_358660,normal_NMPR,EMT_NMPR,0.0422528107365249,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_881750,normal_NMPR,EMT_NMPR,0.0968927165585606,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_214055,normal_NMPR,EMT_NMPR,0.109059752681041,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_80790,normal_NMPR,EMT_NMPR,0.0546453087236996,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_9371,normal_NMPR,EMT_NMPR,0.108022781244327,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_874218,normal_NMPR,EMT_NMPR,0.102948446697399,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_75493,normal_NMPR,EMT_NMPR,0.119084446824732,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_417661,normal_NMPR,EMT_NMPR,0.121479277338389,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_472967,normal_NMPR,EMT_NMPR,0.0835950850339877,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_448014,normal_NMPR,EMT_NMPR,0.11576674554532,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_483152,normal_NMPR,EMT_NMPR,0.084922986697486,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_530591,normal_NMPR,EMT_NMPR,0.0695875125986797,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_234970,normal_NMPR,EMT_NMPR,0.0471770336138643,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_99306,normal_NMPR,EMT_NMPR,0.103940540941744,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_712045,normal_NMPR,EMT_NMPR,0.101148908923083,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_151132,normal_NMPR,EMT_NMPR,0.0666786622758951,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_119883,normal_NMPR,EMT_NMPR,0.0926937010290509,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_98275,normal_NMPR,EMT_NMPR,0.0926277295448329,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_279153,normal_NMPR,EMT_NMPR,0.088536073075385,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_588920,normal_NMPR,EMT_NMPR,0.0907408712179237,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_322665,normal_NMPR,EMT_NMPR,0.0810919693442584,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_5241,normal_NMPR,EMT_NMPR,0.106017529479075,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_623288,normal_NMPR,EMT_NMPR,0.114206125390752,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_34830,normal_NMPR,EMT_NMPR,0.113493859728643,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_37044,normal_NMPR,EMT_NMPR,0.0593963474043365,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_503311,normal_NMPR,EMT_NMPR,0.060019960224733,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_63125,normal_NMPR,EMT_NMPR,0.0959088542726117,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_538823,normal_NMPR,EMT_NMPR,0.108196886337224,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_687178,normal_NMPR,EMT_NMPR,0.07363371742298,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_403093,normal_NMPR,EMT_NMPR,0.0954849899118122,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_315757,normal_NMPR,EMT_NMPR,0.0992615111303759,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_611374,normal_NMPR,EMT_NMPR,0.0908171950224426,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_63067,normal_NMPR,EMT_NMPR,0.0650959502938084,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_367732,normal_NMPR,EMT_NMPR,0.0507287119866672,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_619779,normal_NMPR,EMT_NMPR,0.0752235934776345,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_268067,normal_NMPR,EMT_NMPR,0.0928678053934108,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_51889,normal_NMPR,EMT_NMPR,0.117104008866945,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_723048,normal_NMPR,EMT_NMPR,0.0607615544690165,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_806425,normal_NMPR,EMT_NMPR,0.0807909740262718,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_310369,normal_NMPR,EMT_NMPR,0.0981480568875689,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_496076,normal_NMPR,EMT_NMPR,0.0911926860838851,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_319892,normal_NMPR,EMT_NMPR,0.101942791885384,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_776295,normal_NMPR,EMT_NMPR,0.103739370680772,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_598754,normal_NMPR,EMT_NMPR,0.108554716046102,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_435634,normal_NMPR,EMT_NMPR,0.103634875528329,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_118475,normal_NMPR,EMT_NMPR,0.109761812592905,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_502731,normal_NMPR,EMT_NMPR,0.1027263206589,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_56376,normal_NMPR,EMT_NMPR,0.0578418561070463,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_458374,normal_NMPR,EMT_NMPR,0.0962788776529049,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_153336,normal_NMPR,EMT_NMPR,0.0960728048913866,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_167373,normal_NMPR,EMT_NMPR,0.103913509134851,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_99039,normal_NMPR,EMT_NMPR,0.0963385874919174,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_870045,normal_NMPR,EMT_NMPR,0.0818903107993095,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_854486,normal_NMPR,EMT_NMPR,0.0831623430151708,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_704090,normal_NMPR,EMT_NMPR,0.0821837913383927,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_47498,normal_NMPR,EMT_NMPR,0.0842841241203236,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_435886,normal_NMPR,EMT_NMPR,0.0944300915485631,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_450255,normal_NMPR,EMT_NMPR,0.102090211230275,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_168846,normal_NMPR,EMT_NMPR,0.110687164441486,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_843146,normal_NMPR,EMT_NMPR,0.0634778846983694,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_766012,normal_NMPR,EMT_NMPR,0.0843995215084011,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_709322,normal_NMPR,EMT_NMPR,0.0852785523291975,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_419952,normal_NMPR,EMT_NMPR,0.0929074126527663,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_722878,normal_NMPR,EMT_NMPR,0.0677431003566663,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_666305,normal_NMPR,EMT_NMPR,0.0722288121896753,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_238346,normal_NMPR,EMT_NMPR,0.0811096769321327,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_734980,normal_NMPR,EMT_NMPR,0.103059489584541,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_570546,normal_NMPR,EMT_NMPR,0.107672245227389,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_275770,normal_NMPR,EMT_NMPR,0.066112701056209,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_632976,normal_NMPR,EMT_NMPR,0.106851218891929,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_180690,normal_NMPR,EMT_NMPR,0.0646514893326454,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_715396,normal_NMPR,EMT_NMPR,0.0589954597757287,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_748081,normal_NMPR,EMT_NMPR,0.0929392525748176,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_539455,normal_NMPR,EMT_NMPR,0.0883751577827046,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_594377,normal_NMPR,EMT_NMPR,0.0603483867264241,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_252162,normal_NMPR,EMT_NMPR,0.0934271600919644,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_462673,normal_NMPR,EMT_NMPR,0.062225138241822,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_216467,normal_NMPR,EMT_NMPR,0.0831299177894197,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_13322,normal_NMPR,EMT_NMPR,0.0636779741744019,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_674400,normal_NMPR,EMT_NMPR,0.0711592262392779,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_680855,normal_NMPR,EMT_NMPR,0.0941122296838584,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_591383,normal_NMPR,EMT_NMPR,0.0907817996038981,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_505493,normal_NMPR,EMT_NMPR,0.0984090485374531,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_119623,normal_NMPR,EMT_NMPR,0.0814803470211025,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_838586,normal_NMPR,EMT_NMPR,0.0669228203605174,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_219419,normal_NMPR,EMT_NMPR,0.0948564328962292,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_385954,normal_NMPR,EMT_NMPR,0.114425215279337,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_706618,normal_NMPR,EMT_NMPR,0.0734312883667664,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_181886,normal_NMPR,EMT_NMPR,0.116014330367575,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_272063,normal_NMPR,EMT_NMPR,0.0721104907275208,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune05_309299,normal_NMPR,EMT_NMPR,0.100492018709995,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune08_837002,normal_NMPR,EMT_NMPR,0.0787821747406574,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune11_759492,Ciliated,Ciliated,0.0931446642509228,Differentiated,MPR,Ciliated_epithelial
BD_immune11_17759,Ciliated,Ciliated,0.0899085477324669,Differentiated,MPR,Ciliated_epithelial
BD_immune11_880050,Ciliated,Ciliated,0.119124015220948,Differentiated,MPR,Ciliated_epithelial
BD_immune11_765009,Ciliated,Ciliated,0.0484141895822802,Differentiated,MPR,Ciliated_epithelial
BD_immune11_414642,Ciliated,Ciliated,0.0321731021768793,Differentiated,MPR,Ciliated_epithelial
BD_immune11_747329,Ciliated,Ciliated,0.101220746540994,Differentiated,MPR,Ciliated_epithelial
BD_immune12_174836,Ciliated,Ciliated,0.100112521947588,Differentiated,NMPR,Ciliated_epithelial
BD_immune12_581908,normal_NMPR,EMT_NMPR,0.0891204934694037,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune12_747669,normal_NMPR,EMT_NMPR,0.0882947440550301,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune12_697869,normal_NMPR,EMT_NMPR,0.0580045757495612,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune12_439856,normal_NMPR,EMT_NMPR,0.089075353951387,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune12_527621,normal_NMPR,EMT_NMPR,0.0873814145152423,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune12_277931,normal_NMPR,EMT_NMPR,0.0763391150866305,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune12_365627,normal_NMPR,EMT_NMPR,0.0832907825057665,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune12_114793,normal_NMPR,EMT_NMPR,0.0936104661545951,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune12_48432,normal_NMPR,EMT_NMPR,0.0763777510446692,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune12_184577,normal_NMPR,EMT_NMPR,0.108060965144484,Differentiated,NMPR,Tumor_epithelial_EMT
BD_immune12_778458,normal_NMPR,EMT_NMPR,0.0958005935132841,Differentiated,NMPR,Tumor_epithelial_EMT
