comparison,signature,p_value,median_tumor_MPR,median_tumor_NMPR,median_normal_MPR,median_normal_NMPR,median_MPR,median_NMPR,p_adj
Ciliated_MPR_vs_NMPR,HALLMARK_APICAL_SURFACE,8.85E-07,,,,,0.043862483,0.03915936,1.47E-05
Ciliated_MPR_vs_NMPR,HALLMARK_DNA_REPAIR,3.60E-07,,,,,0.043725284,0.049034749,1.47E-05
Ciliated_MPR_vs_NMPR,HALLMARK_ALLOGRAFT_REJECTION,3.44E-05,,,,,0.064971418,0.060695784,0.000344426
Ciliated_MPR_vs_NMPR,HALLMARK_PROTEIN_SECRETION,0.000142066,,,,,0.111081209,0.101525721,0.001183885
Ciliated_MPR_vs_NMPR,HALLMARK_INFLAMMATORY_RESPONSE,0.000194368,,,,,0.029473026,0.03393712,0.001388345
Ciliated_MPR_vs_NMPR,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.000285333,,,,,0.114175026,0.123687305,0.001783334
Ciliated_MPR_vs_NMPR,HALLMARK_G2M_CHECKPOINT,0.004292448,,,,,0.050760986,0.047743837,0.017885199
Ciliated_MPR_vs_NMPR,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.006567206,,,,,0.017086172,0.021981738,0.021890687
Ciliated_MPR_vs_NMPR,HALLMARK_NOTCH_SIGNALING,0.008689813,,,,,0.056433266,0.063016094,0.027155667
Ciliated_MPR_vs_NMPR,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.009576535,,,,,0.099935691,0.105895856,0.028166281
Ciliated_MPR_vs_NMPR,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.013343818,,,,,0.065010718,0.069430154,0.037066162
Ciliated_MPR_vs_NMPR,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.014971248,,,,,0.076825652,0.071697035,0.03742812
Ciliated_MPR_vs_NMPR,HALLMARK_MYC_TARGETS_V1,0.014375456,,,,,0.164742765,0.162373169,0.03742812
normal_MPR_vs_NMPR,HALLMARK_KRAS_SIGNALING_DN,5.69E-56,,,0.019115756,0.012060557,,,1.42E-54
normal_MPR_vs_NMPR,HALLMARK_PI3K_AKT_MTOR_SIGNALING,3.10E-56,,,0.097726001,0.118670813,,,1.42E-54
normal_MPR_vs_NMPR,HALLMARK_HYPOXIA,1.80E-53,,,0.091071811,0.116171847,,,3.01E-52
normal_MPR_vs_NMPR,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1.36E-52,,,0.047415148,0.064558771,,,1.70E-51
normal_MPR_vs_NMPR,HALLMARK_APOPTOSIS,1.80E-43,,,0.093152382,0.114753632,,,1.80E-42
normal_MPR_vs_NMPR,HALLMARK_KRAS_SIGNALING_UP,1.20E-42,,,0.034689175,0.046700607,,,9.98E-42
normal_MPR_vs_NMPR,HALLMARK_APICAL_JUNCTION,3.46E-40,,,0.058938907,0.073398535,,,2.47E-39
normal_MPR_vs_NMPR,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1.84E-38,,,0.085369775,0.116348696,,,1.15E-37
normal_MPR_vs_NMPR,HALLMARK_TGF_BETA_SIGNALING,6.86E-38,,,0.074577124,0.100094322,,,3.81E-37
normal_MPR_vs_NMPR,HALLMARK_INFLAMMATORY_RESPONSE,6.03E-34,,,0.036713112,0.048945159,,,3.01E-33
normal_MPR_vs_NMPR,HALLMARK_MTORC1_SIGNALING,4.90E-31,,,0.12142015,0.142791175,,,2.23E-30
normal_MPR_vs_NMPR,HALLMARK_IL2_STAT5_SIGNALING,2.14E-30,,,0.055597631,0.066239232,,,8.92E-30
normal_MPR_vs_NMPR,HALLMARK_GLYCOLYSIS,1.42E-29,,,0.079165773,0.093743301,,,5.45E-29
normal_MPR_vs_NMPR,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,1.62E-24,,,0.118435658,0.135932393,,,5.79E-24
normal_MPR_vs_NMPR,HALLMARK_COMPLEMENT,3.98E-24,,,0.06749732,0.084252412,,,1.33E-23
normal_MPR_vs_NMPR,HALLMARK_ANGIOGENESIS,7.24E-19,,,0.03356208,0.046757228,,,2.24E-18
normal_MPR_vs_NMPR,HALLMARK_FATTY_ACID_METABOLISM,1.60E-14,,,0.078885577,0.071017069,,,3.81E-14
normal_MPR_vs_NMPR,HALLMARK_MYC_TARGETS_V1,3.49E-14,,,0.196391568,0.217482136,,,7.94E-14
normal_MPR_vs_NMPR,HALLMARK_OXIDATIVE_PHOSPHORYLATION,3.67E-12,,,0.135414434,0.156900679,,,7.98E-12
normal_MPR_vs_NMPR,HALLMARK_NOTCH_SIGNALING,2.41E-11,,,0.050724638,0.040481758,,,5.02E-11
normal_MPR_vs_NMPR,HALLMARK_UV_RESPONSE_UP,2.11E-10,,,0.089659106,0.097798288,,,4.06E-10
normal_MPR_vs_NMPR,HALLMARK_INTERFERON_GAMMA_RESPONSE,5.15E-09,,,0.088004645,0.097927831,,,9.53E-09
normal_MPR_vs_NMPR,HALLMARK_P53_PATHWAY,1.17E-07,,,0.104419436,0.110773491,,,2.09E-07
normal_MPR_vs_NMPR,HALLMARK_PROTEIN_SECRETION,4.14E-07,,,0.108702205,0.116808043,,,6.90E-07
normal_MPR_vs_NMPR,HALLMARK_MITOTIC_SPINDLE,3.38E-06,,,0.052316942,0.057879576,,,5.45E-06
normal_MPR_vs_NMPR,HALLMARK_INTERFERON_ALPHA_RESPONSE,1.36E-05,,,0.098471015,0.105648788,,,2.12E-05
normal_MPR_vs_NMPR,HALLMARK_MYC_TARGETS_V2,4.23E-05,,,0.053887371,0.0623615,,,6.41E-05
normal_MPR_vs_NMPR,HALLMARK_HEME_METABOLISM,0.000131204,,,0.061432655,0.064460522,,,0.000187435
normal_MPR_vs_NMPR,HALLMARK_DNA_REPAIR,0.000276782,,,0.048674389,0.051628642,,,0.000384419
normal_MPR_vs_NMPR,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.00398145,,,0.140636458,0.147346939,,,0.005380338
normal_MPR_vs_NMPR,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.007221349,,,0.100683761,0.096225456,,,0.009501775
normal_MPR_vs_NMPR,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.021885591,,,0.028374962,0.030955602,,,0.026689745
normal_MPR_vs_NMPR,HALLMARK_UV_RESPONSE_DN,0.04128528,,,0.04965217,0.051077544,,,0.049149142
tumor_MPR_vs_NMPR,HALLMARK_IL6_JAK_STAT3_SIGNALING,1.22E-176,0.068033978,0.045525057,,,,,3.04E-175
tumor_MPR_vs_NMPR,HALLMARK_APICAL_JUNCTION,5.70E-137,0.065642194,0.083036799,,,,,7.13E-136
tumor_MPR_vs_NMPR,HALLMARK_MITOTIC_SPINDLE,5.00E-133,0.053028536,0.075276382,,,,,5.00E-132
tumor_MPR_vs_NMPR,HALLMARK_ALLOGRAFT_REJECTION,1.63E-122,0.082320472,0.070978921,,,,,1.36E-121
tumor_MPR_vs_NMPR,HALLMARK_APOPTOSIS,3.43E-122,0.109004241,0.133734062,,,,,2.45E-121
tumor_MPR_vs_NMPR,HALLMARK_CHOLESTEROL_HOMEOSTASIS,1.38E-121,0.103684454,0.137791638,,,,,8.64E-121
tumor_MPR_vs_NMPR,HALLMARK_P53_PATHWAY,3.84E-121,0.139857092,0.160025009,,,,,2.13E-120
tumor_MPR_vs_NMPR,HALLMARK_PROTEIN_SECRETION,2.83E-117,0.150189459,0.124334381,,,,,1.29E-116
