comparison,signature,p_value,median_tumor_MPR,median_tumor_NMPR,median_normal_MPR,median_normal_NMPR,median_MPR,median_NMPR,p_adj
Ciliated_MPR_vs_NMPR,HALLMARK_APICAL_SURFACE,8.85E-07,,,,,0.043862483,0.03915936,1.47E-05
Ciliated_MPR_vs_NMPR,HALLMARK_DNA_REPAIR,3.60E-07,,,,,0.043725284,0.049034749,1.47E-05
Ciliated_MPR_vs_NMPR,HALLMARK_HEDGEHOG_SIGNALING,6.29E-07,,,,,0.016481044,0.022134098,1.47E-05
Ciliated_MPR_vs_NMPR,HALLMARK_SPERMATOGENESIS,6.12E-06,,,,,0.033788537,0.029104593,7.65E-05
Ciliated_MPR_vs_NMPR,HALLMARK_ALLOGRAFT_REJECTION,3.44E-05,,,,,0.064971418,0.060695784,0.000344426
Ciliated_MPR_vs_NMPR,HALLMARK_PROTEIN_SECRETION,0.000142066,,,,,0.111081209,0.101525721,0.001183885
Ciliated_MPR_vs_NMPR,HALLMARK_INFLAMMATORY_RESPONSE,0.000194368,,,,,0.029473026,0.03393712,0.001388345
Ciliated_MPR_vs_NMPR,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.000285333,,,,,0.114175026,0.123687305,0.001783334
Ciliated_MPR_vs_NMPR,HALLMARK_ADIPOGENESIS,0.000765373,,,,,0.062563416,0.068375313,0.00425207
Ciliated_MPR_vs_NMPR,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.001484263,,,,,0.055378707,0.059857092,0.006746649
Ciliated_MPR_vs_NMPR,HALLMARK_ESTROGEN_RESPONSE_LATE,0.001412185,,,,,0.061650589,0.065332262,0.006746649
Ciliated_MPR_vs_NMPR,HALLMARK_G2M_CHECKPOINT,0.004292448,,,,,0.050760986,0.047743837,0.017885199
Ciliated_MPR_vs_NMPR,HALLMARK_XENOBIOTIC_METABOLISM,0.004974467,,,,,0.051530904,0.053893355,0.019132565
Ciliated_MPR_vs_NMPR,HALLMARK_PEROXISOME,0.005411803,,,,,0.086790886,0.081657699,0.019327867
Ciliated_MPR_vs_NMPR,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.006567206,,,,,0.017086172,0.021981738,0.021890687
Ciliated_MPR_vs_NMPR,HALLMARK_NOTCH_SIGNALING,0.008689813,,,,,0.056433266,0.063016094,0.027155667
Ciliated_MPR_vs_NMPR,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.009576535,,,,,0.099935691,0.105895856,0.028166281
Ciliated_MPR_vs_NMPR,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.013343818,,,,,0.065010718,0.069430154,0.037066162
Ciliated_MPR_vs_NMPR,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.014971248,,,,,0.076825652,0.071697035,0.03742812
Ciliated_MPR_vs_NMPR,HALLMARK_MYC_TARGETS_V1,0.014375456,,,,,0.164742765,0.162373169,0.03742812
Ciliated_MPR_vs_NMPR,HALLMARK_MITOTIC_SPINDLE,0.030802222,,,,,0.067494616,0.064696698,0.073298213
Ciliated_MPR_vs_NMPR,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.032251214,,,,,0.103766121,0.099529925,0.073298213
Ciliated_MPR_vs_NMPR,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.038106713,,,,,0.044244373,0.041695248,0.08284068
Ciliated_MPR_vs_NMPR,HALLMARK_HYPOXIA,0.057015995,,,,,0.068208289,0.071331726,0.118783322
Ciliated_MPR_vs_NMPR,HALLMARK_UV_RESPONSE_DN,0.067744195,,,,,0.060867873,0.059301421,0.135488389
Ciliated_MPR_vs_NMPR,HALLMARK_KRAS_SIGNALING_DN,0.090681976,,,,,0.01295284,0.012379421,0.167539954
Ciliated_MPR_vs_NMPR,HALLMARK_P53_PATHWAY,0.093822374,,,,,0.085182208,0.08933637,0.167539954
Ciliated_MPR_vs_NMPR,HALLMARK_PANCREAS_BETA_CELLS,0.088736729,,,,,0.035822913,0.032333559,0.167539954
Ciliated_MPR_vs_NMPR,HALLMARK_MTORC1_SIGNALING,0.101671306,,,,,0.09253662,0.089439085,0.175295356
Ciliated_MPR_vs_NMPR,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.13318791,,,,,0.077113544,0.074431427,0.22197985
Ciliated_MPR_vs_NMPR,HALLMARK_APICAL_JUNCTION,0.193793633,,,,,0.054723115,0.05248035,0.312570375
Ciliated_MPR_vs_NMPR,HALLMARK_ANDROGEN_RESPONSE,0.230787469,,,,,0.089084995,0.08938223,0.354021324
Ciliated_MPR_vs_NMPR,HALLMARK_UV_RESPONSE_UP,0.233654074,,,,,0.076586511,0.075189695,0.354021324
Ciliated_MPR_vs_NMPR,HALLMARK_TGF_BETA_SIGNALING,0.279818968,,,,,0.083443375,0.081962523,0.411498482
Ciliated_MPR_vs_NMPR,HALLMARK_MYOGENESIS,0.334437393,,,,,0.048170775,0.047775991,0.477767704
Ciliated_MPR_vs_NMPR,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.361057249,,,,,0.034352501,0.03479064,0.501468402
Ciliated_MPR_vs_NMPR,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.37668757,,,,,0.090647316,0.087346563,0.509037257
Ciliated_MPR_vs_NMPR,HALLMARK_IL2_STAT5_SIGNALING,0.400608188,,,,,0.050985284,0.051430366,0.527116036
Ciliated_MPR_vs_NMPR,HALLMARK_COMPLEMENT,0.412753793,,,,,0.075696677,0.074307788,0.529171529
Ciliated_MPR_vs_NMPR,HALLMARK_HEME_METABOLISM,0.461237302,,,,,0.067434798,0.067045373,0.576546627
Ciliated_MPR_vs_NMPR,HALLMARK_APOPTOSIS,0.485312744,,,,,0.102547941,0.10226452,0.59184481
Ciliated_MPR_vs_NMPR,HALLMARK_BILE_ACID_METABOLISM,0.521899191,,,,,0.052959078,0.052917326,0.606859524
Ciliated_MPR_vs_NMPR,HALLMARK_GLYCOLYSIS,0.518500174,,,,,0.057336549,0.058612897,0.606859524
Ciliated_MPR_vs_NMPR,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.648939799,,,,,0.100734581,0.100630631,0.710086308
Ciliated_MPR_vs_NMPR,HALLMARK_E2F_TARGETS,0.653279404,,,,,0.038645945,0.038140407,0.710086308
Ciliated_MPR_vs_NMPR,HALLMARK_MYC_TARGETS_V2,0.640670562,,,,,0.031299464,0.03218469,0.710086308
Ciliated_MPR_vs_NMPR,HALLMARK_COAGULATION,0.782691709,,,,,0.063370971,0.064225795,0.832650754
Ciliated_MPR_vs_NMPR,HALLMARK_FATTY_ACID_METABOLISM,0.813229785,,,,,0.062687412,0.062214009,0.847114359
Ciliated_MPR_vs_NMPR,HALLMARK_ANGIOGENESIS,0.975968806,,,,,0.031040237,0.030810552,0.975968806
Ciliated_MPR_vs_NMPR,HALLMARK_KRAS_SIGNALING_UP,0.956760164,,,,,0.034078242,0.034464094,0.975968806
normal_MPR_vs_NMPR,HALLMARK_KRAS_SIGNALING_DN,5.69E-56,,,0.019115756,0.012060557,,,1.42E-54
normal_MPR_vs_NMPR,HALLMARK_PI3K_AKT_MTOR_SIGNALING,3.10E-56,,,0.097726001,0.118670813,,,1.42E-54
normal_MPR_vs_NMPR,HALLMARK_HYPOXIA,1.80E-53,,,0.091071811,0.116171847,,,3.01E-52
