source,final_group,mean_activity
ATF1,Ciliated,3.779680154
ATF1,normal_MPR,5.462101685
ATF1,normal_NMPR,6.121960066
ATF1,tumor_MPR,7.78147818
ATF1,tumor_NMPR,8.713413416
CREB1,Ciliated,4.773555686
CREB1,normal_MPR,5.318637801
CREB1,normal_NMPR,6.452636387
CREB1,tumor_MPR,7.389459545
CREB1,tumor_NMPR,9.014490694
DACH1,Ciliated,-1.934449871
DACH1,normal_MPR,-2.150292391
DACH1,normal_NMPR,-1.676885634
DACH1,tumor_MPR,-4.354882834
DACH1,tumor_NMPR,-6.14466962
DMTF1,Ciliated,1.636213847
DMTF1,normal_MPR,2.351731745
DMTF1,normal_NMPR,3.353294063
DMTF1,tumor_MPR,4.086613782
DMTF1,tumor_NMPR,7.101761121
ELK4,Ciliated,2.078075735
ELK4,normal_MPR,3.235883391
ELK4,normal_NMPR,3.766173707
ELK4,tumor_MPR,4.920283726
ELK4,tumor_NMPR,6.796187087
EPAS1,Ciliated,1.654920801
EPAS1,normal_MPR,3.837996642
EPAS1,normal_NMPR,4.694651909
EPAS1,tumor_MPR,6.446909051
EPAS1,tumor_NMPR,4.996037818
ESR1,Ciliated,5.571754073
ESR1,normal_MPR,6.329805955
ESR1,normal_NMPR,6.684865865
ESR1,tumor_MPR,8.750044706
ESR1,tumor_NMPR,10.02534516
FOXJ1,Ciliated,10.35726671
FOXJ1,normal_MPR,1.405003925
FOXJ1,normal_NMPR,0.681681341
FOXJ1,tumor_MPR,-0.605197451
FOXJ1,tumor_NMPR,-0.012085707
HIF1A,Ciliated,5.693192707
HIF1A,normal_MPR,7.03320319
HIF1A,normal_NMPR,8.845295337
HIF1A,tumor_MPR,9.747513796
HIF1A,tumor_NMPR,9.929375861
HSF2,Ciliated,6.058598496
HSF2,normal_MPR,5.806825847
HSF2,normal_NMPR,4.840934631
HSF2,tumor_MPR,7.023678884
HSF2,tumor_NMPR,10.97018413
MEIS2,Ciliated,0.81366232
MEIS2,normal_MPR,1.598009327
MEIS2,normal_NMPR,1.29289253
MEIS2,tumor_MPR,4.034079076
MEIS2,tumor_NMPR,5.218267534
MYC,Ciliated,14.52895309
MYC,normal_MPR,18.11337423
MYC,normal_NMPR,19.23007384
MYC,tumor_MPR,25.54657397
MYC,tumor_NMPR,24.1852786
NFE2L2,Ciliated,4.719936027
NFE2L2,normal_MPR,6.259552667
NFE2L2,normal_NMPR,6.050783809
NFE2L2,tumor_MPR,9.92992119
NFE2L2,tumor_NMPR,10.12592198
NKX2-1,Ciliated,3.129784063
NKX2-1,normal_MPR,5.878038202
NKX2-1,normal_NMPR,3.819904971
NKX2-1,tumor_MPR,2.076315746
NKX2-1,tumor_NMPR,1.298570345
RFX5,Ciliated,4.743159099
RFX5,normal_MPR,5.516225947
RFX5,normal_NMPR,3.038298973
RFX5,tumor_MPR,1.454747759
RFX5,tumor_NMPR,0.090252708
RFXANK,Ciliated,5.551304438
RFXANK,normal_MPR,5.898094751
RFXANK,normal_NMPR,3.013757432
RFXANK,tumor_MPR,1.14580652
RFXANK,tumor_NMPR,-0.226061592
RFXAP,Ciliated,5.729828918
RFXAP,normal_MPR,6.415472464
RFXAP,normal_NMPR,3.328862127
RFXAP,tumor_MPR,1.531761951
RFXAP,tumor_NMPR,0.135698595
SP1,Ciliated,8.375827804
SP1,normal_MPR,10.19759497
SP1,normal_NMPR,11.02454192
SP1,tumor_MPR,12.70019226
SP1,tumor_NMPR,13.70271045
TP53,Ciliated,9.751262866
TP53,normal_MPR,9.127969765
TP53,normal_NMPR,10.00948543
TP53,tumor_MPR,12.17764536
TP53,tumor_NMPR,13.17764121
ZBTB4,Ciliated,5.036385391
ZBTB4,normal_MPR,8.262707432
ZBTB4,normal_NMPR,8.26831325
ZBTB4,tumor_MPR,10.36924911
ZBTB4,tumor_NMPR,6.899192263
