comparison,source,p_value,median_tumor_MPR,median_normal_MPR,median_tumor_NMPR,median_normal_NMPR,p_adj
tumor_vs_normal_MPR,MYC,2.02751863846003e-159,25.5685218382116,18.3299380276645,,,4.05503727692006e-158
tumor_vs_normal_MPR,NFE2L2,8.64134844997794e-122,10.1030297275271,6.22300507554693,,,8.64134844997794e-121
tumor_vs_normal_MPR,EPAS1,2.02853922059288e-103,6.27680317780941,3.78719600325186,,,1.35235948039525e-102
tumor_vs_normal_MPR,ATF1,1.82871141549555e-101,7.84590019897715,5.39365157693542,,,9.14355707747776e-101
tumor_vs_normal_MPR,ESR1,6.66593902492942e-99,8.80348332120701,6.39896051097547,,,2.66637560997177e-98
tumor_vs_normal_MPR,TP53,4.0990041011734e-96,12.1858793035683,9.03448991253532,,,1.36633470039113e-95
tumor_vs_normal_MPR,MEIS2,3.49646143856948e-91,4.06549287102831,1.445375718588,,,9.98988982448422e-91
tumor_vs_normal_MPR,HIF1A,1.69186369955398e-88,9.4650484856176,6.78507723759261,,,4.22965924888494e-88
tumor_vs_normal_MPR,CREB1,4.96858210797508e-88,7.3457793980987,5.19226034212885,,,1.1041293573278e-87
tumor_vs_normal_MPR,DACH1,2.32934404055624e-77,-4.36907501506718,-2.14744089161912,,,4.65868808111247e-77
tumor_vs_normal_MPR,ZBTB4,4.95635628725559e-70,10.4593630263396,8.424136236424,,,9.01155688591925e-70
tumor_vs_normal_MPR,SP1,2.43903227678835e-61,12.7309455718006,9.97328785479488,,,4.06505379464724e-61
tumor_vs_normal_MPR,FOXJ1,6.00206850388762e-59,-0.670853396197513,0.571210527557077,,,9.23395154444248e-59
tumor_vs_normal_MPR,RFXANK,1.7678167524789e-55,0.667998571216542,5.94360674379427,,,2.52545250354129e-55
tumor_vs_normal_MPR,RFXAP,5.39050995027989e-51,0.9833340722232,6.3718325619164,,,7.18734660037319e-51
tumor_vs_normal_MPR,DMTF1,3.94274806895429e-50,4.04370407547665,2.19449590192857,,,4.92843508619287e-50
tumor_vs_normal_MPR,RFX5,1.05998743316064e-48,0.972820361649487,5.37608110359367,,,1.24704403901251e-48
tumor_vs_normal_MPR,ELK4,3.25092890747933e-37,5.06520104439761,3.11144057102817,,,3.61214323053259e-37
tumor_vs_normal_MPR,HSF2,1.0060096034115e-36,7.11340162654795,5.64769932469264,,,1.05895747727526e-36
tumor_vs_normal_MPR,NKX2-1,6.18114935221572e-33,2.06369707697034,5.30546819110911,,,6.18114935221572e-33
tumor_vs_normal_NMPR,MYC,0,,,24.6626272620002,19.2217462461759,0
tumor_vs_normal_NMPR,RFXANK,0,,,-0.304933182021144,1.41491485692006,0
tumor_vs_normal_NMPR,NFE2L2,0,,,10.3024903397267,6.14013860074938,0
tumor_vs_normal_NMPR,HSF2,0,,,11.0669128860784,4.6374853464463,0
tumor_vs_normal_NMPR,RFX5,0,,,0.0473300658132195,1.76560645912498,0
tumor_vs_normal_NMPR,DMTF1,0,,,7.21348998586304,3.31328412523245,0
tumor_vs_normal_NMPR,ATF1,0,,,8.86617554513017,6.0888994430695,0
tumor_vs_normal_NMPR,DACH1,0,,,-6.30977302875066,-1.59457708114628,0
tumor_vs_normal_NMPR,MEIS2,0,,,5.09913692429088,1.23137793236368,0
tumor_vs_normal_NMPR,ESR1,0,,,10.0790822653413,6.87843291410588,0
tumor_vs_normal_NMPR,ELK4,0,,,7.05041187342945,3.48708235580901,0
tumor_vs_normal_NMPR,TP53,0,,,13.2385835981058,10.2530737628715,0
tumor_vs_normal_NMPR,CREB1,0,,,9.10362153475692,6.42916826063819,0
tumor_vs_normal_NMPR,SP1,1.37679803288788e-307,,,13.7752024773819,11.3108131308047,1.96685433269697e-307
tumor_vs_normal_NMPR,RFXAP,5.34552952104376e-242,,,0.0604399751135821,1.64414767767084,7.12737269472501e-242
tumor_vs_normal_NMPR,NKX2-1,6.82845025710697e-242,,,1.24102901840191,2.26035893526809,8.53556282138371e-242
tumor_vs_normal_NMPR,ZBTB4,5.4929024073638e-204,,,7.03675545833178,8.49264457492098,6.46223812631035e-204
tumor_vs_normal_NMPR,FOXJ1,3.42536287432067e-144,,,-0.0440112879454701,0.465960795202117,3.80595874924519e-144
tumor_vs_normal_NMPR,HIF1A,4.30615087723338e-89,,,9.764405828303,8.6773398236079,4.53279039708777e-89
tumor_vs_normal_NMPR,EPAS1,1.95156521649115e-19,,,4.79749129074719,4.41054763139217,1.95156521649115e-19
