comparison,source,p_value,median_tumor_MPR,median_tumor_NMPR,median_normal_MPR,median_normal_NMPR,median_MPR,median_NMPR,p_adj
Ciliated_MPR_vs_NMPR,RFXANK,1.14E-20,,,,,6.557101276,3.440463102,2.28E-19
Ciliated_MPR_vs_NMPR,RFX5,1.46E-19,,,,,5.62124007,2.886166885,1.46E-18
Ciliated_MPR_vs_NMPR,RFXAP,5.66E-19,,,,,6.601566461,3.564315044,3.77E-18
Ciliated_MPR_vs_NMPR,HSF2,5.35E-15,,,,,6.252718544,5.436431988,2.68E-14
Ciliated_MPR_vs_NMPR,FOXJ1,1.80E-12,,,,,11.3114929,9.90021296,7.19E-12
Ciliated_MPR_vs_NMPR,CREB1,6.67E-06,,,,,4.992842464,4.515328853,2.22E-05
Ciliated_MPR_vs_NMPR,TP53,0.000134449,,,,,10.21521259,9.464454714,0.00038414
Ciliated_MPR_vs_NMPR,DMTF1,0.000345231,,,,,1.153435691,1.768756481,0.000863076
Ciliated_MPR_vs_NMPR,MYC,0.000601295,,,,,14.92788713,13.90738579,0.001336212
Ciliated_MPR_vs_NMPR,EPAS1,0.023873946,,,,,1.31861058,1.518504016,0.047747892
Ciliated_MPR_vs_NMPR,ZBTB4,0.039540925,,,,,4.755875369,5.146326319,0.071892591
Ciliated_MPR_vs_NMPR,MEIS2,0.059911032,,,,,0.718243641,0.930850365,0.099851721
Ciliated_MPR_vs_NMPR,ATF1,0.089390769,,,,,3.79159754,3.632604929,0.13752426
Ciliated_MPR_vs_NMPR,ELK4,0.110970097,,,,,1.531384347,1.817570759,0.15852871
Ciliated_MPR_vs_NMPR,SP1,0.220556533,,,,,8.215334448,7.806255227,0.294075378
Ciliated_MPR_vs_NMPR,NFE2L2,0.236961037,,,,,4.809874462,5.036054275,0.296201297
Ciliated_MPR_vs_NMPR,ESR1,0.254646289,,,,,5.662179304,5.538927253,0.299583869
Ciliated_MPR_vs_NMPR,HIF1A,0.690724068,,,,,5.564684302,5.636826444,0.767471187
Ciliated_MPR_vs_NMPR,NKX2-1,0.75865717,,,,,1.986561785,1.961008505,0.798586495
Ciliated_MPR_vs_NMPR,DACH1,0.937575687,,,,,-1.834934312,-1.86071471,0.937575687
normal_MPR_vs_NMPR,HIF1A,2.36E-45,,,6.785077238,8.677339824,,,4.73E-44
normal_MPR_vs_NMPR,RFXAP,6.80E-42,,,6.371832562,1.644147678,,,6.80E-41
normal_MPR_vs_NMPR,RFXANK,4.69E-41,,,5.943606744,1.414914857,,,3.13E-40
normal_MPR_vs_NMPR,RFX5,1.09E-35,,,5.376081104,1.765606459,,,5.45E-35
normal_MPR_vs_NMPR,CREB1,1.05E-33,,,5.192260342,6.429168261,,,4.21E-33
normal_MPR_vs_NMPR,NKX2-1,6.10E-25,,,5.305468191,2.260358935,,,2.03E-24
normal_MPR_vs_NMPR,HSF2,1.77E-22,,,5.647699325,4.637485346,,,5.06E-22
normal_MPR_vs_NMPR,DMTF1,3.66E-22,,,2.194495902,3.313284125,,,9.16E-22
normal_MPR_vs_NMPR,EPAS1,2.12E-16,,,3.787196003,4.410547631,,,4.71E-16
normal_MPR_vs_NMPR,TP53,2.72E-13,,,9.034489913,10.25307376,,,5.44E-13
normal_MPR_vs_NMPR,ATF1,1.28E-11,,,5.393651577,6.088899443,,,2.32E-11
normal_MPR_vs_NMPR,MYC,3.25E-10,,,18.32993803,19.22174625,,,5.41E-10
normal_MPR_vs_NMPR,SP1,1.18E-09,,,9.973287855,11.31081313,,,1.81E-09
normal_MPR_vs_NMPR,DACH1,2.43E-08,,,-2.147440892,-1.594577081,,,3.47E-08
normal_MPR_vs_NMPR,ESR1,1.93E-05,,,6.398960511,6.878432914,,,2.57E-05
normal_MPR_vs_NMPR,ELK4,0.000244545,,,3.111440571,3.487082356,,,0.000305681
normal_MPR_vs_NMPR,MEIS2,0.000426263,,,1.445375719,1.231377932,,,0.000501486
normal_MPR_vs_NMPR,FOXJ1,0.023891992,,,0.571210528,0.465960795,,,0.026546658
normal_MPR_vs_NMPR,NFE2L2,0.04611089,,,6.223005076,6.140138601,,,0.048537779
normal_MPR_vs_NMPR,ZBTB4,0.622805048,,,8.424136236,8.492644575,,,0.622805048
tumor_MPR_vs_NMPR,ZBTB4,2.58E-262,10.45936303,7.036755458,,,,,5.16E-261
tumor_MPR_vs_NMPR,HSF2,7.13E-256,7.113401627,11.06691289,,,,,7.13E-255
tumor_MPR_vs_NMPR,DMTF1,1.22E-180,4.043704075,7.213489986,,,,,8.15E-180
tumor_MPR_vs_NMPR,CREB1,1.09E-136,7.345779398,9.103621535,,,,,5.45E-136
tumor_MPR_vs_NMPR,RFXANK,3.18E-132,0.667998571,-0.304933182,,,,,1.27E-131
tumor_MPR_vs_NMPR,DACH1,2.17E-130,-4.369075015,-6.309773029,,,,,7.22E-130
tumor_MPR_vs_NMPR,RFX5,1.84E-129,0.972820362,0.047330066,,,,,5.26E-129
tumor_MPR_vs_NMPR,ESR1,5.70E-128,8.803483321,10.07908227,,,,,1.42E-127
tumor_MPR_vs_NMPR,RFXAP,3.02E-123,0.983334072,0.060439975,,,,,6.71E-123
tumor_MPR_vs_NMPR,ELK4,4.81E-108,5.065201044,7.050411873,,,,,9.63E-108
tumor_MPR_vs_NMPR,FOXJ1,3.26E-97,-0.670853396,-0.044011288,,,,,5.93E-97
tumor_MPR_vs_NMPR,EPAS1,7.90E-83,6.276803178,4.797491291,,,,,1.32E-82
tumor_MPR_vs_NMPR,MEIS2,1.37E-77,4.065492871,5.099136924,,,,,2.10E-77
tumor_MPR_vs_NMPR,NKX2-1,1.64E-77,2.063697077,1.241029018,,,,,2.34E-77
tumor_MPR_vs_NMPR,TP53,2.59E-64,12.1858793,13.2385836,,,,,3.45E-64
tumor_MPR_vs_NMPR,ATF1,1.68E-60,7.845900199,8.866175545,,,,,2.10E-60
tumor_MPR_vs_NMPR,SP1,7.68E-58,12.73094557,13.77520248,,,,,9.04E-58
tumor_MPR_vs_NMPR,MYC,4.07E-28,25.56852184,24.66262726,,,,,4.53E-28
tumor_MPR_vs_NMPR,HIF1A,0.003196431,9.465048486,9.764405828,,,,,0.003364664
tumor_MPR_vs_NMPR,NFE2L2,0.0103188,10.10302973,10.30249034,,,,,0.0103188
